StatID	TeamID	PlayerID	SeasonType	Season	Name	Team	Position	Started	Updated	Games	FantasyPoints	Minutes	FieldGoalsMade	FieldGoalsAttempted	FieldGoalsPercentage	EffectiveFieldGoalsPercentage	TwoPointersMade	TwoPointersAttempted	TwoPointersPercentage	ThreePointersMade	ThreePointersAttempted	ThreePointersPercentage	FreeThrowsMade	FreeThrowsAttempted	FreeThrowsPercentage	OffensiveRebounds	DefensiveRebounds	Rebounds	OffensiveReboundsPercentage	DefensiveReboundsPercentage	TotalReboundsPercentage	Assists	Steals	BlockedShots	Turnovers	PersonalFouls	Points	TrueShootingAttempts	TrueShootingPercentage	PlayerEfficiencyRating	AssistsPercentage	StealsPercentage	BlocksPercentage	TurnOversPercentage	UsageRatePercentage	FantasyPointsFanDuel	FantasyPointsDraftKings	FantasyPointsYahoo
36711	3	20000610	1	2015	Shelvin Mack	ATL	PG	0	11/2/2015 11:55:33 PM	55	641.30	832	117	292	40.1	46.9	77	165	46.7	40	127	31.5	25	31	80.6	8	71	79				155	30	2	49	32	299	305.64	48.9							641.30	691.25	661.30
36712	1	20000447	1	2015	Rasual Butler	WAS	SF	1	11/2/2015 11:55:33 PM	75	964.90	1504	218	517	42.2	51.1	127	282	45.0	91	235	38.7	53	67	79.1	27	170	197				63	29	22	48	98	580	546.48	53.1							964.90	1044.25	1010.40
36713	1	20000441	1	2015	Bradley Beal	WAS	SG	59	11/2/2015 11:55:33 PM	63	1607.20	2107	363	851	42.7	48.9	257	592	43.4	106	259	40.9	130	166	78.3	57	184	241				194	76	18	123	136	962	924.04	52.1							1607.20	1736.75	1660.20
36714	23	20000470	1	2015	Omer Asik	NO	C	76	11/2/2015 11:55:33 PM	76	1633.60	1981	213	412	51.7	51.7	213	412	51.7	0	0	0	131	225	58.2	244	504	748				72	29	54	95	144	557	511	54.5							1633.60	1738.00	1633.60
36715	22	20000541	1	2015	Trevor Ariza	HOU	SF	82	11/2/2015 11:55:33 PM	82	2109.30	2930	366	910	40.2	50.9	172	355	48.5	194	555	35.0	122	143	85.3	77	382	459				209	152	17	141	186	1048	972.92	53.9							2109.30	2304.25	2206.30
36716	11	20000518	1	2015	Aaron Brooks	CHI	PG	21	11/2/2015 11:55:33 PM	81	1500.30	1861	340	812	41.9	49.3	220	500	44.0	120	312	38.5	141	170	82.9	32	132	164				255	53	15	156	186	941	886.8	53.0							1500.30	1648.00	1560.30
36717	19	20000616	1	2015	LaMarcus Aldridge	POR	PF	71	11/2/2015 11:55:33 PM	71	2828.20	2511	659	1415	46.6	47.9	622	1310	47.5	37	105	35.2	306	362	84.5	177	549	726				124	48	68	122	125	1661	1574.28	52.7							2828.20	3002.50	2846.70
36718	12	20000581	1	2015	Brendan Haywood	CLE	C	1	11/2/2015 11:55:33 PM	22	86.80	119	14	30	46.7	46.7	14	30	46.7	0	0	0	7	13	53.8	6	23	29				2	2	10	10	17	35	35.72	49.3							86.80	93.25	86.80
36719	23	20000913	1	2015	Elliot Williams	NO	SG	0	11/2/2015 11:55:33 PM	14	68.60	118	14	37	37.8	48.6	6	19	31.6	8	18	44.4	1	4	25.0	0	8	8				12	4	0	4	12	37	38.76	47.4							68.60	75.00	72.60
36720	29	20000925	1	2015	Earl Barron	PHO	C	1	11/2/2015 11:55:33 PM	16	80.10	142	12	39	30.8	33.3	10	35	28.6	2	4	50.0	6	12	50.0	14	14	28				5	4	2	5	26	32	44.28	36.0							80.10	85.00	81.10
