StatID	TeamID	SeasonType	Season	Name	Team	Wins	Losses	GameID	OpponentID	Opponent	Day	DateTime	HomeOrAway	IsGameOver	Updated	Games	FantasyPoints	Minutes	FieldGoalsMade	FieldGoalsAttempted	FieldGoalsPercentage	EffectiveFieldGoalsPercentage	TwoPointersMade	TwoPointersAttempted	TwoPointersPercentage	ThreePointersMade	ThreePointersAttempted	ThreePointersPercentage	FreeThrowsMade	FreeThrowsAttempted	FreeThrowsPercentage	OffensiveRebounds	DefensiveRebounds	Rebounds	OffensiveReboundsPercentage	DefensiveReboundsPercentage	TotalReboundsPercentage	Assists	Steals	BlockedShots	Turnovers	PersonalFouls	Points	TrueShootingAttempts	TrueShootingPercentage	PlayerEfficiencyRating	AssistsPercentage	StealsPercentage	BlocksPercentage	TurnOversPercentage	UsageRatePercentage	FantasyPointsFanDuel	FantasyPointsDraftKings	FantasyPointsYahoo
174548	5	1	2015	Orlando Magic	ORL	0	1	57	23	NO	10/28/2014	10/28/2014 8:00:00 PM	AWAY	True	11/2/2015 11:55:33 PM	1	181.50	237	30	82	36.6	39.0	26	71	36.6	4	11	36.4	16	19	84.2	16	39	55				17	5	9	18	24	80	90.36	44.2							181.50	196.75	183.50
174549	23	1	2015	New Orleans Pelicans	NO	1	0	57	5	ORL	10/28/2014	10/28/2014 8:00:00 PM	HOME	True	11/2/2015 11:55:33 PM	1	250.40	240	41	101	40.6	42.6	37	84	44.0	4	17	23.5	15	31	48.4	26	36	62				20	10	17	9	17	101	114.64	44.1							250.40	263.00	252.40
174550	24	1	2015	San Antonio Spurs	SA	1	0	58	25	DAL	10/28/2014	10/28/2014 8:00:00 PM	HOME	True	11/2/2015 11:55:33 PM	1	177.10	240	37	70	52.9	62.9	23	42	54.8	14	28	50.0	13	16	81.2	9	29	38				23	5	3	20	20	101	77.04	65.6							177.10	197.50	184.10
174551	25	1	2015	Dallas Mavericks	DAL	0	1	58	24	SA	10/28/2014	10/28/2014 8:00:00 PM	AWAY	True	11/2/2015 11:55:33 PM	1	179.10	240	38	78	48.7	53.8	30	57	52.6	8	21	38.1	16	19	84.2	9	24	33				17	9	3	10	20	100	86.36	57.8							179.10	189.75	183.10
174546	22	1	2015	Houston Rockets	HOU	1	0	59	27	LAL	10/28/2014	10/28/2014 10:30:00 PM	AWAY	True	11/2/2015 11:55:33 PM	1	204.40	240	31	73	42.5	50.7	19	44	43.2	12	29	41.4	34	50	68.0	14	33	47				22	7	3	13	30	108	95	56.8							204.40	222.25	210.40
174547	27	1	2015	Los Angeles Lakers	LAL	0	1	59	22	HOU	10/28/2014	10/28/2014 10:30:00 PM	HOME	True	11/2/2015 11:55:33 PM	1	166.20	240	28	79	35.4	38.0	25	69	36.2	3	10	30.0	31	39	79.5	11	25	36				16	7	3	11	32	90	96.16	46.9							166.20	175.00	167.70
174556	2	1	2015	Charlotte Hornets	CHA	1	0	61	15	MIL	10/29/2014	10/29/2014 7:00:00 PM	HOME	True	11/2/2015 11:55:33 PM	1	232.50	265	41	101	40.6	43.6	35	80	43.8	6	21	28.6	20	29	69.0	15	35	50				27	8	9	10	20	108	113.76	47.4							232.50	244.50	235.50
174557	15	1	2015	Milwaukee Bucks	MIL	0	1	61	2	CHA	10/29/2014	10/29/2014 7:00:00 PM	AWAY	True	11/2/2015 11:55:33 PM	1	209.50	265	39	80	48.8	52.5	32	66	48.5	7	14	50.0	21	24	87.5	3	32	35				25	9	10	14	25	106	90.56	58.6							209.50	223.25	213.00
174562	7	1	2015	Philadelphia 76ers	PHI	0	1	60	13	IND	10/29/2014	10/29/2014 7:00:00 PM	AWAY	True	11/2/2015 11:55:33 PM	1	185.90	240	34	89	38.2	41.6	28	68	41.2	6	21	28.6	17	30	56.7	15	27	42				17	10	5	11	29	91	102.2	44.6							185.90	196.50	188.90
174563	13	1	2015	Indiana Pacers	IND	1	0	60	7	PHI	10/29/2014	10/29/2014 7:00:00 PM	HOME	True	11/2/2015 11:55:33 PM	1	215.00	240	38	81	46.9	51.9	30	56	53.6	8	25	32.0	19	28	67.9	14	36	50				22	5	13	17	24	103	93.32	55.1							215.00	231.50	219.00
174564	1	1	2015	Washington Wizards	WAS	0	1	63	4	MIA	10/29/2014	10/29/2014 7:30:00 PM	AWAY	True	11/2/2015 11:55:33 PM	1	172.20	240	36	75	48.0	52.0	30	56	53.6	6	19	31.6	17	24	70.8	7	29	36				20	7	2	14	20	95	85.56	55.6							172.20	185.50	175.20
174565	4	1	2015	Miami Heat	MIA	1	0	63	1	WAS	10/29/2014	10/29/2014 7:30:00 PM	HOME	True	11/2/2015 11:55:33 PM	1	199.80	240	39	81	48.1	54.3	30	53	56.6	9	28	32.1	20	23	87.0	12	32	44				20	9	3	14	17	107	91.12	58.8							199.80	215.00	204.30
174566	3	1	2015	Atlanta Hawks	ATL	0	1	64	10	TOR	10/29/2014	10/29/2014 7:30:00 PM	AWAY	True	11/2/2015 11:55:33 PM	1	202.40	240	40	80	50.0	57.5	27	58	46.6	13	22	59.1	9	17	52.9	10	32	42				26	6	8	17	24	102	87.48	58.3							202.40	222.50	208.90
174567	10	1	2015	Toronto Raptors	TOR	1	0	64	3	ATL	10/29/2014	10/29/2014 7:30:00 PM	HOME	True	11/2/2015 11:55:33 PM	1	240.60	240	37	90	41.1	45.6	29	64	45.3	8	26	30.8	27	33	81.8	16	32	48				26	13	9	9	22	109	104.52	52.2							240.60	256.00	244.60
174558	8	1	2015	Brooklyn Nets	BKN	0	1	62	9	BOS	10/29/2014	10/29/2014 7:30:00 PM	AWAY	True	11/2/2015 11:55:33 PM	1	187.80	240	39	80	48.8	52.5	32	61	52.5	7	19	36.8	20	26	76.9	9	30	39				20	6	7	20	21	105	91.44	57.4							187.80	203.25	191.30
