Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,32-184,POR,,OKC,W (+17),0,21:30,6,10,.600,0,0,,0,0,,1,5,6,2,0,1,2,2,12,8.9,+11,kamanch01
2,2,2014-10-31,32-186,POR,@,SAC,L (-9),0,20:49,6,10,.600,0,0,,0,0,,1,5,6,0,0,2,0,3,12,9.8,+10,kamanch01
3,3,2014-11-02,32-188,POR,,GSW,L (-5),0,20:50,1,5,.200,0,0,,0,0,,1,6,7,1,0,0,2,2,2,-0.7,+14,kamanch01
4,4,2014-11-04,32-190,POR,,CLE,W (+19),0,17:23,2,4,.500,0,0,,1,2,.500,1,6,7,0,0,1,3,2,5,2.0,0,kamanch01
5,5,2014-11-06,32-192,POR,,DAL,W (+21),0,17:43,6,6,1.000,0,0,,0,1,.000,1,4,5,0,0,1,1,2,12,10.6,+14,kamanch01
6,6,2014-11-08,32-194,POR,@,LAC,L (-4),0,18:28,4,5,.800,0,0,,0,0,,3,4,7,0,0,0,3,2,8,5.6,-8,kamanch01
7,7,2014-11-09,32-195,POR,,DEN,W (+16),0,18:41,4,9,.444,0,0,,4,5,.800,2,6,8,0,0,5,1,0,12,12.6,+2,kamanch01
8,8,2014-11-11,32-197,POR,,CHO,W (+2),0,17:56,6,10,.600,0,0,,0,0,,3,5,8,2,0,2,1,3,12,11.6,-4,kamanch01
9,9,2014-11-12,32-198,POR,@,DEN,W (+17),0,21:38,6,8,.750,0,0,,4,5,.800,2,5,7,2,1,2,2,3,16,15.9,+18,kamanch01
10,10,2014-11-15,32-201,POR,,BRK,W (+10),0,18:18,3,11,.273,0,0,,6,9,.667,1,4,5,0,0,0,1,2,12,4.4,+10,kamanch01
11,11,2014-11-17,32-203,POR,,NOP,W (+9),0,20:46,7,10,.700,0,0,,1,1,1.000,2,8,10,0,1,0,3,4,15,11.0,+5,kamanch01
12,12,2014-11-21,32-207,POR,,CHI,W (+18),0,16:43,4,11,.364,0,0,,2,3,.667,0,3,3,0,0,2,1,3,10,3.6,-10,kamanch01
13,13,2014-11-23,32-209,POR,@,BOS,W (+6),0,17:56,6,13,.462,0,0,,4,4,1.000,3,5,8,0,1,0,1,2,16,12.1,+4,kamanch01
14,14,2014-11-24,32-210,POR,@,PHI,W (+10),0,18:47,3,7,.429,0,0,,2,4,.500,2,7,9,1,0,0,1,2,8,5.9,+4,kamanch01
15,15,2014-11-26,32-212,POR,@,CHO,W (+8),0,17:36,5,12,.417,0,0,,2,2,1.000,1,6,7,2,0,0,0,2,12,8.7,+3,kamanch01
16,16,2014-11-28,32-214,POR,,MEM,L (-13),0,24:47,7,16,.438,0,0,,2,3,.667,5,6,11,0,0,2,2,6,16,9.5,-11,kamanch01
17,17,2014-11-30,32-216,POR,,MIN,W (+14),0,17:51,2,7,.286,0,0,,4,6,.667,2,6,8,1,0,1,1,2,8,5.9,+3,kamanch01
18,18,2014-12-02,32-218,POR,@,DEN,W (+2),0,16:53,2,6,.333,0,0,,0,0,,0,1,1,0,0,1,2,2,4,-1.2,-14,kamanch01
19,19,2014-12-04,32-220,POR,,IND,W (+6),0,17:50,2,6,.333,0,0,,2,2,1.000,0,7,7,4,0,0,1,0,6,6.5,+7,kamanch01
20,20,2014-12-07,32-223,POR,@,NYK,W (+4),0,17:07,4,8,.500,0,0,,0,0,,2,2,4,1,0,0,1,2,8,4.9,-5,kamanch01
21,21,2014-12-09,32-225,POR,@,DET,W (+12),0,20:40,7,10,.700,0,0,,0,0,,1,2,3,2,0,2,1,3,14,11.7,+1,kamanch01
22,22,2014-12-10,32-226,POR,@,MIN,L (-8),0,17:44,4,9,.444,0,0,,0,1,.000,2,5,7,2,0,4,5,1,8,4.6,-9,kamanch01
23,23,2014-12-12,32-228,POR,@,CHI,L (-9),0,19:25,1,4,.250,0,0,,0,0,,0,2,2,2,0,1,2,2,2,-0.5,-10,kamanch01
24,24,2014-12-13,32-229,POR,@,IND,W (+10),0,17:52,5,11,.455,0,0,,0,1,.000,2,4,6,1,0,0,2,3,10,4.0,+4,kamanch01
25,25,2014-12-15,32-231,POR,,SAS,W (+13),0,19:36,4,6,.667,0,0,,3,4,.750,1,2,3,0,0,0,0,2,11,8.5,+15,kamanch01
26,26,2014-12-17,32-233,POR,,MIL,W (+7),0,17:56,3,12,.250,0,0,,0,0,,1,2,3,0,0,0,0,2,6,-0.7,-6,kamanch01
27,27,2014-12-19,32-235,POR,@,SAS,W (+10),0,18:27,2,5,.400,0,0,,2,2,1.000,2,3,5,1,1,0,2,2,6,4.5,-11,kamanch01
28,28,2014-12-20,32-236,POR,@,NOP,W (+26),0,22:17,8,10,.800,0,0,,0,3,.000,1,5,6,0,1,0,2,3,16,11.0,+17,kamanch01
29,29,2014-12-22,32-238,POR,@,HOU,L (-15),0,15:26,4,7,.571,0,0,,1,2,.500,2,4,6,1,1,0,3,0,9,6.6,-19,kamanch01
30,30,2014-12-23,32-239,POR,@,OKC,W (+4),0,21:36,3,8,.375,0,0,,0,0,,3,6,9,1,0,0,4,3,6,1.0,-6,kamanch01
32,31,2014-12-28,32-244,POR,,NYK,W (+22),0,19:48,5,9,.556,0,0,,3,4,.750,3,6,9,2,0,1,0,1,13,13.9,+3,kamanch01
33,32,2014-12-30,32-246,POR,,TOR,W (+5),0,16:35,4,9,.444,0,0,,2,2,1.000,3,5,8,1,0,1,1,2,10,8.5,-1,kamanch01
34,33,2015-01-03,32-250,POR,,ATL,L (-8),0,14:59,1,4,.250,0,0,,0,0,,0,7,7,3,0,0,3,1,2,0.4,-8,kamanch01
35,34,2015-01-05,32-252,POR,,LAL,W (+4),1,27:18,3,8,.375,0,0,,2,2,1.000,5,6,11,3,0,3,2,2,8,10.3,-1,kamanch01
36,35,2015-01-08,32-255,POR,,MIA,W (+16),1,21:19,4,9,.444,0,0,,2,2,1.000,4,5,9,0,0,2,1,4,10,8.4,+12,kamanch01
37,36,2015-01-10,32-257,POR,,ORL,W (+11),1,19:34,5,8,.625,0,0,,0,0,,2,1,3,0,0,2,5,5,10,2.5,+2,kamanch01
38,37,2015-01-11,32-258,POR,@,LAL,W (+12),1,32:01,4,10,.400,0,0,,1,1,1.000,3,9,12,3,2,0,0,2,9,11.7,+13,kamanch01
39,38,2015-01-14,32-261,POR,,LAC,L (-6),1,26:35,7,11,.636,0,0,,1,1,1.000,3,8,11,1,1,0,3,4,15,11.7,-14,kamanch01
40,39,2015-01-16,32-263,POR,@,SAS,L (-14),1,24:26,2,5,.400,0,0,,2,2,1.000,2,3,5,2,0,2,1,3,6,6.2,-19,kamanch01
41,40,2015-01-17,32-264,POR,@,MEM,L (-4),1,30:16,2,9,.222,0,0,,0,0,,7,4,11,0,1,1,0,4,4,4.7,-2,kamanch01
42,41,2015-01-19,32-266,POR,,SAC,W (+4),1,19:01,2,7,.286,0,0,,0,0,,1,3,4,1,0,1,1,3,4,0.7,-7,kamanch01
