Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,24-190,ATL,@,TOR,L (-7),0,14:59,1,6,.167,0,2,.000,0,0,,0,2,2,5,0,0,1,1,2,0.9,-6,macksh01
2,2,2014-11-01,24-193,ATL,,IND,W (+10),0,15:13,2,5,.400,0,3,.000,2,2,1.000,0,1,1,4,0,0,0,0,6,6.4,+10,macksh01
3,3,2014-11-05,24-197,ATL,@,SAS,L (-2),0,6:12,0,3,.000,0,1,.000,2,2,1.000,0,0,0,1,1,0,1,0,2,0.6,-4,macksh01
4,4,2014-11-07,24-199,ATL,@,CHO,L (-3),0,2:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,macksh01
5,5,2014-11-08,24-200,ATL,,NYK,W (+7),0,4:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5,macksh01
7,6,2014-11-12,24-204,ATL,,UTA,W (+3),0,9:48,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-0.7,-7,macksh01
8,7,2014-11-14,24-206,ATL,,MIA,W (+11),0,17:27,5,5,1.000,2,2,1.000,0,0,,0,1,1,2,1,0,1,1,12,11.8,+9,macksh01
9,8,2014-11-15,24-207,ATL,@,CLE,L (-33),0,22:00,3,6,.500,0,3,.000,0,0,,1,4,5,6,0,0,4,0,6,5.1,-24,macksh01
10,9,2014-11-18,24-210,ATL,,LAL,L (-5),0,20:03,2,6,.333,1,3,.333,0,0,,0,1,1,5,2,0,0,1,5,7.0,+1,macksh01
11,10,2014-11-21,24-213,ATL,,DET,W (+10),0,11:34,0,3,.000,0,2,.000,0,0,,0,1,1,0,1,0,0,0,0,-0.8,-2,macksh01
12,11,2014-11-25,24-217,ATL,@,WAS,W (+4),0,19:48,5,9,.556,2,4,.500,1,2,.500,0,3,3,5,2,0,2,3,13,11.5,-7,macksh01
13,12,2014-11-26,24-218,ATL,,TOR,L (-11),0,15:02,1,7,.143,0,3,.000,1,1,1.000,0,1,1,0,0,0,1,2,3,-3.0,-10,macksh01
14,13,2014-11-28,24-220,ATL,,NOP,W (+9),0,9:39,1,3,.333,0,1,.000,0,0,,1,0,1,3,0,0,2,0,2,1.1,+7,macksh01
15,14,2014-11-29,24-221,ATL,,CHO,W (+30),0,23:56,3,8,.375,2,5,.400,1,1,1.000,0,2,2,6,0,0,0,1,9,9.0,+8,macksh01
16,15,2014-12-02,24-224,ATL,,BOS,W (+4),0,6:26,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,1,0,0,0,1.0,-6,macksh01
17,16,2014-12-03,24-225,ATL,@,MIA,W (+10),0,14:02,2,5,.400,1,3,.333,0,0,,1,1,2,3,1,0,1,1,5,5.0,+2,macksh01
18,17,2014-12-05,24-227,ATL,@,BRK,W (+23),0,21:28,1,7,.143,0,3,.000,0,1,.000,1,2,3,1,1,0,0,2,2,-0.7,+9,macksh01
19,18,2014-12-07,24-229,ATL,,DEN,W (+12),0,12:49,2,3,.667,0,0,,0,0,,0,2,2,4,0,0,0,1,4,5.7,+10,macksh01
20,19,2014-12-08,24-230,ATL,@,IND,W (+16),0,17:40,1,5,.200,0,1,.000,1,1,1.000,0,2,2,4,0,0,1,0,3,2.3,-1,macksh01
21,20,2014-12-10,24-232,ATL,,PHI,W (+16),0,20:03,2,7,.286,1,5,.200,1,2,.500,1,1,2,1,0,0,3,1,6,-0.2,0,macksh01
22,21,2014-12-12,24-234,ATL,,ORL,W (+6),0,7:12,0,2,.000,0,1,.000,0,0,,0,3,3,2,1,0,0,0,0,1.9,0,macksh01
25,22,2014-12-17,24-239,ATL,@,CLE,W (+29),0,22:35,7,8,.875,6,6,1.000,4,4,1.000,0,2,2,3,0,0,1,0,24,22.9,+23,macksh01
26,23,2014-12-20,24-242,ATL,@,HOU,W (+7),0,17:34,4,8,.500,0,2,.000,1,1,1.000,0,3,3,4,0,0,0,1,9,8.3,+6,macksh01
27,24,2014-12-22,24-244,ATL,@,DAL,W (+3),0,16:30,1,6,.167,0,2,.000,0,0,,0,1,1,4,0,0,1,0,2,0.3,-7,macksh01
29,25,2014-12-26,24-248,ATL,,MIL,L (-30),0,16:46,1,3,.333,0,1,.000,0,0,,0,2,2,4,1,0,3,0,2,1.7,-3,macksh01
30,26,2014-12-27,24-249,ATL,@,MIL,W (+5),0,6:18,0,1,.000,0,0,,0,0,,0,1,1,2,0,1,1,0,0,0.7,-7,macksh01
