Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Quincy Acy,2013,2016,F,6-7,240,October 6 1990,Baylor University,acyqu01
Alexis Ajinca,2009,2016,C,7-2,248,May 6 1988,,ajincal01
Cole Aldrich,2011,2016,C,6-11,250,October 31 1988,University of Kansas,aldrico01
Lavoy Allen,2012,2016,F-C,6-9,255,February 4 1989,Temple University,allenla01
Lou Amundson,2007,2015,F,6-9,220,December 7 1982,University of Nevada Las Vegas,amundlo01
Chris Andersen,2002,2016,F-C,6-10,245,July 7 1978,Blinn College,anderch01
Alan Anderson,2006,2015,G-F,6-6,220,October 16 1982,Michigan State University,anderal01
Kyle Anderson,2015,2016,G-F,6-9,230,September 20 1993,University of California Los Angeles,anderky01
Ryan Anderson,2009,2016,F,6-10,240,May 6 1988,University of California,anderry01
Giannis Antetokounmpo,2014,2016,F-G,6-11,222,December 6 1994,,antetgi01
Carmelo Anthony,2004,2016,F,6-8,240,May 29 1984,Syracuse University,anthoca01
Joel Anthony,2008,2015,C,6-9,245,August 9 1982,University of Nevada Las Vegas,anthojo01
Pero Antic,2014,2015,F,6-11,260,July 29 1982,,anticpe01
Trevor Ariza,2005,2016,F,6-8,215,June 30 1985,University of California Los Angeles,arizatr01
Darrell Arthur,2009,2016,F,6-9,235,March 25 1988,University of Kansas,arthuda01
Omer Asik,2011,2016,C,7-0,255,July 4 1986,,asikom01
Luke Babbitt,2011,2016,F,6-9,225,June 20 1989,University of Nevada Reno,babbilu01
Cameron Bairstow,2015,2016,F-C,6-9,250,December 7 1990,University of New Mexico,bairsca01
Leandro Barbosa,2004,2016,G,6-3,194,November 28 1982,,barbole01
Andrea Bargnani,2007,2016,F-C,7-0,245,October 26 1985,,bargnan01
Harrison Barnes,2013,2016,F,6-8,210,May 30 1992,University of North Carolina,barneha02
Matt Barnes,2004,2016,F,6-7,226,March 9 1980,University of California Los Angeles,barnema02
Earl Barron,2006,2015,C,7-0,250,August 14 1981,University of Memphis,barroea01
Will Barton,2013,2016,G,6-6,175,January 6 1991,University of Memphis,bartowi01
Brandon Bass,2006,2016,F,6-8,250,April 30 1985,Louisiana State University,bassbr01
Nicolas Batum,2009,2016,F-G,6-8,200,December 14 1988,,batumni01
Jerryd Bayless,2009,2016,G,6-3,200,August 20 1988,University of Arizona,bayleje01
Aron Baynes,2013,2016,F-C,6-10,260,December 9 1986,Washington State University,baynear01
Kent Bazemore,2013,2016,G-F,6-5,201,July 1 1989,Old Dominion University,bazemke01
Bradley Beal,2013,2016,G,6-5,207,June 28 1993,University of Florida,bealbr01
Michael Beasley,2009,2015,F,6-9,235,January 9 1989,Kansas State University,beaslmi01
Marco Belinelli,2008,2016,G-F,6-5,210,March 25 1986,,belinma01
Jerrelle Benimon,2015,2015,F,6-8,245,August 1 1991,Towson University,benimje01
Anthony Bennett,2014,2016,F,6-8,245,March 14 1993,University of Nevada Las Vegas,bennean01
Patrick Beverley,2013,2016,G,6-1,185,July 12 1988,University of Arkansas,beverpa01
Sim Bhullar,2015,2015,C,7-5,360,December 2 1992,New Mexico State University,bhullsi01
Bismack Biyombo,2012,2016,C-F,6-9,245,August 28 1992,,biyombi01
Nemanja Bjelica,2016,2016,F,6-10,240,May 9 1988,,bjeline01
Tarik Black,2015,2016,C-F,6-9,250,November 22 1991,University of Kansas,blackta01
DeJuan Blair,2010,2016,F-C,6-7,270,April 22 1989,University of Pittsburgh,blairde01
Steve Blake,2004,2016,G,6-3,172,February 26 1980,University of Maryland,blakest01
Eric Bledsoe,2011,2016,G,6-1,190,December 9 1989,University of Kentucky,bledser01
Vander Blue,2014,2015,G,6-4,200,July 17 1992,Marquette University,blueva01
Bojan Bogdanovic,2015,2016,G-F,6-8,216,April 18 1989,,bogdabo02
Andrew Bogut,2006,2016,C,7-0,260,November 28 1984,University of Utah,bogutan01
Matt Bonner,2005,2015,F,6-10,235,April 5 1980,University of Florida,bonnema01
Devin Booker,2016,2016,G,6-6,206,October 30 1996,University of Kentucky,bookede01
