Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Luke Babbitt,2011,2016,F,6-9,225,June 20 1989,University of Nevada Reno,babbilu01
Cameron Bairstow,2015,2016,F-C,6-9,250,December 7 1990,University of New Mexico,bairsca01
Leandro Barbosa,2004,2016,G,6-3,194,November 28 1982,,barbole01
Andrea Bargnani,2007,2016,F-C,7-0,245,October 26 1985,,bargnan01
Harrison Barnes,2013,2016,F,6-8,210,May 30 1992,University of North Carolina,barneha02
Matt Barnes,2004,2016,F,6-7,226,March 9 1980,University of California Los Angeles,barnema02
Earl Barron,2006,2015,C,7-0,250,August 14 1981,University of Memphis,barroea01
Will Barton,2013,2016,G,6-6,175,January 6 1991,University of Memphis,bartowi01
Brandon Bass,2006,2016,F,6-8,250,April 30 1985,Louisiana State University,bassbr01
Nicolas Batum,2009,2016,F-G,6-8,200,December 14 1988,,batumni01
Jerryd Bayless,2009,2016,G,6-3,200,August 20 1988,University of Arizona,bayleje01
Aron Baynes,2013,2016,F-C,6-10,260,December 9 1986,Washington State University,baynear01
Kent Bazemore,2013,2016,G-F,6-5,201,July 1 1989,Old Dominion University,bazemke01
Bradley Beal,2013,2016,G,6-5,207,June 28 1993,University of Florida,bealbr01
Michael Beasley,2009,2015,F,6-9,235,January 9 1989,Kansas State University,beaslmi01
Marco Belinelli,2008,2016,G-F,6-5,210,March 25 1986,,belinma01
Jerrelle Benimon,2015,2015,F,6-8,245,August 1 1991,Towson University,benimje01
Anthony Bennett,2014,2016,F,6-8,245,March 14 1993,University of Nevada Las Vegas,bennean01
Patrick Beverley,2013,2016,G,6-1,185,July 12 1988,University of Arkansas,beverpa01
Sim Bhullar,2015,2015,C,7-5,360,December 2 1992,New Mexico State University,bhullsi01
Bismack Biyombo,2012,2016,C-F,6-9,245,August 28 1992,,biyombi01
Nemanja Bjelica,2016,2016,F,6-10,240,May 9 1988,,bjeline01
Tarik Black,2015,2016,C-F,6-9,250,November 22 1991,University of Kansas,blackta01
DeJuan Blair,2010,2016,F-C,6-7,270,April 22 1989,University of Pittsburgh,blairde01
Steve Blake,2004,2016,G,6-3,172,February 26 1980,University of Maryland,blakest01
Eric Bledsoe,2011,2016,G,6-1,190,December 9 1989,University of Kentucky,bledser01
Vander Blue,2014,2015,G,6-4,200,July 17 1992,Marquette University,blueva01
Bojan Bogdanovic,2015,2016,G-F,6-8,216,April 18 1989,,bogdabo02
Andrew Bogut,2006,2016,C,7-0,260,November 28 1984,University of Utah,bogutan01
Matt Bonner,2005,2015,F,6-10,235,April 5 1980,University of Florida,bonnema01
Devin Booker,2016,2016,G,6-6,206,October 30 1996,University of Kentucky,bookede01
Trevor Booker,2011,2016,F,6-8,228,November 25 1987,Clemson University,booketr01
Carlos Boozer,2003,2015,F-C,6-9,258,November 20 1981,Duke University,boozeca01
Chris Bosh,2004,2016,F-C,6-11,235,March 24 1984,Georgia Institute of Technology,boshch01
Avery Bradley,2011,2016,G,6-2,180,November 26 1990,University of Texas at Austin,bradlav01
Corey Brewer,2008,2016,F-G,6-9,186,March 5 1986,University of Florida,breweco01
Aaron Brooks,2008,2016,G,6-0,161,January 14 1985,University of Oregon,brookaa01
Anthony Brown,2016,2016,F,6-7,210,October 10 1992,Stanford University,brownan02
Jabari Brown,2015,2015,G,6-4,215,December 18 1992,University of Missouri,brownja01
Lorenzo Brown,2014,2015,G,6-5,189,August 26 1990,North Carolina State University,brownlo01
Markel Brown,2015,2016,G,6-3,190,January 29 1992,Oklahoma State University,brownma02
Shannon Brown,2007,2015,G,6-4,205,November 29 1985,Michigan State University,brownsh01
Kobe Bryant,1997,2016,G-F,6-6,212,August 23 1978,,bryanko01
Chase Budinger,2010,2016,F,6-7,209,May 22 1988,University of Arizona,budinch01
Reggie Bullock,2014,2016,G-F,6-7,205,March 16 1991,University of North Carolina,bullore01
Trey Burke,2014,2016,G,6-1,191,November 12 1992,University of Michigan,burketr01
Alec Burks,2012,2016,G,6-6,214,July 20 1991,University of Colorado,burksal01
Caron Butler,2003,2016,F,6-7,228,March 13 1980,University of Connecticut,butleca01
Jimmy Butler,2012,2016,G-F,6-7,220,September 14 1989,Marquette University,butleji01
Rasual Butler,2003,2016,G-F,6-7,215,May 23 1979,La Salle University,butlera01
Dwight Buycks,2014,2015,G,6-3,190,March 6 1989,Marquette University,buyckdw01
Will Bynum,2006,2015,G,6-0,185,January 4 1983,Georgia Institute of Technology,bynumwi01
