Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Samuel Dalembert,2002,2015,C,6-11,255,May 10 1981,Seton Hall University,dalemsa01
Troy Daniels,2014,2016,G,6-4,205,July 15 1991,Virginia Commonwealth University,danietr01
Luigi Datome,2014,2015,F,6-8,215,November 27 1987,,datomlu01
Brandon Davies,2014,2015,F,6-10,240,July 25 1991,Brigham Young University,daviebr01
Anthony Davis,2013,2016,F-C,6-10,253,March 11 1993,University of Kentucky,davisan02
Ed Davis,2011,2016,F,6-10,240,June 5 1989,University of North Carolina,davised01
Glen Davis,2008,2015,F,6-9,289,January 1 1986,Louisiana State University,davisgl01
Andre Dawkins,2015,2015,G,6-5,215,September 19 1991,Duke University,dawkian01
Austin Daye,2010,2015,F,6-11,220,June 5 1988,Gonzaga University,dayeau01
Dewayne Dedmon,2014,2016,C,7-0,245,August 12 1989,University of Southern California,dedmode01
Sam Dekker,2016,2016,F,6-9,230,May 6 1994,University of Wisconsin,dekkesa01
Matthew Dellavedova,2014,2016,G,6-4,198,September 8 1990,Saint Mary's College of California,dellama01
Luol Deng,2005,2016,F,6-9,220,April 16 1985,Duke University,denglu01
DeMar DeRozan,2010,2016,G,6-7,220,August 7 1989,University of Southern California,derozde01
Boris Diaw,2004,2016,F-C,6-8,250,April 16 1982,,diawbo01
Gorgui Dieng,2014,2016,C,6-11,241,January 18 1990,University of Louisville,dienggo01
Spencer Dinwiddie,2015,2016,G,6-6,200,April 6 1993,University of Colorado,dinwisp01
Joey Dorsey,2009,2015,F,6-8,268,December 16 1983,University of Memphis,dorsejo01
Toney Douglas,2010,2016,G,6-2,195,March 16 1986,Florida State University,douglto01
Chris Douglas-Roberts,2009,2015,G,6-7,200,January 8 1987,University of Memphis,douglch01
Goran Dragic,2009,2016,G,6-3,190,May 6 1986,,dragigo01
Zoran Dragic,2015,2015,G-F,6-5,200,June 22 1989,,dragizo01
Larry Drew,2015,2015,G,6-2,180,March 5 1990,University of California Los Angeles,drewla02
Andre Drummond,2013,2016,C,6-11,279,August 10 1993,University of Connecticut,drumman01
Jared Dudley,2008,2016,F-G,6-7,225,July 10 1985,Boston College,dudleja01
Tim Duncan,1998,2016,F-C,6-11,250,April 25 1976,Wake Forest University,duncati01
Mike Dunleavy,2003,2015,F-G,6-9,230,September 15 1980,Duke University,dunlemi02
Kevin Durant,2008,2016,F,6-9,240,September 29 1988,University of Texas at Austin,duranke01
