Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Cleanthony Early,2015,2016,F,6-8,210,April 17 1991,Wichita State University,earlycl01
Wayne Ellington,2010,2016,G,6-4,200,October 29 1987,University of North Carolina,ellinwa01
Monta Ellis,2006,2016,G,6-3,185,October 26 1985,,ellismo01
James Ennis,2015,2016,F,6-7,210,July 1 1990,California State University Long Beach,ennisja01
Tyler Ennis,2015,2016,G,6-3,194,August 24 1994,Syracuse University,ennisty01
Jeremy Evans,2011,2016,F,6-9,196,October 24 1987,Western Kentucky University,evansje01
Reggie Evans,2003,2015,F,6-8,245,May 18 1980,University of Iowa,evansre01
Tyreke Evans,2010,2015,G-F,6-6,220,September 19 1989,University of Memphis,evansty01
Dante Exum,2015,2015,G,6-6,190,July 13 1995,,exumda01
Festus Ezeli,2013,2016,C,6-11,255,October 21 1989,Vanderbilt University,ezelife01
