Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Chris Kaman,2004,2016,C,7-0,265,April 28 1982,Central Michigan University,kamanch01
Frank Kaminsky,2016,2016,F-C,7-0,242,April 4 1993,University of Wisconsin,kaminfr01
Enes Kanter,2012,2016,C,6-11,245,May 20 1992,,kanteen01
Sergey Karasev,2014,2016,G-F,6-7,208,October 26 1993,,karasse01
Sasha Kaun,2016,2016,C,6-11,260,May 8 1985,University of Kansas,kaunsa01
Ryan Kelly,2014,2016,F,6-11,230,April 9 1991,Duke University,kellyry01
Sean Kilpatrick,2015,2015,G,6-4,210,January 6 1990,University of Cincinnati,kilpase01
Alex Kirk,2015,2015,C,7-0,245,November 14 1991,University of New Mexico,kirkal01
Brandon Knight,2012,2016,G,6-3,189,December 2 1991,University of Kentucky,knighbr03
Kyle Korver,2004,2016,G-F,6-7,212,March 17 1981,Creighton University,korveky01
Kosta Koufos,2009,2016,C,7-0,265,February 24 1989,Ohio State University,koufoko01
Ognjen Kuzmic,2014,2015,C,7-1,251,May 16 1990,,kuzmiog01
