Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Shelvin Mack,2012,2016,G,6-3,203,April 22 1990,Butler University,macksh01
Ian Mahinmi,2008,2016,C,6-11,250,November 5 1986,,mahinia01
Devyn Marble,2015,2016,G-F,6-6,200,September 21 1992,University of Iowa,marblde01
Boban Marjanovic,2016,2016,C,7-3,290,August 15 1988,,marjabo01
Kendall Marshall,2013,2015,G,6-4,200,August 19 1991,University of North Carolina,marshke01
Cartier Martin,2009,2015,F,6-7,220,November 20 1984,Kansas State University,martica01
Kenyon Martin,2001,2015,F,6-9,234,December 30 1977,University of Cincinnati,martike02
Kevin Martin,2005,2016,G,6-7,199,February 1 1983,Western Carolina University,martike02
Wesley Matthews,2010,2016,G,6-5,220,October 14 1986,Marquette University,matthwe02
Jason Maxiell,2006,2015,F,6-7,260,February 18 1983,University of Cincinnati,maxieja01
Ray McCallum,2014,2016,G,6-3,190,June 12 1991,University of Detroit Mercy,mccalra01
Doug McDermott,2015,2016,F,6-8,225,January 3 1992,Creighton University,mcderdo01
Mitch McGary,2015,2016,F,6-10,255,June 6 1992,University of Michigan,mcgarmi01
JaVale McGee,2009,2016,C,7-0,270,January 19 1988,University of Nevada Reno,mcgeeja01
Ben McLemore,2014,2016,G,6-5,195,February 11 1993,University of Kansas,mclembe01
Jerel McNeal,2015,2015,G,6-3,200,June 1 1987,Marquette University,mcneaje01
Josh McRoberts,2008,2016,F,6-10,240,February 28 1987,Duke University,mcrobjo01
Jodie Meeks,2010,2016,G,6-4,208,August 21 1987,University of Kentucky,meeksjo01
Salah Mejri,2016,2016,C,7-1,245,June 15 1986,,mejrisa01
Gal Mekel,2014,2015,G,6-3,191,March 4 1988,Wichita State University,mekelga01
Jordan Mickey,2016,2016,F,6-8,235,July 9 1994,Louisiana State University,mickejo01
Khris Middleton,2013,2016,F-G,6-8,234,August 12 1991,Texas A&amp;M University,middlkh01
Andre Miller,2000,2016,G,6-3,200,March 19 1976,University of Utah,millean02
Darius Miller,2013,2015,F,6-8,235,March 21 1990,University of Kentucky,milleda01
Mike Miller,2001,2016,F-G,6-8,218,February 19 1980,University of Florida,millemi01
Quincy Miller,2013,2015,F,6-9,210,November 18 1992,Baylor University,millequ01
Patrick Mills,2010,2016,G,6-0,185,August 11 1988,Saint Mary's College of California,millspa01
Patrick Mills,2010,2016,G,6-0,185,August 11 1988,Saint Mary's College of California,millspa01
Elijah Millsap,2015,2016,G-F,6-6,225,August 12 1987,University of Alabama at Birmingham,millsel01
Paul Millsap,2007,2016,F,6-8,246,February 10 1985,Louisiana Tech University,millspa02
Paul Millsap,2007,2016,F,6-8,246,February 10 1985,Louisiana Tech University,millspa02
Nikola Mirotic,2015,2016,F,6-10,220,February 11 1991,,mirotni01
Nazr Mohammed,1999,2015,C,6-10,221,September 5 1977,University of Kentucky,mohamna01
Greg Monroe,2011,2016,C-F,6-11,265,June 4 1990,Georgetown University,monrogr01
Luis Montero,2016,2016,G,6-7,185,April 6 1993,Westchester CC,montelu01
Eric Moreland,2015,2016,F-C,6-10,238,December 24 1991,Oregon State University,moreler01
Darius Morris,2012,2015,G,6-4,190,January 3 1991,University of Michigan,morrida01
Marcus Morris,2012,2016,F,6-9,235,September 2 1989,University of Kansas,morrima02
Marcus Morris,2012,2016,F,6-9,235,September 2 1989,University of Kansas,morrima02
Markieff Morris,2012,2016,F,6-10,245,September 2 1989,University of Kansas,morrima03
Markieff Morris,2012,2016,F,6-10,245,September 2 1989,University of Kansas,morrima03
Anthony Morrow,2009,2016,G,6-5,210,September 27 1985,Georgia Institute of Technology,morroan01
Donatas Motiejunas,2013,2015,F-C,7-0,222,September 20 1990,,motiedo01
Timofey Mozgov,2011,2016,C,7-1,275,July 16 1986,,mozgoti01
Emmanuel Mudiay,2016,2016,G,6-5,200,March 5 1996,,mudiaem01
Shabazz Muhammad,2014,2016,G-F,6-6,223,November 13 1992,University of California Los Angeles,muhamsh01
Toure' Murry,2014,2015,G-F,6-5,195,November 8 1989,Wichita State University,murryto01
Mike Muscala,2014,2016,F-C,6-11,240,July 1 1991,Bucknell University,muscami01
