Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Larry Nance Jr.,2016,2016,F,6-9,230,January 1 1993,University of Wyoming,nancela02
Shabazz Napier,2015,2016,G,6-1,175,July 14 1991,University of Connecticut,napiesh01
Gary Neal,2011,2016,G,6-4,210,October 3 1984,Towson University,nealga01
Jameer Nelson,2005,2016,G,6-0,190,February 9 1982,Saint Joseph's University,nelsoja01
Raul Neto,2016,2016,G,6-1,179,May 19 1992,,netora01
Andrew Nicholson,2013,2016,F,6-9,250,December 8 1989,St. Bonaventure University,nichoan01
Joakim Noah,2008,2016,C,6-11,232,February 25 1985,University of Florida,noahjo01
Nerlens Noel,2015,2016,F-C,6-11,228,April 10 1994,University of Kentucky,noelne01
Lucas Nogueira,2015,2016,C,7-0,220,July 26 1992,,noguelu01
Steve Novak,2007,2016,F,6-10,225,June 13 1983,Marquette University,novakst01
Dirk Nowitzki,1999,2016,F,7-0,245,June 19 1978,,nowitdi01
Jusuf Nurkic,2015,2015,C,7-0,280,August 23 1994,,nurkiju01
