Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Zaza Pachulia,2004,2016,C,6-11,270,February 10 1984,,pachuza01
Kostas Papanikolaou,2015,2016,F,6-8,225,July 31 1990,,papanko01
Jannero Pargo,2003,2015,G,6-1,175,October 22 1979,University of Arkansas,pargoja01
Jabari Parker,2015,2016,F,6-8,250,March 15 1995,Duke University,parkeja01
Tony Parker,2002,2016,G,6-2,185,May 17 1982,,parketo01
Chandler Parsons,2012,2016,F,6-9,227,October 25 1988,University of Florida,parsoch01
Lamar Patterson,2016,2016,G-F,6-5,225,August 12 1991,University of Pittsburgh,pattela01
Patrick Patterson,2011,2016,F,6-9,235,March 14 1989,University of Kentucky,pattepa01
Chris Paul,2006,2016,G,6-0,175,May 6 1985,Wake Forest University,paulch01
Adreian Payne,2015,2016,F,6-10,237,February 19 1991,Michigan State University,paynead01
Cameron Payne,2016,2016,G,6-3,185,August 8 1994,Murray State University,payneca01
Elfrid Payton,2015,2016,G,6-4,185,February 22 1994,University of Louisiana at Lafayette,paytoel01
Nikola Pekovic,2011,2015,C,6-11,307,January 3 1986,,pekovni01
Kendrick Perkins,2004,2016,C,6-10,270,November 10 1984,,perkike01
Paul Pierce,1999,2016,F-G,6-7,235,October 13 1977,University of Kansas,piercpa01
Tibor Pleiss,2016,2016,C,7-3,256,November 2 1989,,pleisti01
Mason Plumlee,2014,2016,F,6-11,245,March 5 1990,Duke University,plumlma01
Miles Plumlee,2013,2016,C-F,6-11,249,September 1 1988,Duke University,plumlmi01
Quincy Pondexter,2011,2015,G-F,6-7,220,March 10 1988,University of Washington,pondequ01
Otto Porter,2014,2016,F,6-8,198,June 3 1993,Georgetown University,porteot01
Bobby Portis,2016,2016,F,6-11,230,February 10 1995,University of Arkansas,portibo01
Kristaps Porzingis,2016,2016,F-C,7-3,240,August 2 1995,,porzikr01
Dwight Powell,2015,2016,F,6-11,240,July 20 1991,Stanford University,poweldw01
Norman Powell,2016,2016,G,6-4,215,May 25 1993,University of California Los Angeles,powelno01
Phil Pressey,2014,2016,G,5-11,175,February 17 1991,University of Missouri,pressph01
Ronnie Price,2006,2016,G,6-2,190,June 21 1983,Utah Valley State College,pricero01
Pablo Prigioni,2013,2016,G,6-3,185,May 17 1977,,prigipa01
Tayshaun Prince,2003,2016,F,6-9,212,February 28 1980,University of Kentucky,princta01
