Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Miroslav Raduljica,2014,2015,C,7-0,250,January 5 1988,,radulmi01
Julius Randle,2015,2016,F,6-9,250,November 29 1994,University of Kentucky,randlju01
Shavlik Randolph,2006,2015,F,6-10,240,November 24 1983,Duke University,randosh01
Zach Randolph,2002,2016,F,6-9,260,July 16 1981,Michigan State University,randoza01
Glen Rice,2014,2015,G,6-6,206,January 1 1991,Georgia Institute of Technology,ricegl02
Josh Richardson,2016,2016,G,6-6,200,September 15 1993,University of Tennessee,richajo01
Luke Ridnour,2004,2015,G,6-2,175,February 13 1981,University of Oregon,ridnolu01
Austin Rivers,2013,2016,G,6-4,200,August 1 1992,Duke University,riverau01
Andre Roberson,2014,2016,G-F,6-7,210,December 4 1991,University of Colorado,roberan03
Brian Roberts,2013,2016,G,6-1,173,December 3 1985,University of Dayton,roberbr01
Nate Robinson,2006,2016,G,5-9,180,May 31 1984,University of Washington,robinna01
Thomas Robinson,2013,2016,F,6-10,237,March 17 1991,University of Kansas,robinth01
Glenn Robinson III,2015,2016,G-F,6-7,222,January 8 1994,University of Michigan,robingl02
Rajon Rondo,2007,2016,G,6-1,186,February 22 1986,University of Kentucky,rondora01
Derrick Rose,2009,2016,G,6-3,190,October 4 1988,University of Memphis,rosede01
Terrence Ross,2013,2016,F-G,6-7,195,February 5 1991,University of Washington,rosste01
Terry Rozier,2016,2016,G,6-2,190,March 17 1994,University of Louisville,roziete01
Ricky Rubio,2012,2016,G,6-4,194,October 21 1990,,rubiori01
Damjan Rudez,2015,2016,F,6-10,228,June 17 1986,,rudezda01
Brandon Rush,2009,2016,G-F,6-6,210,July 7 1985,University of Kansas,rushbr01
