<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,32-013,BRK,@,BOS,L (-16),0,24:47,1,4,.250,0,3,.000,2,2,1.000,0,2,2,1,0,1,1,2,4,1.8,-5
2,2,2014-11-01,32-016,BRK,@,DET,W (+12),0,10:04,1,2,.500,1,1,1.000,0,0,,0,2,2,1,0,0,0,3,3,2.1,+5
3,3,2014-11-03,32-018,BRK,,OKC,W (+31),0,15:30,7,8,.875,4,4,1.000,0,0,,0,1,1,0,0,0,0,2,18,14.7,+17
4,4,2014-11-05,32-020,BRK,,MIN,L (-7),0,24:40,1,1,1.000,0,0,,2,3,.667,1,1,2,2,1,1,2,1,4,5.0,+5
5,5,2014-11-07,32-022,BRK,,NYK,W (+11),0,21:57,3,7,.429,2,4,.500,0,0,,3,3,6,0,0,0,0,2,8,6.5,-1
6,6,2014-11-09,32-024,BRK,,ORL,W (+8),0,22:24,2,5,.400,0,1,.000,2,2,1.000,0,1,1,0,0,0,2,4,6,0.0,+4
7,7,2014-11-12,32-027,BRK,@,PHO,L (-8),0,13:26,0,0,,0,0,,2,4,.500,0,0,0,0,0,0,0,4,2,-0.4,-9
8,8,2014-11-13,32-028,BRK,@,GSW,L (-8),0,23:31,1,9,.111,0,6,.000,0,0,,0,4,4,1,0,0,0,3,2,-3.2,-3
9,9,2014-11-15,32-030,BRK,@,POR,L (-10),0,13:17,0,1,.000,0,1,.000,0,0,,1,1,2,0,1,0,2,1,0,-1.1,-4
10,10,2014-11-17,32-032,BRK,,MIA,L (-12),0,13:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,3,1,0,-3.1,-4
11,11,2014-11-19,32-034,BRK,,MIL,L (-4),0,11:00,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,-1
12,12,2014-11-21,32-036,BRK,@,OKC,W (+2),0,25:04,2,3,.667,0,1,.000,0,0,,0,3,3,3,0,0,0,3,4,4.5,+14
13,13,2014-11-22,32-037,BRK,@,SAS,L (-12),0,21:46,1,6,.167,0,1,.000,0,0,,4,3,7,0,2,0,0,1,2,3.5,-12
14,14,2014-11-26,32-041,BRK,@,PHI,W (+8),0,28:16,4,7,.571,1,2,.500,3,3,1.000,0,4,4,0,1,1,4,0,12,7.6,-8
15,15,2014-11-30,32-045,BRK,,CHI,L (-18),0,11:30,2,3,.667,1,1,1.000,0,0,,0,1,1,0,1,0,0,5,5,3.0,0
16,16,2014-12-02,32-047,BRK,@,NYK,W (+5),0,12:06,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,3,2,-0.2,-5
17,17,2014-12-03,32-048,BRK,,SAS,W (+2),0,16:08,1,5,.200,0,1,.000,0,0,,0,1,1,1,0,0,2,1,2,-2.5,-6
18,18,2014-12-05,32-050,BRK,,ATL,L (-23),0,21:12,0,6,.000,0,2,.000,0,0,,1,1,2,0,0,0,1,2,0,-5.0,-9
19,19,2014-12-08,32-053,BRK,,CLE,L (-22),1,31:55,3,7,.429,0,3,.000,0,0,,0,5,5,0,2,0,1,3,6,3.6,-13
20,20,2014-12-10,32-055,BRK,@,CHI,L (-25),1,24:23,5,10,.500,2,6,.333,0,0,,0,3,3,0,0,0,0,2,12,7.1,-11
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-12,32-057,BRK,,PHI,W (+18),0,28:12,5,8,.625,1,2,.500,1,1,1.000,1,4,5,2,3,0,3,1,12,11.3,+16
22,22,2014-12-13,32-058,BRK,@,CHO,W (+27),0,24:42,6,7,.857,4,5,.800,1,1,1.000,0,1,1,3,0,0,0,2,17,16.1,+7
23,23,2014-12-16,32-061,BRK,,MIA,L (-4),0,17:13,0,3,.000,0,1,.000,2,2,1.000,0,3,3,0,1,0,0,5,2,-0.2,+2
24,24,2014-12-17,32-062,BRK,@,TOR,L (-16),1,26:50,1,7,.143,1,5,.200,1,2,.500,2,5,7,1,1,1,0,0,4,4.4,+3
25,25,2014-12-19,32-064,BRK,@,CLE,L (-4),0,17:23,2,3,.667,1,2,.500,0,0,,0,3,3,1,2,0,3,0,5,4.3,-7
26,26,2014-12-21,32-066,BRK,,DET,W (+5),0,21:40,2,8,.250,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,1,6,0.5,-2
