<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,NJN,NBA,PF,66,30,1312,160,407,.393,69,189,.365,91,218,.417,.478,98,116,.845,104,207,311,52,44,20,63,157,487
2009-10,21,ORL,NBA,PF,63,6,911,169,388,.436,78,211,.370,91,177,.514,.536,71,82,.866,70,132,202,37,25,14,56,81,487
2010-11,22,ORL,NBA,PF,64,14,1424,226,525,.430,134,341,.393,92,184,.500,.558,95,117,.812,129,226,355,52,30,38,49,137,681
2011-12,23,ORL,NBA,PF,61,61,1964,332,757,.439,166,422,.393,166,335,.496,.548,150,171,.877,224,247,471,54,50,26,57,146,980
2012-13,24,NOH,NBA,PF,81,22,2503,472,1115,.423,213,557,.382,259,558,.464,.519,152,180,.844,191,328,519,97,42,31,97,179,1309
2013-14,25,NOP,NBA,PF,22,14,795,155,354,.438,67,164,.409,88,190,.463,.532,59,62,.952,66,76,142,17,10,7,20,47,436
2014-15,26,NOP,NBA,PF,61,5,1675,291,729,.399,122,359,.340,169,370,.457,.483,129,151,.854,108,187,295,55,33,20,62,113,833
2015-16,27,NOP,NBA,PF,4,1,124,23,58,.397,9,23,.391,14,35,.400,.474,8,11,.727,6,20,26,2,5,2,6,4,63
Career,,,NBA,,422,153,10708,1828,4333,.422,858,2266,.379,970,2067,.469,.521,762,890,.856,898,1423,2321,366,239,158,410,864,5276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ORL,NBA,,188,81,4299,727,1670,.435,378,974,.388,349,696,.501,.549,316,370,.854,423,605,1028,143,105,78,162,364,2148
4 seasons,,NOHNOP,NBA,,168,42,5097,941,2256,.417,411,1103,.373,530,1153,.460,.508,348,404,.861,371,611,982,171,90,60,185,343,2641
1 season,,NJN,NBA,,66,30,1312,160,407,.393,69,189,.365,91,218,.417,.478,98,116,.845,104,207,311,52,44,20,63,157,487
