<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,25,MIA,NBA,PF,24,1,498,28,60,.467,0,0,,28,60,.467,.467,29,49,.592,38,55,93,3,9,31,17,55,85
2008-09,26,MIA,NBA,C,65,28,1048,57,118,.483,0,0,,57,118,.483,.483,30,46,.652,89,108,197,27,20,93,41,139,144
2009-10,27,MIA,NBA,C,80,16,1322,76,159,.478,0,0,,76,159,.478,.478,66,92,.717,123,126,249,12,20,109,45,158,218
2010-11,28,MIA,NBA,C,75,11,1463,53,99,.535,0,0,,53,99,.535,.535,47,73,.644,104,162,266,24,10,93,36,194,153
2011-12,29,MIA,NBA,C,64,51,1349,85,152,.559,0,0,,85,152,.559,.559,49,71,.690,100,150,250,9,36,84,45,126,219
2012-13,30,MIA,NBA,C,62,3,566,35,68,.515,0,0,,35,68,.515,.515,17,28,.607,45,70,115,13,13,42,22,49,87
2013-14,31,TOT,NBA,C,33,0,186,12,32,.375,0,0,,12,32,.375,.375,4,8,.500,15,23,38,2,3,12,3,17,28
2013-14,31,MIA,NBA,C,12,0,37,2,6,.333,0,0,,2,6,.333,.333,2,2,1.000,2,5,7,0,0,4,1,4,6
2013-14,31,BOS,NBA,C,21,0,149,10,26,.385,0,0,,10,26,.385,.385,2,6,.333,13,18,31,2,3,8,2,13,22
2014-15,32,DET,NBA,C,49,0,406,36,62,.581,0,0,,36,62,.581,.581,15,22,.682,32,61,93,5,12,49,12,55,87
Career,,,NBA,,452,110,6838,382,750,.509,0,0,,382,750,.509,.509,257,389,.661,546,755,1301,95,123,513,221,793,1021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MIA,NBA,,382,110,6283,336,662,.508,0,0,,336,662,.508,.508,240,361,.665,501,676,1177,88,108,456,207,725,912
1 season,,DET,NBA,,49,0,406,36,62,.581,0,0,,36,62,.581,.581,15,22,.682,32,61,93,5,12,49,12,55,87
1 season,,BOS,NBA,,21,0,149,10,26,.385,0,0,,10,26,.385,.385,2,6,.333,13,18,31,2,3,8,2,13,22
