<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-29,32-092,ATL,,TOR,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2014-11-01,32-095,ATL,,IND,W (+10),0,20:07,2,4,.500,1,3,.333,2,3,.667,0,1,1,2,0,0,1,3,7,4.1,-2
3,2,2014-11-05,32-099,ATL,@,SAS,L (-2),0,15:40,3,7,.429,1,3,.333,0,0,,0,3,3,0,0,0,0,2,7,3.4,+3
4,3,2014-11-07,32-101,ATL,@,CHO,L (-3),0,22:59,3,7,.429,2,5,.400,0,0,,0,2,2,3,1,0,0,3,8,6.8,+19
5,4,2014-11-08,32-102,ATL,,NYK,W (+7),0,17:39,0,3,.000,0,2,.000,2,3,.667,1,1,2,0,0,1,2,2,2,-1.6,+21
6,5,2014-11-10,32-104,ATL,@,NYK,W (+6),0,16:31,2,4,.500,1,3,.333,0,0,,0,2,2,0,0,0,0,2,5,2.8,+10
7,6,2014-11-12,32-106,ATL,,UTA,W (+3),0,19:14,2,5,.400,1,3,.333,1,2,.500,1,4,5,0,0,0,2,0,6,2.8,+17
8,7,2014-11-14,32-108,ATL,,MIA,W (+11),0,12:42,1,2,.500,0,1,.000,1,1,1.000,1,2,3,1,0,0,0,4,3,2.4,-8
9,8,2014-11-15,32-109,ATL,@,CLE,L (-33),0,4:59,0,0,,0,0,,0,0,,1,0,1,0,0,1,0,0,0,1.4,-9
10,9,2014-11-18,32-112,ATL,,LAL,L (-5),0,17:49,2,9,.222,0,4,.000,0,0,,5,3,8,0,0,0,0,4,4,1.3,-15
