<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,19,NYK,NBA,SF,80,12,1382,172,389,.442,3,13,.231,169,376,.449,.446,121,174,.695,89,153,242,85,70,18,73,150,468
2005-06,20,TOT,NBA,SF,57,10,999,93,226,.412,1,5,.200,92,221,.416,.414,77,127,.606,78,140,218,61,57,11,62,100,264
2005-06,20,NYK,NBA,SF,36,10,709,61,146,.418,1,3,.333,60,143,.420,.421,42,77,.545,49,88,137,46,43,9,46,78,165
2005-06,20,ORL,NBA,SF,21,0,290,32,80,.400,0,2,.000,32,78,.410,.400,35,50,.700,29,52,81,15,14,2,16,22,99
2006-07,21,ORL,NBA,SG,57,7,1278,200,371,.539,0,7,.000,200,364,.549,.539,106,171,.620,98,151,249,65,59,19,84,134,506
2007-08,22,TOT,NBA,SF,35,3,546,69,136,.507,5,18,.278,64,118,.542,.526,49,75,.653,30,78,108,44,31,11,23,45,192
2007-08,22,ORL,NBA,SF,11,0,115,14,31,.452,0,3,.000,14,28,.500,.452,8,15,.533,5,19,24,8,5,3,5,9,36
2007-08,22,LAL,NBA,SF,24,3,431,55,105,.524,5,15,.333,50,90,.556,.548,41,60,.683,25,59,84,36,26,8,18,36,156
2008-09,23,LAL,NBA,SF,82,20,1999,274,596,.460,61,191,.319,213,405,.526,.511,120,169,.710,111,241,352,145,137,24,87,166,729
2009-10,24,HOU,NBA,SF,72,71,2629,394,999,.394,136,407,.334,258,592,.436,.462,148,228,.649,78,325,403,276,126,40,161,162,1072
2010-11,25,NOH,NBA,SF,75,75,2600,303,762,.398,82,271,.303,221,491,.450,.451,138,197,.701,61,347,408,162,120,31,118,180,826
2011-12,26,NOH,NBA,SF,41,41,1350,168,403,.417,29,87,.333,139,316,.440,.453,79,102,.775,41,174,215,135,69,25,76,73,444
2012-13,27,WAS,NBA,SF,56,15,1471,188,451,.417,76,209,.364,112,242,.463,.501,78,95,.821,44,222,266,113,72,20,84,72,530
2013-14,28,WAS,NBA,SF,77,77,2723,389,853,.456,180,442,.407,209,411,.509,.562,149,193,.772,99,376,475,191,126,20,132,179,1107
2014-15,29,HOU,NBA,SF,82,82,2930,366,910,.402,194,555,.350,172,355,.485,.509,122,143,.853,77,382,459,209,152,17,141,186,1048
2015-16,30,HOU,NBA,SF,4,4,140,11,40,.275,7,23,.304,4,17,.235,.363,6,7,.857,3,15,18,8,7,1,6,8,35
Career,,,NBA,,718,417,20047,2627,6136,.428,774,2228,.347,1853,3908,.474,.491,1193,1681,.710,809,2604,3413,1494,1026,237,1047,1455,7221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,158,157,5699,771,1949,.396,337,985,.342,434,964,.450,.482,276,378,.730,158,722,880,493,285,58,308,356,2155
2 seasons,,WAS,NBA,,133,92,4194,577,1304,.442,256,651,.393,321,653,.492,.541,227,288,.788,143,598,741,304,198,40,216,251,1637
2 seasons,,NOH,NBA,,116,116,3950,471,1165,.404,111,358,.310,360,807,.446,.452,217,299,.726,102,521,623,297,189,56,194,253,1270
2 seasons,,NYK,NBA,,116,22,2091,233,535,.436,4,16,.250,229,519,.441,.439,163,251,.649,138,241,379,131,113,27,119,228,633
2 seasons,,LAL,NBA,,106,23,2430,329,701,.469,66,206,.320,263,495,.531,.516,161,229,.703,136,300,436,181,163,32,105,202,885
3 seasons,,ORL,NBA,,89,7,1683,246,482,.510,0,12,.000,246,470,.523,.510,149,236,.631,132,222,354,88,78,24,105,165,641
