<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,20,CHI,NBA,SF,72,63,2238,309,759,.407,60,191,.314,249,568,.438,.447,188,279,.674,62,246,308,202,119,39,166,159,866
2000-01,21,CHI,NBA,SF,76,74,2363,327,815,.401,43,148,.291,284,667,.426,.428,210,280,.750,59,235,294,228,152,45,159,254,907
2001-02,22,TOT,NBA,SF,55,50,1642,269,636,.423,53,170,.312,216,466,.464,.465,136,204,.667,73,198,271,127,141,39,118,217,727
2001-02,22,CHI,NBA,SF,27,26,823,152,351,.433,36,91,.396,116,260,.446,.484,81,129,.628,40,91,131,77,75,23,69,108,421
2001-02,22,IND,NBA,SF,28,24,819,117,285,.411,17,79,.215,100,206,.485,.440,55,75,.733,33,107,140,50,66,16,49,109,306
2002-03,23,IND,NBA,SF,69,67,2317,362,846,.428,71,211,.336,291,635,.458,.470,273,371,.736,101,261,362,198,159,50,145,242,1068
2003-04&nbsp;★,24,IND,NBA,SF,73,71,2714,468,1112,.421,75,242,.310,393,870,.452,.455,322,439,.733,100,285,385,272,152,50,202,194,1333
2004-05,25,IND,NBA,SF,7,7,291,59,119,.496,7,17,.412,52,102,.510,.525,47,51,.922,8,37,45,22,12,6,17,27,172
2005-06,26,TOT,NBA,SF,56,56,2207,350,867,.404,78,253,.308,272,614,.443,.449,206,305,.675,75,211,286,203,122,41,131,164,984
2005-06,26,IND,NBA,SF,16,16,603,109,237,.460,18,54,.333,91,183,.497,.498,74,121,.612,26,52,78,35,42,11,43,45,310
2005-06,26,SAC,NBA,SF,40,40,1604,241,630,.383,60,199,.302,181,431,.420,.430,132,184,.717,49,159,208,168,80,30,88,119,674
2006-07,27,SAC,NBA,SF,70,65,2641,458,1040,.440,93,260,.358,365,780,.468,.485,307,415,.740,102,352,454,235,149,43,146,205,1316
2007-08,28,SAC,NBA,SF,57,54,2172,436,962,.453,84,221,.380,352,741,.475,.497,212,295,.719,101,227,328,199,133,38,148,159,1168
2008-09,29,HOU,NBA,SF,69,55,2452,416,1037,.401,153,383,.399,263,654,.402,.475,196,262,.748,65,294,359,229,105,24,140,155,1181
2009-10,30,LAL,NBA,SF,77,77,2605,306,740,.414,105,296,.355,201,444,.453,.484,128,186,.688,99,232,331,234,106,21,121,165,845
2010-11,31,LAL,NBA,SF,82,82,2410,261,658,.397,83,233,.356,178,425,.419,.460,92,136,.676,100,167,267,175,124,36,90,181,697
2011-12,32,LAL,NBA,SF,64,45,1720,183,465,.394,56,189,.296,127,276,.460,.454,71,115,.617,71,147,218,140,69,27,69,137,493
2012-13,33,LAL,NBA,SF,75,66,2530,332,824,.403,141,412,.342,191,412,.464,.488,124,169,.734,101,271,372,112,122,42,98,198,929
2013-14,34,NYK,NBA,SF,29,1,388,56,141,.397,17,54,.315,39,87,.448,.457,10,16,.625,18,41,59,17,24,8,19,44,139
2014-15,35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2015-16,36,LAL,NBA,SF,14,3,251,25,74,.338,13,36,.361,12,38,.316,.426,15,21,.714,9,29,38,14,11,6,7,26,78
Career,,,NBA,,945,836,30941,4617,11095,.416,1132,3316,.341,3485,7779,.448,.467,2537,3544,.716,1144,3233,4377,2607,1700,515,1776,2527,12903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,LAL,NBA,,312,273,9516,1107,2761,.401,398,1166,.341,709,1595,.445,.473,430,627,.686,380,846,1226,675,432,132,385,707,3042
5 seasons,,IND,NBA,,193,185,6744,1115,2599,.429,188,603,.312,927,1996,.464,.465,771,1057,.729,268,742,1010,577,431,133,456,617,3189
3 seasons,,CHI,NBA,,175,163,5424,788,1925,.409,139,430,.323,649,1495,.434,.445,479,688,.696,161,572,733,507,346,107,394,521,2194
3 seasons,,SAC,NBA,,167,159,6417,1135,2632,.431,237,680,.349,898,1952,.460,.476,651,894,.728,252,738,990,602,362,111,382,483,3158
1 season,,HOU,NBA,,69,55,2452,416,1037,.401,153,383,.399,263,654,.402,.475,196,262,.748,65,294,359,229,105,24,140,155,1181
1 season,,NYK,NBA,,29,1,388,56,141,.397,17,54,.315,39,87,.448,.457,10,16,.625,18,41,59,17,24,8,19,44,139
