<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,MEM,NBA,PF,76,64,1464,191,436,.438,0,2,.000,191,434,.440,.438,40,60,.667,108,238,346,43,52,52,47,206,422
2009-10,21,MEM,NBA,PF,32,1,457,63,146,.432,0,1,.000,63,145,.434,.432,17,30,.567,37,73,110,15,14,14,22,60,143
2010-11,22,MEM,NBA,PF,80,9,1609,310,624,.497,0,6,.000,310,618,.502,.497,109,134,.813,115,227,342,53,52,63,88,228,729
2011-12,23,Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles),Did Not Play&nbsp;(injury—achilles)
2012-13,24,MEM,NBA,PF,59,3,970,162,359,.451,5,18,.278,157,341,.460,.458,33,46,.717,68,101,169,33,24,33,43,126,362
2013-14,25,DEN,NBA,SF,68,1,1161,162,410,.395,24,64,.375,138,346,.399,.424,53,62,.855,52,158,210,61,39,47,58,185,401
2014-15,26,DEN,NBA,PF,58,4,988,155,384,.404,26,110,.236,129,274,.471,.438,46,59,.780,53,118,171,57,48,26,47,146,382
2015-16,27,DEN,NBA,PF,4,0,82,7,24,.292,2,5,.400,5,19,.263,.333,0,0,,6,13,19,5,1,5,2,13,16
Career,,,NBA,,377,82,6731,1050,2383,.441,57,206,.277,993,2177,.456,.453,298,391,.762,439,928,1367,267,230,240,307,964,2455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,247,77,4500,726,1565,.464,5,27,.185,721,1538,.469,.465,199,270,.737,328,639,967,144,142,162,200,620,1656
3 seasons,,DEN,NBA,,130,5,2231,324,818,.396,52,179,.291,272,639,.426,.428,99,121,.818,111,289,400,123,88,78,107,344,799
