<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,CHA,NBA,PG,72,12,1908,267,621,.430,108,246,.439,159,375,.424,.517,208,233,.893,17,116,133,250,42,2,119,140,850
2009-10,22,CHA,NBA,PG,80,2,1472,168,435,.386,70,178,.393,98,257,.381,.467,102,131,.779,11,86,97,193,45,5,74,127,508
2010-11,23,CHA,NBA,PG,82,82,2757,399,958,.416,111,333,.333,288,625,.461,.474,269,297,.906,38,187,225,498,54,3,155,152,1178
2011-12,24,CHA,NBA,PG,48,46,1408,183,487,.376,61,179,.341,122,308,.396,.438,105,120,.875,24,85,109,307,36,1,110,65,532
2012-13,25,IND,NBA,PG,76,5,1226,103,294,.350,67,190,.353,36,104,.346,.464,83,99,.838,20,71,91,170,34,3,68,64,356
2013-14,26,TOT,NBA,PG,71,9,1939,298,718,.415,133,332,.401,165,386,.427,.508,201,227,.885,15,115,130,313,53,3,125,147,930
2013-14,26,TOR,NBA,PG,10,0,82,7,24,.292,1,11,.091,6,13,.462,.313,6,6,1.000,0,4,4,10,1,0,9,7,21
2013-14,26,CHI,NBA,PG,61,9,1857,291,694,.419,132,321,.411,159,373,.426,.514,195,221,.882,15,111,126,303,52,3,116,140,909
2014-15,27,TOT,NBA,PG,82,14,1964,258,647,.399,83,246,.337,175,401,.436,.463,178,205,.868,20,141,161,353,49,3,145,93,777
2014-15,27,DET,NBA,PG,54,13,1287,189,461,.410,49,150,.327,140,311,.450,.463,147,169,.870,13,87,100,265,33,2,110,61,574
2014-15,27,OKC,NBA,PG,28,1,677,69,186,.371,34,96,.354,35,90,.389,.462,31,36,.861,7,54,61,88,16,1,35,32,203
2015-16,28,OKC,NBA,PG,4,0,81,15,28,.536,7,12,.583,8,16,.500,.661,9,11,.818,2,8,10,12,4,0,7,6,46
Career,,,NBA,,515,170,12755,1691,4188,.404,640,1716,.373,1051,2472,.425,.480,1155,1323,.873,147,809,956,2096,317,20,803,794,5177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHA,NBA,,282,142,7545,1017,2501,.407,350,936,.374,667,1565,.426,.477,684,781,.876,90,474,564,1248,177,11,458,484,3068
1 season,,IND,NBA,,76,5,1226,103,294,.350,67,190,.353,36,104,.346,.464,83,99,.838,20,71,91,170,34,3,68,64,356
1 season,,CHI,NBA,,61,9,1857,291,694,.419,132,321,.411,159,373,.426,.514,195,221,.882,15,111,126,303,52,3,116,140,909
1 season,,DET,NBA,,54,13,1287,189,461,.410,49,150,.327,140,311,.450,.463,147,169,.870,13,87,100,265,33,2,110,61,574
2 seasons,,OKC,NBA,,32,1,758,84,214,.393,41,108,.380,43,106,.406,.488,40,47,.851,9,62,71,100,20,1,42,38,249
1 season,,TOR,NBA,,10,0,82,7,24,.292,1,11,.091,6,13,.462,.313,6,6,1.000,0,4,4,10,1,0,9,7,21
