<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,21,POR,NBA,SF,24,0,137,15,55,.273,3,16,.188,12,39,.308,.300,3,9,.333,6,24,30,6,2,2,8,15,36
2011-12,22,POR,NBA,SF,40,4,537,71,173,.410,43,100,.430,28,73,.384,.535,17,20,.850,16,79,95,16,10,4,27,46,202
2012-13,23,POR,NBA,PF,62,0,730,86,234,.368,62,178,.348,24,56,.429,.500,10,13,.769,15,122,137,29,14,5,22,82,244
2013-14,24,NOP,NBA,PF,27,2,473,60,154,.390,36,95,.379,24,59,.407,.506,14,18,.778,18,70,88,29,7,11,15,52,170
2014-15,25,NOP,NBA,SF,63,19,830,92,192,.479,59,115,.513,33,77,.429,.633,13,19,.684,12,99,111,24,17,11,26,63,256
2015-16,26,NOP,NBA,SF,2,1,59,5,14,.357,2,10,.200,3,4,.750,.429,0,0,,0,14,14,2,1,0,1,3,12
Career,,,NBA,,218,26,2766,329,822,.400,205,514,.399,124,308,.403,.525,57,79,.722,67,408,475,106,51,33,99,261,920
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,126,4,1404,172,462,.372,108,294,.367,64,168,.381,.489,30,42,.714,37,225,262,51,26,11,57,143,482
3 seasons,,NOP,NBA,,92,22,1362,157,360,.436,97,220,.441,60,140,.429,.571,27,37,.730,30,183,213,55,25,22,42,118,438
