<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,22,NYK,NBA,SF,68,1,1064,139,275,.505,5,27,.185,134,248,.540,.515,51,90,.567,97,197,294,44,57,44,49,146,334
2007-08,23,NYK,NBA,SF,65,0,952,91,186,.489,1,12,.083,90,174,.517,.492,41,95,.432,83,133,216,40,44,30,37,132,224
2008-09,24,DEN,NBA,PF,53,10,780,110,197,.558,2,7,.286,108,190,.568,.563,42,65,.646,86,117,203,34,47,23,35,98,264
2009-10,25,DEN,NBA,SF,13,1,91,6,18,.333,0,7,.000,6,11,.545,.333,2,6,.333,4,19,23,7,8,2,6,16,14
2010-11,26,TOT,NBA,SF,8,0,62,6,13,.462,1,2,.500,5,11,.455,.500,3,4,.750,2,5,7,2,4,2,1,15,16
2010-11,26,DEN,NBA,SF,5,0,44,5,9,.556,0,0,,5,9,.556,.556,3,4,.750,1,3,4,2,3,2,0,11,13
2010-11,26,NYK,NBA,SF,3,0,18,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,1,2,3,0,1,0,1,4,3
2011-12,27,NYK,NBA,SF,14,0,115,16,32,.500,2,9,.222,14,23,.609,.531,8,11,.727,6,20,26,5,4,3,6,14,42
Career,,,NBA,,221,12,3064,368,721,.510,11,64,.172,357,657,.543,.518,147,271,.542,278,491,769,132,164,104,134,421,894
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NYK,NBA,,150,1,2149,247,497,.497,9,50,.180,238,447,.532,.506,100,196,.510,187,352,539,89,106,77,93,296,603
3 seasons,,DEN,NBA,,71,11,915,121,224,.540,2,14,.143,119,210,.567,.545,47,75,.627,91,139,230,43,58,27,41,125,291
