<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,21,TOR,NBA,PF,65,2,1629,267,625,.427,100,268,.373,167,357,.468,.507,117,142,.824,52,203,255,50,32,53,107,180,751
2007-08,22,TOR,NBA,PF,78,53,1861,280,725,.386,90,261,.345,190,464,.409,.448,142,169,.840,50,238,288,89,23,37,88,211,792
2008-09,23,TOR,NBA,PF,78,59,2453,431,958,.450,119,291,.409,312,667,.468,.512,221,266,.831,70,346,416,94,34,97,135,242,1202
2009-10,24,TOR,NBA,PF,80,80,2799,537,1143,.470,121,325,.372,416,818,.509,.523,181,234,.774,105,388,493,93,25,111,120,215,1376
2010-11,25,TOR,NBA,C,66,66,2353,525,1173,.448,77,223,.345,448,950,.472,.480,287,350,.820,74,269,343,119,34,46,152,160,1414
2011-12,26,TOR,NBA,C,31,31,1032,209,484,.432,34,115,.296,175,369,.474,.467,151,173,.873,24,148,172,61,18,15,69,52,603
2012-13,27,TOR,NBA,PF,35,25,1003,170,426,.399,38,123,.309,132,303,.436,.444,65,77,.844,26,102,128,38,21,23,54,64,443
2013-14,28,NYK,NBA,C,42,39,1257,222,502,.442,30,108,.278,192,394,.487,.472,84,102,.824,69,153,222,45,14,52,58,100,558
2014-15,29,NYK,NBA,C,29,22,785,164,361,.454,15,41,.366,149,320,.466,.475,87,107,.813,32,95,127,46,2,27,42,53,430
2015-16,30,BRK,NBA,C,5,0,79,13,29,.448,1,3,.333,12,26,.462,.466,9,10,.900,6,8,14,0,1,1,7,12,36
Career,,,NBA,,509,377,15251,2818,6426,.439,625,1758,.356,2193,4668,.470,.487,1344,1630,.825,508,1950,2458,635,204,462,832,1289,7605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,TOR,NBA,,433,316,13130,2419,5534,.437,579,1606,.361,1840,3928,.468,.489,1164,1411,.825,401,1694,2095,544,187,382,725,1124,6581
2 seasons,,NYK,NBA,,71,61,2042,386,863,.447,45,149,.302,341,714,.478,.473,171,209,.818,101,248,349,91,16,79,100,153,988
1 season,,BRK,NBA,,5,0,79,13,29,.448,1,3,.333,12,26,.462,.466,9,10,.900,6,8,14,0,1,1,7,12,36
