<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-070,MIL,@,CHO,L (-2),0,14:13,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,1,2,4,2.3,+10
2,2,2014-10-31,26-072,MIL,,PHI,W (+12),0,13:50,3,7,.429,0,1,.000,0,0,,0,0,0,4,1,0,1,1,6,4.7,+2
3,3,2014-11-01,26-073,MIL,@,WAS,L (-11),0,20:47,5,10,.500,2,2,1.000,8,8,1.000,0,3,3,2,2,0,4,4,20,13.7,+5
4,4,2014-11-04,26-076,MIL,@,IND,W (+6),0,19:46,4,7,.571,2,3,.667,0,0,,0,1,1,1,0,0,1,2,10,5.9,+5
5,5,2014-11-05,26-077,MIL,,CHI,L (-9),0,20:01,3,6,.500,0,0,,2,2,1.000,0,2,2,1,0,0,2,3,8,3.1,+8
6,6,2014-11-07,26-079,MIL,@,DET,L (-3),0,21:37,3,7,.429,0,3,.000,2,2,1.000,0,3,3,4,0,0,0,2,8,7.2,-6
7,7,2014-11-08,26-080,MIL,,MEM,W (+1),0,24:43,1,5,.200,1,3,.333,0,0,,1,1,2,4,2,0,1,2,3,3.9,+6
8,8,2014-11-11,26-083,MIL,,OKC,W (+7),0,20:46,2,3,.667,0,0,,2,2,1.000,0,4,4,0,1,0,1,1,6,5.5,+12
9,9,2014-11-14,26-086,MIL,@,ORL,L (-16),0,18:44,0,4,.000,0,2,.000,0,0,,0,0,0,2,1,0,2,2,0,-3.2,-14
10,10,2014-11-16,26-088,MIL,@,MIA,W (+7),0,16:42,0,3,.000,0,2,.000,2,2,1.000,1,1,2,1,0,0,1,2,2,-0.2,+1
11,11,2014-11-18,26-090,MIL,,NYK,W (+4),0,19:47,2,4,.500,0,1,.000,5,6,.833,0,3,3,3,1,0,1,1,9,9.2,+12
12,12,2014-11-19,26-091,MIL,@,BRK,W (+4),0,14:25,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,2,4,1.9,+3
13,13,2014-11-21,26-093,MIL,@,TOR,L (-42),1,9:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,1,0,-1.1,-18
14,14,2014-11-22,26-094,MIL,,WAS,L (-11),0,13:39,1,5,.200,0,0,,3,3,1.000,0,0,0,0,0,0,0,2,5,1.1,+1
15,15,2014-11-25,26-097,MIL,,DET,W (+12),0,16:11,2,3,.667,0,1,.000,0,0,,0,2,2,4,1,0,3,2,4,3.3,+2
16,16,2014-11-26,26-098,MIL,@,MIN,W (+17),0,17:33,1,2,.500,0,0,,0,0,,0,1,1,4,3,0,3,2,2,3.3,+2
17,17,2014-11-28,26-100,MIL,@,DET,W (+16),0,22:33,2,4,.500,2,3,.667,4,4,1.000,0,0,0,3,0,1,3,0,10,7.8,+21
18,18,2014-11-29,26-101,MIL,,HOU,L (-14),0,21:11,2,8,.250,0,3,.000,0,0,,0,1,1,3,0,0,1,4,4,-1.0,-3
19,19,2014-12-02,26-104,MIL,@,CLE,L (-3),0,15:48,3,5,.600,0,0,,0,0,,0,1,1,1,0,0,0,0,6,4.7,+1
20,20,2014-12-03,26-105,MIL,,DAL,L (-2),0,21:19,3,6,.500,0,0,,2,2,1.000,0,0,0,2,0,0,3,3,8,2.2,+6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-05,26-107,MIL,,MIA,W (+24),0,29:26,2,5,.400,1,2,.500,7,7,1.000,1,3,4,5,2,0,2,2,12,13.6,+20
22,22,2014-12-07,26-109,MIL,@,DAL,L (-23),0,19:38,4,8,.500,1,1,1.000,0,0,,0,1,1,0,0,1,0,0,9,6.0,-12
23,23,2014-12-09,26-111,MIL,@,OKC,L (-13),0,20:26,3,6,.500,0,1,.000,5,5,1.000,0,1,1,6,2,0,2,0,11,12.5,-1
24,24,2014-12-13,26-115,MIL,,LAC,W (+5),0,27:08,3,5,.600,1,1,1.000,4,4,1.000,0,7,7,2,0,0,1,3,11,10.0,+1
25,25,2014-12-15,26-117,MIL,@,PHO,W (+2),0,26:20,4,8,.500,1,1,1.000,2,2,1.000,0,4,4,4,2,1,1,4,11,11.1,+8
26,26,2014-12-17,26-119,MIL,@,POR,L (-7),0,22:00,5,8,.625,0,1,.000,0,0,,0,2,2,3,0,0,2,1,10,6.7,-9
27,27,2014-12-18,26-120,MIL,@,SAC,W (+1),0,28:37,6,12,.500,3,4,.750,2,2,1.000,0,4,4,5,0,1,2,4,17,12.8,+12
28,28,2014-12-20,26-122,MIL,@,LAC,L (-4),0,27:50,7,13,.538,2,3,.667,0,0,,1,3,4,2,0,0,1,4,16,10.1,-1
29,29,2014-12-23,26-125,MIL,,CHO,L (-7),0,21:55,4,7,.571,0,1,.000,0,0,,0,1,1,4,0,0,1,3,8,5.6,+1
30,30,2014-12-26,26-128,MIL,@,ATL,W (+30),0,25:38,3,7,.429,1,3,.333,5,5,1.000,0,1,1,4,0,1,0,1,12,11.7,+24
31,31,2014-12-27,26-129,MIL,,ATL,L (-5),0,29:57,3,9,.333,1,4,.250,2,2,1.000,1,3,4,6,2,1,3,2,9,8.6,+25
32,32,2014-12-29,26-131,MIL,@,CHO,W (+10),0,17:36,1,8,.125,0,3,.000,0,0,,0,2,2,1,1,0,2,4,2,-4.5,-8
33,,2014-12-31,26-133,MIL,,CLE,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,33,2015-01-02,26-135,MIL,,IND,L (-3),0,22:45,3,9,.333,0,2,.000,0,0,,0,0,0,5,2,0,1,0,6,5.4,+2
35,34,2015-01-04,26-137,MIL,@,NYK,W (+13),0,25:27,1,5,.200,1,3,.333,0,0,,0,3,3,4,0,0,1,2,3,1.8,+4
36,35,2015-01-06,26-139,MIL,,PHO,L (-6),0,24:00,2,7,.286,0,0,,0,0,,1,3,4,0,1,1,2,3,4,0.0,-12
37,36,2015-01-07,26-140,MIL,@,PHI,W (+20),0,25:57,6,6,1.000,0,0,,0,0,,0,5,5,4,2,0,4,3,12,11.3,+10
38,37,2015-01-09,26-142,MIL,,MIN,W (+14),0,24:04,3,7,.429,1,3,.333,0,0,,0,5,5,5,1,0,2,0,7,7.3,+12
39,38,2015-01-10,26-143,MIL,@,CHI,L (-8),0,25:26,3,6,.500,0,1,.000,2,2,1.000,2,3,5,1,2,0,0,2,8,9.2,-1
40,39,2015-01-15,26-148,MIL,,NYK,W (+16),0,17:38,0,1,.000,0,0,,5,5,1.000,0,0,0,2,0,0,2,2,5,2.9,-6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,40,2015-01-19,26-152,MIL,,TOR,L (-3),0,14:33,2,5,.400,0,1,.000,1,1,1.000,0,2,2,0,0,0,1,3,5,0.7,-4
42,41,2015-01-22,26-155,MIL,,UTA,L (-2),0,21:25,3,7,.429,0,1,.000,0,0,,0,2,2,9,0,1,2,2,6,7.1,-7
43,42,2015-01-24,26-157,MIL,,DET,W (+15),0,24:00,0,3,.000,0,0,,4,4,1.000,1,1,2,8,1,1,4,3,4,5.0,+10
44,43,2015-01-25,26-158,MIL,@,SAS,L (-6),0,22:41,5,10,.500,0,1,.000,5,7,.714,1,1,2,5,2,1,2,2,15,13.6,-2
45,44,2015-01-27,26-160,MIL,@,MIA,W (+7),0,21:51,6,8,.750,1,1,1.000,2,4,.500,0,4,4,7,0,0,0,4,15,15.5,+20
46,45,2015-01-29,26-162,MIL,@,ORL,W (+15),0,20:09,6,9,.667,2,2,1.000,5,5,1.000,0,2,2,1,3,0,2,1,19,17.0,+3
47,46,2015-01-31,26-164,MIL,,POR,W (+7),0,20:30,5,10,.500,1,2,.500,0,0,,0,2,2,3,0,0,2,0,11,6.7,+8
48,47,2015-02-02,26-166,MIL,@,TOR,W (+7),0,33:02,4,12,.333,0,0,,0,1,.000,0,7,7,9,0,0,5,3,8,3.0,-6
49,48,2015-02-04,26-168,MIL,,LAL,W (+8),0,22:02,1,5,.200,0,3,.000,2,2,1.000,0,3,3,2,0,0,0,2,4,2.4,-19
50,49,2015-02-06,26-170,MIL,@,HOU,L (-6),0,20:06,6,10,.600,0,0,,1,4,.250,1,6,7,2,0,0,0,2,13,10.3,0
51,50,2015-02-07,26-171,MIL,,BOS,W (+3),0,25:07,4,7,.571,0,0,,1,1,1.000,0,4,4,2,1,0,1,3,9,7.1,+4
52,51,2015-02-09,26-173,MIL,,BRK,W (+6),0,27:35,3,10,.300,0,1,.000,3,3,1.000,1,5,6,6,0,0,0,0,9,9.6,-7
53,52,2015-02-11,26-175,MIL,,SAC,W (+8),0,4:55,0,0,,0,0,,2,2,1.000,0,0,0,1,2,0,1,1,2,3.3,+5
54,53,2015-02-20,26-184,MIL,,DEN,W (+8),1,38:34,5,11,.455,1,3,.333,0,0,,0,7,7,8,1,1,1,3,11,12.5,+3
