<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,GSW,NBA,PG,33,0,241,36,93,.387,16,41,.390,20,52,.385,.473,7,9,.778,3,11,14,15,5,0,12,15,95
2008-09,22,GSW,NBA,SG,42,23,882,140,317,.442,52,131,.397,88,186,.473,.524,40,52,.769,10,61,71,88,36,1,59,73,372
2009-10,23,TOR,NBA,SG,66,1,1121,154,379,.406,60,158,.380,94,221,.425,.485,101,121,.835,14,81,95,89,42,5,60,80,469
2010-11,24,NOH,NBA,SG,80,69,1957,302,691,.437,134,324,.414,168,367,.458,.534,98,125,.784,17,134,151,92,38,6,77,146,836
2011-12,25,NOH,NBA,SG,66,55,1966,286,686,.417,107,284,.377,179,402,.445,.495,101,129,.783,19,153,172,101,48,5,69,115,780
2012-13,26,CHI,NBA,SG,73,27,1882,241,610,.395,79,221,.357,162,389,.416,.460,141,168,.839,13,127,140,148,44,6,82,140,702
2013-14,27,SAS,NBA,SF,80,25,2016,337,695,.485,126,293,.430,211,402,.525,.576,111,131,.847,18,208,226,179,50,7,95,130,911
2014-15,28,SAS,NBA,SG,62,9,1388,199,470,.423,86,230,.374,113,240,.471,.515,84,99,.848,26,131,157,94,31,3,61,85,568
2015-16,29,SAC,NBA,SG,5,0,133,16,47,.340,9,25,.360,7,22,.318,.436,12,15,.800,0,8,8,16,4,0,4,12,53
Career,,,NBA,,507,209,11586,1711,3988,.429,669,1707,.392,1042,2281,.457,.513,695,849,.819,120,914,1034,822,298,33,519,796,4786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,146,124,3923,588,1377,.427,241,608,.396,347,769,.451,.515,199,254,.783,36,287,323,193,86,11,146,261,1616
2 seasons,,SAS,NBA,,142,34,3404,536,1165,.460,212,523,.405,324,642,.505,.551,195,230,.848,44,339,383,273,81,10,156,215,1479
2 seasons,,GSW,NBA,,75,23,1123,176,410,.429,68,172,.395,108,238,.454,.512,47,61,.770,13,72,85,103,41,1,71,88,467
1 season,,CHI,NBA,,73,27,1882,241,610,.395,79,221,.357,162,389,.416,.460,141,168,.839,13,127,140,148,44,6,82,140,702
1 season,,TOR,NBA,,66,1,1121,154,379,.406,60,158,.380,94,221,.425,.485,101,121,.835,14,81,95,89,42,5,60,80,469
1 season,,SAC,NBA,,5,0,133,16,47,.340,9,25,.360,7,22,.318,.436,12,15,.800,0,8,8,16,4,0,4,12,53
