<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,26-108,HOU,@,LAL,W (+18),1,30:55,2,6,.333,2,3,.667,3,6,.500,1,4,5,5,0,0,2,3,9,6.6,+17
2,2,2014-10-29,26-109,HOU,@,UTA,W (+11),1,30:39,3,6,.500,1,3,.333,0,0,,0,2,2,2,1,0,2,3,7,3.8,+19
3,,2014-11-01,26-112,HOU,,BOS,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2014-11-03,26-114,HOU,,PHI,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3,2014-11-04,26-115,HOU,@,MIA,W (+17),1,30:23,5,8,.625,4,7,.571,1,2,.500,1,3,4,1,0,0,1,4,15,10.7,+11
6,,2014-11-06,26-117,HOU,,SAS,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2014-11-08,26-119,HOU,,GSW,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2014-11-12,26-123,HOU,,MIN,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2014-11-14,26-125,HOU,,PHI,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,4,2014-11-16,26-127,HOU,@,OKC,W (+4),1,28:54,4,10,.400,2,8,.250,2,2,1.000,3,5,8,1,2,0,0,3,12,11.7,+13
11,5,2014-11-17,26-128,HOU,@,MEM,L (-26),1,22:23,4,5,.800,2,3,.667,0,0,,0,2,2,3,1,0,0,3,10,10.6,-9
12,6,2014-11-19,26-130,HOU,,LAL,L (-6),1,34:33,5,13,.385,3,8,.375,2,4,.500,1,3,4,2,1,2,1,4,15,9.9,-15
13,7,2014-11-22,26-133,HOU,,DAL,W (+3),1,30:38,7,16,.438,6,11,.545,0,0,,1,4,5,1,2,0,1,4,20,13.6,+5
14,,2014-11-24,26-135,HOU,,NYK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2014-11-26,26-137,HOU,,SAC,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2014-11-28,26-139,HOU,,LAC,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2014-11-29,26-140,HOU,,MIL,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2014-12-03,26-144,HOU,,MEM,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2014-12-05,26-146,HOU,,MIN,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,8,2014-12-06,26-147,HOU,,PHO,W (+5),0,26:55,5,12,.417,5,8,.625,4,6,.667,3,3,6,3,1,1,2,4,19,15.0,+8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,9,2014-12-10,26-151,HOU,@,GSW,L (-12),1,39:46,5,15,.333,2,7,.286,0,0,,1,6,7,6,2,0,2,4,12,8.6,-11
22,10,2014-12-11,26-152,HOU,@,SAC,W (+4),1,39:32,5,12,.417,4,8,.500,1,4,.250,4,6,10,5,1,0,2,3,15,13.3,-7
23,11,2014-12-13,26-154,HOU,,DEN,W (+12),1,34:33,4,9,.444,1,4,.250,0,0,,0,2,2,3,2,1,3,5,9,4.7,+22
24,12,2014-12-17,26-158,HOU,@,DEN,W (+4),1,46:04,3,9,.333,0,2,.000,6,6,1.000,1,11,12,5,3,0,0,5,12,15.4,+9
25,13,2014-12-18,26-159,HOU,,NOP,L (-9),1,37:21,2,8,.250,1,7,.143,4,4,1.000,1,2,3,4,3,1,2,4,9,8.4,0
26,14,2014-12-20,26-161,HOU,,ATL,L (-7),1,41:06,5,14,.357,4,9,.444,0,0,,3,4,7,3,1,0,3,6,14,7.2,-12
27,15,2014-12-22,26-163,HOU,,POR,W (+15),1,30:21,4,9,.444,3,6,.500,0,0,,2,3,5,1,2,1,1,4,11,9.4,+22
28,16,2014-12-26,26-167,HOU,@,MEM,W (+6),1,34:47,5,12,.417,2,5,.400,0,0,,2,2,4,5,0,0,1,3,12,8.9,+6
29,17,2014-12-28,26-169,HOU,@,SAS,L (-4),1,31:50,2,10,.200,1,7,.143,0,0,,1,2,3,4,2,0,2,2,5,2.1,-7
30,18,2014-12-29,26-170,HOU,,WAS,L (-1),1,28:34,4,8,.500,2,6,.333,0,0,,2,2,4,4,0,0,2,5,10,6.8,-21
31,19,2014-12-31,26-172,HOU,,CHO,W (+19),1,26:30,5,16,.313,4,12,.333,0,0,,3,1,4,3,0,1,1,2,14,8.2,+9
32,20,2015-01-02,26-174,HOU,@,NOP,L (-28),1,18:06,1,7,.143,1,3,.333,0,0,,1,2,3,3,2,0,0,1,3,3.5,-17
33,21,2015-01-03,26-175,HOU,,MIA,W (+36),1,24:12,3,5,.600,3,4,.750,2,2,1.000,1,1,2,2,0,0,1,3,11,8.9,+16
34,22,2015-01-05,26-177,HOU,@,CHI,L (-9),1,31:23,7,12,.583,0,1,.000,0,0,,5,1,6,6,1,2,0,5,14,16.8,-8
35,23,2015-01-07,26-179,HOU,@,CLE,W (+12),1,30:05,3,10,.300,1,7,.143,0,0,,2,4,6,2,0,0,1,5,7,2.2,+8
36,24,2015-01-08,26-180,HOU,@,NYK,W (+24),1,25:48,5,9,.556,4,6,.667,0,0,,0,2,2,3,1,0,0,4,14,11.8,+27
