<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,18,GSW,NBA,C,30,1,384,45,78,.577,0,1,.000,45,77,.584,.577,19,40,.475,47,71,118,12,12,24,12,87,109
2005-06,19,GSW,NBA,C,68,2,1000,118,185,.638,0,0,,118,185,.638,.638,22,72,.306,124,159,283,24,23,47,34,190,258
2006-07,20,GSW,NBA,C,82,63,2382,348,581,.599,0,0,,348,581,.599,.599,87,167,.521,251,511,762,88,67,136,119,304,783
2007-08,21,GSW,NBA,C,76,59,2078,340,543,.626,0,0,,340,543,.626,.626,116,187,.620,256,488,744,75,56,94,85,262,796
2008-09,22,GSW,NBA,C,62,58,1863,308,533,.578,0,1,.000,308,532,.579,.578,119,216,.551,223,470,693,121,63,96,110,236,735
2009-10,23,GSW,NBA,C,33,29,763,81,137,.591,0,0,,81,137,.591,.591,4,25,.160,63,196,259,57,20,44,32,117,166
2010-11,24,GSW,NBA,C,59,55,1397,142,266,.534,0,0,,142,266,.534,.534,10,31,.323,145,281,426,60,52,52,57,198,294
2011-12,25,GSW,NBA,C,47,35,739,39,64,.609,0,0,,39,64,.609,.609,1,9,.111,45,131,176,16,23,45,14,125,79
2012-13,26,GSW,NBA,C,53,9,495,10,21,.476,0,0,,10,21,.476,.476,4,13,.308,34,119,153,14,15,42,14,101,24
2013-14,27,UTA,NBA,C,6,0,45,1,1,1.000,0,0,,1,1,1.000,1.000,1,6,.167,2,15,17,0,0,0,2,6,3
Career,,,NBA,,516,311,11146,1432,2409,.594,0,2,.000,1432,2407,.595,.594,383,766,.500,1190,2441,3631,467,331,580,479,1626,3247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,GSW,NBA,,510,311,11101,1431,2408,.594,0,2,.000,1431,2406,.595,.594,382,760,.503,1188,2426,3614,467,331,580,477,1620,3244
1 season,,UTA,NBA,,6,0,45,1,1,1.000,0,0,,1,1,1.000,1.000,1,6,.167,2,15,17,0,0,0,2,6,3
