<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,22-340,HOU,@,LAL,W (+18),0,24:13,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,4,2,0.0,+4
2,2,2014-10-29,22-341,HOU,@,UTA,W (+11),0,16:06,1,5,.200,0,0,,0,0,,0,2,2,0,1,0,0,1,2,0.1,+4
3,3,2014-11-01,22-344,HOU,,BOS,W (+14),0,4:07,0,0,,0,0,,2,4,.500,1,1,2,0,0,1,1,2,2,1.1,+2
4,,2014-11-03,22-346,HOU,,PHI,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2014-11-04,22-347,HOU,,MIA,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,4,2014-11-06,22-349,HOU,,SAS,W (+17),0,9:09,0,0,,0,0,,0,0,,1,2,3,0,0,0,2,3,0,-1.9,-14
7,5,2014-11-08,22-351,HOU,,GSW,L (-11),1,15:01,1,3,.333,0,0,,0,2,.000,3,2,5,0,0,0,0,1,2,1.8,-3
8,6,2014-11-12,22-355,HOU,@,MIN,W (+12),0,16:53,5,6,.833,0,0,,0,0,,4,2,6,0,0,0,1,3,10,9.0,+4
9,7,2014-11-14,22-357,HOU,,PHI,W (+1),0,6:59,0,1,.000,0,0,,1,2,.500,1,1,2,1,0,0,0,4,1,0.0,-5
10,8,2014-11-16,22-359,HOU,@,OKC,W (+4),0,13:17,1,3,.333,0,0,,0,0,,4,4,8,0,0,0,2,2,2,1.5,0
11,9,2014-11-17,22-360,HOU,@,MEM,L (-26),0,20:14,4,5,.800,0,0,,0,1,.000,4,3,7,0,0,0,1,1,8,8.0,-14
