<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,19,WAS,NBA,PF,29,0,175,26,67,.388,3,13,.231,23,54,.426,.410,10,12,.833,12,26,38,10,5,7,12,36,65
2006-07,20,WAS,NBA,PF,56,13,682,86,197,.437,4,27,.148,82,170,.482,.447,30,49,.612,77,114,191,39,17,32,49,94,206
2007-08,21,WAS,NBA,PF,82,15,1675,254,536,.474,3,13,.231,251,523,.480,.477,107,154,.695,164,261,425,92,53,114,112,258,618
2008-09,22,WAS,NBA,C,71,36,1703,297,630,.471,5,21,.238,292,609,.479,.475,114,162,.704,126,252,378,118,53,74,117,211,713
2009-10,23,WAS,NBA,PF,81,36,2256,478,999,.478,13,44,.295,465,955,.487,.485,174,234,.744,158,351,509,170,85,71,182,218,1143
2010-11,24,WAS,NBA,PF,64,63,2172,426,957,.445,4,18,.222,422,939,.449,.447,220,283,.777,183,343,526,144,98,51,172,182,1076
2011-12,25,WAS,NBA,PF,26,13,626,93,245,.380,2,7,.286,91,238,.382,.384,33,49,.673,42,108,150,28,20,17,37,54,221
2012-13,26,BRK,NBA,C,82,8,1555,346,676,.512,3,22,.136,343,654,.524,.514,148,216,.685,161,256,417,85,86,54,123,163,843
2013-14,27,BRK,NBA,PF,73,7,1618,321,674,.476,15,54,.278,306,620,.494,.487,164,221,.742,120,270,390,112,75,38,110,166,821
Career,,,NBA,,564,191,12462,2327,4981,.467,52,219,.237,2275,4762,.478,.472,1000,1380,.725,1043,1981,3024,798,492,458,914,1382,5706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,WAS,NBA,,409,176,9289,1660,3631,.457,34,143,.238,1626,3488,.466,.462,688,943,.730,762,1455,2217,601,331,366,681,1053,4042
2 seasons,,BRK,NBA,,155,15,3173,667,1350,.494,18,76,.237,649,1274,.509,.501,312,437,.714,281,526,807,197,161,92,233,329,1664
