<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,24,TOR,NBA,C,82,0,1553,247,463,.533,39,92,.424,208,371,.561,.576,56,71,.789,108,177,285,48,39,19,40,220,589
2005-06,25,TOR,NBA,PF,78,6,1710,209,467,.448,102,243,.420,107,224,.478,.557,63,76,.829,86,198,284,56,49,31,32,216,583
2006-07,26,SAS,NBA,PF,56,0,653,106,237,.447,36,94,.383,70,143,.490,.523,27,38,.711,64,92,156,22,17,11,25,67,275
2007-08,27,SAS,NBA,PF,68,3,853,121,291,.416,46,137,.336,75,154,.487,.495,38,44,.864,53,139,192,32,14,17,39,111,326
2008-09,28,SAS,NBA,PF,81,67,1928,266,536,.496,118,268,.440,148,268,.552,.606,17,23,.739,97,289,386,82,47,26,37,190,667
2009-10,29,SAS,NBA,PF,65,8,1161,166,372,.446,90,231,.390,76,141,.539,.567,35,48,.729,52,162,214,68,30,24,39,109,457
2010-11,30,SAS,NBA,PF,66,1,1432,172,371,.464,105,230,.457,67,141,.475,.605,32,43,.744,60,179,239,60,26,21,27,110,481
2011-12,31,SAS,NBA,PF,65,2,1326,154,350,.440,105,250,.420,49,100,.490,.590,16,21,.762,29,185,214,61,15,21,14,68,429
2012-13,32,SAS,NBA,PF,68,4,909,112,230,.487,53,120,.442,59,110,.536,.602,11,15,.733,25,104,129,36,17,19,16,86,288
2013-14,33,SAS,NBA,PF,61,0,690,73,164,.445,42,98,.429,31,66,.470,.573,9,12,.750,16,114,130,31,15,11,16,49,197
2014-15,34,SAS,NBA,PF,72,19,935,94,230,.409,46,126,.365,48,104,.462,.509,30,37,.811,29,86,115,47,10,12,11,65,264
Career,,,NBA,,762,110,13150,1720,3711,.463,782,1889,.414,938,1822,.515,.569,334,428,.780,619,1725,2344,543,279,212,296,1291,4556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,SAS,NBA,,602,104,9887,1264,2781,.455,641,1554,.412,623,1227,.508,.570,215,281,.765,425,1350,1775,439,191,162,224,855,3384
2 seasons,,TOR,NBA,,160,6,3263,456,930,.490,141,335,.421,315,595,.529,.566,119,147,.810,194,375,569,104,88,50,72,436,1172
