<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-338,UTA,,HOU,L (-11),0,23:12,6,10,.600,0,1,.000,2,2,1.000,2,3,5,0,0,0,1,2,14,9.9,+8
2,2,2014-10-30,26-339,UTA,@,DAL,L (-18),0,18:54,3,6,.500,3,4,.750,0,0,,1,4,5,0,0,0,1,2,9,6.1,-11
3,3,2014-11-01,26-341,UTA,,PHO,W (+27),0,24:12,7,9,.778,0,2,.000,0,0,,4,5,9,2,2,0,2,0,14,16.2,+19
4,4,2014-11-03,26-343,UTA,@,LAC,L (-6),0,27:25,5,9,.556,2,3,.667,0,2,.000,2,3,5,2,1,0,2,4,12,8.0,+6
5,5,2014-11-05,26-345,UTA,,CLE,W (+2),0,20:35,4,8,.500,1,2,.500,0,1,.000,1,3,4,2,0,0,0,4,9,6.0,-2
6,6,2014-11-07,26-347,UTA,,DAL,L (-23),0,12:25,2,4,.500,0,1,.000,3,3,1.000,1,0,1,0,0,0,2,0,7,3.7,-5
7,7,2014-11-09,26-349,UTA,@,DET,W (+1),0,17:20,2,4,.500,0,1,.000,4,8,.500,0,4,4,1,1,0,0,2,8,6.5,+6
8,8,2014-11-10,26-350,UTA,@,IND,L (-11),0,22:13,1,4,.250,0,0,,0,1,.000,1,1,2,2,1,0,2,2,2,-0.2,-24
9,9,2014-11-12,26-352,UTA,@,ATL,L (-3),0,19:02,5,7,.714,0,1,.000,0,1,.000,2,1,3,2,1,1,1,1,10,10.1,-8
10,10,2014-11-14,26-354,UTA,@,NYK,W (+2),0,21:24,2,3,.667,0,0,,0,0,,2,5,7,1,0,1,3,6,4,1.6,-7
11,11,2014-11-15,26-355,UTA,@,TOR,L (-18),0,18:00,1,2,.500,1,2,.500,3,4,.750,0,0,0,1,0,0,1,1,6,3.9,-9
12,12,2014-11-18,26-358,UTA,,OKC,W (+17),0,22:38,1,8,.125,0,1,.000,0,0,,0,4,4,0,0,0,1,1,2,-3.4,+6
13,13,2014-11-21,26-361,UTA,@,GSW,L (-13),0,20:36,1,4,.250,0,0,,1,2,.500,1,1,2,0,2,0,1,0,3,2.2,-13
14,14,2014-11-22,26-362,UTA,,NOP,L (-12),0,23:40,3,3,1.000,0,0,,4,4,1.000,1,4,5,2,0,1,1,3,10,10.9,-1
15,15,2014-11-24,26-364,UTA,,CHI,L (-2),0,14:48,4,7,.571,0,0,,0,1,.000,2,2,4,1,1,1,3,1,8,5.3,-1
16,16,2014-11-26,27-001,UTA,@,OKC,L (-15),0,15:23,0,3,.000,0,0,,0,2,.000,0,2,2,0,0,0,3,0,0,-5.3,-16
17,17,2014-11-29,27-004,UTA,,LAC,L (-16),0,23:52,4,7,.571,0,2,.000,7,9,.778,5,4,9,2,3,0,3,1,15,16.6,-1
18,18,2014-12-01,27-006,UTA,,DEN,L (-2),1,33:22,3,7,.429,0,1,.000,0,0,,3,6,9,1,2,1,1,4,6,7.0,-3
19,19,2014-12-03,27-008,UTA,,TOR,L (-19),0,15:18,2,4,.500,0,0,,1,2,.500,1,1,2,0,0,0,1,0,5,2.6,-18
20,20,2014-12-05,27-010,UTA,,ORL,L (-5),0,19:53,2,4,.500,0,0,,2,2,1.000,2,3,5,2,0,1,1,2,6,6.6,+11
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
