<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,21,UTA,NBA,SG,56,14,675,102,193,.528,0,9,.000,102,184,.554,.528,56,83,.675,37,38,75,24,37,6,24,44,260
2007-08,22,UTA,NBA,SG,76,76,2088,354,634,.558,11,50,.220,343,584,.587,.567,195,257,.759,97,121,218,134,129,19,69,110,914
2008-09,23,UTA,NBA,SF,81,80,2605,421,828,.508,22,85,.259,399,743,.537,.522,247,352,.702,101,199,300,179,138,30,110,128,1111
2009-10,24,TOT,NBA,SG,58,53,1742,209,429,.487,8,31,.258,201,398,.505,.497,85,133,.639,45,142,187,154,91,15,53,80,511
2009-10,24,UTA,NBA,SG,53,53,1662,206,416,.495,8,31,.258,198,385,.514,.505,81,128,.633,44,136,180,151,85,15,51,80,501
2009-10,24,MEM,NBA,SG,5,0,80,3,13,.231,0,0,,3,13,.231,.231,4,5,.800,1,6,7,3,6,0,2,0,10
2010-11,25,CHI,NBA,SG,81,1,1781,205,427,.480,6,27,.222,199,400,.498,.487,87,133,.654,55,207,262,140,106,22,55,82,503
2011-12,26,CHI,NBA,SG,66,43,1635,190,445,.427,19,69,.275,171,376,.455,.448,56,100,.560,72,159,231,137,72,21,59,64,455
2012-13,27,TOT,NBA,SF,60,34,853,70,198,.354,23,76,.303,47,122,.385,.412,16,39,.410,42,98,140,50,43,6,18,33,179
2012-13,27,NYK,NBA,SF,46,34,711,64,175,.366,22,71,.310,42,104,.404,.429,16,39,.410,29,71,100,40,34,6,14,27,166
2012-13,27,OKC,NBA,SF,14,0,142,6,23,.261,1,5,.200,5,18,.278,.283,0,0,,13,27,40,10,9,0,4,6,13
2013-14,28,TOT,NBA,SF,24,3,160,3,15,.200,1,8,.125,2,7,.286,.233,0,2,.000,2,12,14,10,6,1,2,4,7
2013-14,28,HOU,NBA,SF,23,3,158,3,15,.200,1,8,.125,2,7,.286,.233,0,2,.000,2,12,14,10,6,1,2,4,7
2013-14,28,CHI,NBA,SF,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Career,,,NBA,,502,304,11539,1554,3169,.490,90,355,.254,1464,2814,.520,.505,742,1099,.675,451,976,1427,828,622,120,390,545,3940
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,UTA,NBA,,266,223,7030,1083,2071,.523,41,175,.234,1042,1896,.550,.533,579,820,.706,279,494,773,488,389,70,254,362,2786
3 seasons,,CHI,NBA,,148,44,3418,395,872,.453,25,96,.260,370,776,.477,.467,143,233,.614,127,366,493,277,178,43,114,146,958
1 season,,NYK,NBA,,46,34,711,64,175,.366,22,71,.310,42,104,.404,.429,16,39,.410,29,71,100,40,34,6,14,27,166
1 season,,HOU,NBA,,23,3,158,3,15,.200,1,8,.125,2,7,.286,.233,0,2,.000,2,12,14,10,6,1,2,4,7
1 season,,OKC,NBA,,14,0,142,6,23,.261,1,5,.200,5,18,.278,.283,0,0,,13,27,40,10,9,0,4,6,13
1 season,,MEM,NBA,,5,0,80,3,13,.231,0,0,,3,13,.231,.231,4,5,.800,1,6,7,3,6,0,2,0,10
