<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,29-288,CHI,@,NYK,W (+24),0,23:39,4,5,.800,1,1,1.000,4,4,1.000,0,2,2,6,1,0,1,3,13,14.7,+25
2,2,2014-10-31,29-290,CHI,,CLE,L (-6),0,19:43,4,8,.500,2,5,.400,1,2,.500,0,1,1,2,1,0,4,3,11,4.1,-9
3,3,2014-11-01,29-291,CHI,@,MIN,W (+1),0,22:48,6,11,.545,3,4,.750,1,1,1.000,0,2,2,5,0,0,3,2,16,11.0,+2
4,4,2014-11-04,29-294,CHI,,ORL,W (+8),0,29:51,5,11,.455,2,2,1.000,1,1,1.000,1,1,2,8,0,3,2,2,13,13.2,+10
5,5,2014-11-05,29-295,CHI,@,MIL,W (+9),0,13:21,1,5,.200,0,1,.000,0,0,,1,2,3,1,0,0,2,2,2,-1.9,-14
6,6,2014-11-07,29-297,CHI,@,PHI,W (+3),0,16:33,4,8,.500,2,4,.500,0,0,,0,1,1,4,1,0,1,0,10,9.1,+1
7,7,2014-11-08,29-298,CHI,,BOS,L (-5),0,28:11,9,15,.600,4,7,.571,4,4,1.000,0,0,0,8,0,0,2,6,26,20.3,+9
8,8,2014-11-10,29-300,CHI,,DET,W (+11),0,11:05,3,6,.500,1,2,.500,3,3,1.000,0,2,2,1,2,0,2,4,10,6.7,-5
9,9,2014-11-13,29-303,CHI,@,TOR,W (+7),0,9:26,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,3,3,0,-7.0,-8
10,10,2014-11-15,29-305,CHI,,IND,L (-9),0,17:51,3,6,.500,0,2,.000,0,2,.000,0,2,2,1,0,0,3,3,6,-0.7,-13
11,11,2014-11-17,29-307,CHI,@,LAC,W (+16),0,19:32,3,8,.375,0,3,.000,1,2,.500,0,0,0,1,1,0,0,1,7,3.5,-2
12,12,2014-11-20,29-310,CHI,@,SAC,L (-15),0,24:36,5,10,.500,1,2,.500,1,3,.333,1,1,2,4,1,0,4,4,12,5.4,-1
13,13,2014-11-21,29-311,CHI,@,POR,L (-18),1,24:11,4,12,.333,2,5,.400,2,2,1.000,1,1,2,3,1,0,3,1,12,5.9,-18
14,14,2014-11-24,29-314,CHI,@,UTA,W (+2),0,23:23,4,8,.500,2,4,.500,0,0,,0,3,3,1,1,0,2,3,10,5.4,-3
15,15,2014-11-25,29-315,CHI,@,DEN,L (-5),0,23:25,4,12,.333,2,5,.400,6,6,1.000,0,0,0,2,0,0,1,1,16,9.2,+12
16,16,2014-11-28,29-318,CHI,@,BOS,W (+7),0,15:12,6,12,.500,1,4,.250,2,2,1.000,0,1,1,3,0,0,1,2,15,9.6,+4
17,17,2014-11-30,29-320,CHI,@,BRK,W (+18),0,22:24,4,11,.364,2,5,.400,1,1,1.000,1,0,1,3,0,0,5,3,11,1.5,+7
18,18,2014-12-02,29-322,CHI,,DAL,L (-3),0,13:59,2,3,.667,0,0,,4,4,1.000,0,2,2,4,0,0,2,0,8,8.1,-8
19,19,2014-12-03,29-323,CHI,@,CHO,W (+7),0,14:50,3,7,.429,1,2,.500,0,0,,0,3,3,3,0,0,2,1,7,3.9,+7
20,20,2014-12-06,29-326,CHI,,GSW,L (-10),0,10:21,1,7,.143,1,2,.500,0,0,,1,0,1,3,1,0,0,2,3,1.5,+3
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-10,29-330,CHI,,BRK,W (+25),0,15:28,2,4,.500,0,1,.000,3,3,1.000,0,3,3,3,1,0,1,2,7,7.2,+4
22,22,2014-12-12,29-332,CHI,,POR,W (+9),0,16:47,8,10,.800,1,2,.500,0,0,,2,1,3,4,0,0,1,2,17,15.9,+23
23,23,2014-12-14,29-334,CHI,@,MIA,W (+18),0,16:36,3,6,.500,2,3,.667,0,0,,1,1,2,1,0,1,3,4,8,2.8,-8
24,24,2014-12-15,29-335,CHI,@,ATL,L (-7),0,14:18,3,6,.500,1,4,.250,1,1,1.000,0,1,1,1,0,0,1,1,8,4.6,+4
25,25,2014-12-18,29-338,CHI,,NYK,W (+6),0,25:08,5,9,.556,3,5,.600,5,6,.833,0,2,2,5,1,0,4,1,18,14.0,+6
26,26,2014-12-19,29-339,CHI,@,MEM,W (+6),0,31:38,6,13,.462,3,7,.429,2,2,1.000,1,0,1,4,0,0,4,3,17,8.6,+7
27,27,2014-12-22,29-342,CHI,,TOR,W (+9),0,24:55,6,10,.600,1,2,.500,4,4,1.000,1,1,2,2,1,1,1,2,17,14.7,+9
28,28,2014-12-23,29-343,CHI,@,WAS,W (+8),0,25:37,5,13,.385,0,3,.000,3,5,.600,0,4,4,6,1,0,0,3,13,10.3,+14
29,29,2014-12-25,29-345,CHI,,LAL,W (+20),0,28:10,6,13,.462,1,2,.500,0,0,,0,2,2,6,0,0,3,3,13,6.9,+26
30,30,2014-12-27,29-347,CHI,,NOP,W (+7),0,25:51,5,14,.357,1,5,.200,2,2,1.000,0,0,0,4,2,0,1,1,13,8.6,+13
31,31,2014-12-29,29-349,CHI,@,IND,W (+2),0,22:04,0,4,.000,0,0,,2,2,1.000,0,1,1,2,1,0,4,1,2,-2.5,-9
32,32,2014-12-30,29-350,CHI,,BRK,L (-14),0,6:31,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,4,2.2,-8
