<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,21,CLE,NBA,SG,23,5,202,28,74,.378,7,25,.280,21,49,.429,.426,10,14,.714,6,15,21,10,7,3,14,24,73
2007-08,22,TOT,NBA,SG,21,4,240,44,126,.349,9,30,.300,35,96,.365,.385,17,29,.586,6,14,20,17,11,3,24,29,114
2007-08,22,CLE,NBA,SG,15,4,218,41,111,.369,9,29,.310,32,82,.390,.410,14,23,.609,5,13,18,17,10,1,19,27,105
2007-08,22,CHI,NBA,SG,6,0,22,3,15,.200,0,1,.000,3,14,.214,.200,3,6,.500,1,1,2,0,1,2,5,2,9
2008-09,23,TOT,NBA,SG,48,0,477,78,165,.473,14,37,.378,64,128,.500,.515,32,39,.821,11,33,44,38,22,7,38,42,202
2008-09,23,CHA,NBA,SG,30,0,341,56,123,.455,8,28,.286,48,95,.505,.488,24,30,.800,8,16,24,28,18,5,29,33,144
2008-09,23,LAL,NBA,SG,18,0,136,22,42,.524,6,9,.667,16,33,.485,.595,8,9,.889,3,17,20,10,4,2,9,9,58
2009-10,24,LAL,NBA,SG,82,7,1700,253,592,.427,62,189,.328,191,403,.474,.480,99,121,.818,30,153,183,108,57,31,67,129,667
2010-11,25,LAL,NBA,SG,82,0,1568,273,643,.425,74,212,.349,199,431,.462,.482,92,101,.911,35,122,157,96,67,16,75,124,712
2011-12,26,PHO,NBA,SG,59,19,1400,251,598,.420,68,188,.362,183,410,.446,.477,80,99,.808,38,119,157,69,44,15,64,66,650
2012-13,27,PHO,NBA,SG,59,22,1402,240,571,.420,39,141,.277,201,430,.467,.454,98,125,.784,44,105,149,108,59,15,74,92,617
2013-14,28,TOT,NBA,SG,29,1,251,24,66,.364,0,2,.000,24,64,.375,.364,15,21,.714,7,21,28,9,13,0,18,24,63
2013-14,28,SAS,NBA,SG,10,1,103,8,28,.286,0,2,.000,8,26,.308,.286,7,9,.778,1,12,13,5,1,0,8,12,23
2013-14,28,NYK,NBA,SG,19,0,148,16,38,.421,0,0,,16,38,.421,.421,8,12,.667,6,9,15,4,12,0,10,12,40
2014-15,29,MIA,NBA,SG,5,2,89,7,19,.368,3,7,.429,4,12,.333,.447,3,4,.750,0,1,1,3,4,0,4,8,20
Career,,,NBA,,408,60,7329,1198,2854,.420,276,831,.332,922,2023,.456,.468,446,553,.807,177,583,760,458,284,90,378,538,3118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAL,NBA,,182,7,3404,548,1277,.429,142,410,.346,406,867,.468,.485,199,231,.861,68,292,360,214,128,49,151,262,1437
2 seasons,,PHO,NBA,,118,41,2802,491,1169,.420,107,329,.325,384,840,.457,.466,178,224,.795,82,224,306,177,103,30,138,158,1267
2 seasons,,CLE,NBA,,38,9,420,69,185,.373,16,54,.296,53,131,.405,.416,24,37,.649,11,28,39,27,17,4,33,51,178
1 season,,CHA,NBA,,30,0,341,56,123,.455,8,28,.286,48,95,.505,.488,24,30,.800,8,16,24,28,18,5,29,33,144
1 season,,NYK,NBA,,19,0,148,16,38,.421,0,0,,16,38,.421,.421,8,12,.667,6,9,15,4,12,0,10,12,40
1 season,,SAS,NBA,,10,1,103,8,28,.286,0,2,.000,8,26,.308,.286,7,9,.778,1,12,13,5,1,0,8,12,23
1 season,,CHI,NBA,,6,0,22,3,15,.200,0,1,.000,3,14,.214,.200,3,6,.500,1,1,2,0,1,2,5,2,9
1 season,,MIA,NBA,,5,2,89,7,19,.368,3,7,.429,4,12,.333,.447,3,4,.750,0,1,1,3,4,0,4,8,20
