<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-160,MIN,@,MEM,L (-4),0,14:47,0,4,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,0,0,-1.6,-1
2,,2014-10-30,26-161,MIN,,DET,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2014-11-01,26-163,MIN,,CHI,L (-1),0,4:52,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-0.5,0
4,,2014-11-05,26-167,MIN,,BRK,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3,2014-11-07,26-169,MIN,@,ORL,L (-9),0,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
6,4,2014-11-08,26-170,MIN,@,MIA,L (-10),0,7:00,0,4,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,-1.9,-3
7,5,2014-11-12,26-174,MIN,,HOU,L (-12),0,3:54,1,2,.500,0,1,.000,0,0,,0,1,1,0,1,0,0,0,2,2.3,+4
8,6,2014-11-14,26-176,MIN,@,NOP,L (-48),0,12:00,2,5,.400,1,3,.333,4,4,1.000,0,2,2,0,0,0,1,0,9,5.9,-2
9,7,2014-11-15,26-177,MIN,@,DAL,L (-14),0,14:39,1,3,.333,1,2,.500,0,0,,0,3,3,0,0,1,1,2,3,1.1,0
10,8,2014-11-19,26-181,MIN,,NYK,W (+16),0,3:21,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-4
11,9,2014-11-21,26-183,MIN,,SAS,L (-29),0,24:55,3,9,.333,1,2,.500,0,0,,0,6,6,1,1,0,0,0,7,5.4,-13
12,10,2014-11-22,26-184,MIN,,SAC,L (-12),0,24:42,3,6,.500,2,2,1.000,3,3,1.000,0,2,2,1,0,0,1,2,11,7.5,-6
13,11,2014-11-26,26-188,MIN,,MIL,L (-17),0,13:50,2,5,.400,1,3,.333,2,2,1.000,0,2,2,1,1,0,0,1,7,6.2,-8
14,12,2014-11-28,26-190,MIN,@,LAL,W (+1),0,16:21,1,3,.333,1,2,.500,0,0,,0,3,3,1,0,0,0,0,3,2.9,-8
15,13,2014-11-30,26-192,MIN,@,POR,L (-14),0,17:23,1,6,.167,0,1,.000,0,0,,0,7,7,1,1,1,2,1,2,0.3,-4
16,14,2014-12-01,26-193,MIN,@,LAC,L (-26),0,21:45,0,4,.000,0,2,.000,2,2,1.000,0,1,1,3,1,0,0,2,2,1.8,-9
17,15,2014-12-03,26-195,MIN,,PHI,L (-8),0,5:01,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,1,0,-1.9,+2
18,16,2014-12-05,26-197,MIN,,HOU,L (-2),0,27:47,4,9,.444,1,2,.500,1,1,1.000,2,2,4,3,2,0,4,0,10,7.4,-9
19,17,2014-12-06,26-198,MIN,@,SAS,L (-22),0,7:13,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,1,1,3,-1.2,-6
20,18,2014-12-08,26-200,MIN,,GSW,L (-16),0,8:40,2,4,.500,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,5,4.0,+5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,,2014-12-10,26-202,MIN,,POR,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,19,2014-12-12,26-204,MIN,,OKC,L (-19),0,1:38,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
23,20,2014-12-14,26-206,MIN,,LAL,L (-6),0,8:28,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,1.3,-9
24,,2014-12-16,26-208,MIN,,WAS,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,21,2014-12-19,26-211,MIN,@,BOS,L (-16),0,27:47,8,12,.667,3,5,.600,0,1,.000,1,3,4,0,1,1,1,2,19,14.9,-12
26,22,2014-12-21,26-213,MIN,,IND,L (-4),0,26:39,6,10,.600,1,2,.500,0,0,,0,4,4,2,1,0,1,0,13,11.0,+1
27,23,2014-12-23,26-215,MIN,@,CLE,L (-21),0,17:39,2,4,.500,1,2,.500,2,2,1.000,0,5,5,1,0,0,2,4,7,3.6,-9
28,24,2014-12-26,26-218,MIN,@,DEN,L (-4),0,20:44,2,8,.250,0,3,.000,0,0,,2,1,3,2,0,0,1,3,4,0.1,+8
29,25,2014-12-27,26-219,MIN,@,GSW,L (-13),0,25:23,2,6,.333,1,2,.500,1,3,.333,0,4,4,2,2,1,1,0,6,6.1,-12
30,26,2014-12-30,26-222,MIN,@,UTA,L (-6),0,16:08,0,3,.000,0,2,.000,0,0,,0,2,2,2,2,0,0,2,0,1.1,+2
31,27,2015-01-01,26-224,MIN,,SAC,L (-3),0,8:25,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,0.3,+6
32,,2015-01-03,26-226,MIN,,UTA,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,,2015-01-05,26-228,MIN,,DEN,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,28,2015-01-07,26-230,MIN,,PHO,L (-2),0,24:07,5,7,.714,0,1,.000,0,0,,2,3,5,1,0,0,1,2,10,8.3,-7
35,29,2015-01-09,26-232,MIN,@,MIL,L (-14),0,27:51,4,10,.400,1,4,.250,0,0,,3,1,4,2,0,0,4,1,9,3.0,-23
36,30,2015-01-10,26-233,MIN,,SAS,L (-15),1,18:26,1,6,.167,0,1,.000,0,0,,1,4,5,0,1,0,0,1,2,0.7,-11
37,31,2015-01-13,26-236,MIN,@,IND,W (+9),1,24:31,1,6,.167,1,3,.333,0,0,,0,2,2,0,3,0,2,1,3,0.4,-10
38,32,2015-01-16,26-239,MIN,@,PHO,L (-11),1,25:21,3,5,.600,0,2,.000,1,2,.500,2,4,6,0,1,0,1,2,7,6.1,-7
39,33,2015-01-17,26-240,MIN,@,DEN,W (+8),0,13:57,2,4,.500,1,2,.500,1,1,1.000,0,0,0,0,0,0,0,1,6,3.6,+2
