<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,22,LAC,NBA,SF,43,0,395,43,121,.355,22,73,.301,21,48,.438,.446,7,9,.778,11,43,54,12,9,1,13,26,115
2014-15,23,TOT,NBA,SF,36,2,338,24,70,.343,15,46,.326,9,24,.375,.450,6,9,.667,1,49,50,8,10,4,8,19,69
2014-15,23,LAC,NBA,SF,25,2,263,23,54,.426,15,39,.385,8,15,.533,.565,4,5,.800,0,40,40,6,9,2,6,17,65
2014-15,23,PHO,NBA,SF,11,0,75,1,16,.063,0,7,.000,1,9,.111,.063,2,4,.500,1,9,10,2,1,2,2,2,4
2015-16,24,DET,NBA,SF,3,0,25,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,1,1,2,0,0,0,0,1,0
Career,,,NBA,,82,2,758,67,195,.344,37,122,.303,30,73,.411,.438,13,18,.722,13,93,106,20,19,5,21,46,184
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAC,NBA,,68,2,658,66,175,.377,37,112,.330,29,63,.460,.483,11,14,.786,11,83,94,18,18,3,19,43,180
1 season,,PHO,NBA,,11,0,75,1,16,.063,0,7,.000,1,9,.111,.063,2,4,.500,1,9,10,2,1,2,2,2,4
1 season,,DET,NBA,,3,0,25,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,1,1,2,0,0,0,0,1,0
