<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,21-351,UTA,,HOU,L (-11),1,38:23,6,16,.375,0,4,.000,3,4,.750,1,0,1,4,0,0,2,1,15,6.9,-14
2,2,2014-10-30,21-352,UTA,@,DAL,L (-18),1,34:27,6,15,.400,2,6,.333,2,2,1.000,3,0,3,7,2,0,4,0,16,12.9,-5
3,3,2014-11-01,21-354,UTA,,PHO,W (+27),1,32:09,3,12,.250,0,5,.000,1,3,.333,0,2,2,4,2,1,2,1,7,2.7,+15
4,4,2014-11-03,21-356,UTA,@,LAC,L (-6),1,31:26,1,5,.200,0,2,.000,4,4,1.000,0,4,4,4,1,0,4,4,6,2.3,-5
5,5,2014-11-05,21-358,UTA,,CLE,W (+2),1,22:37,2,6,.333,2,5,.400,0,0,,1,2,3,2,1,2,1,5,6,4.7,+3
6,6,2014-11-07,21-360,UTA,,DAL,L (-23),1,26:48,4,12,.333,3,8,.375,0,0,,0,2,2,3,1,0,3,0,11,4.9,-18
7,7,2014-11-09,21-362,UTA,@,DET,W (+1),1,24:12,2,8,.250,1,3,.333,2,2,1.000,1,1,2,3,1,1,1,5,7,4.0,-8
8,8,2014-11-10,21-363,UTA,@,IND,L (-11),1,35:33,2,12,.167,1,8,.125,0,0,,0,2,2,8,2,0,0,1,5,5.2,-8
9,9,2014-11-12,22-000,UTA,@,ATL,L (-3),1,34:57,5,15,.333,1,5,.200,0,0,,0,3,3,11,3,0,2,3,11,10.9,-5
10,10,2014-11-14,22-002,UTA,@,NYK,W (+2),1,35:22,5,9,.556,3,5,.600,0,0,,0,1,1,8,0,1,2,1,13,12.9,+16
11,11,2014-11-15,22-003,UTA,@,TOR,L (-18),1,33:52,4,15,.267,0,3,.000,4,4,1.000,0,3,3,5,0,0,1,2,12,5.7,-7
12,12,2014-11-18,22-006,UTA,,OKC,W (+17),1,37:22,7,17,.412,3,5,.600,0,0,,0,1,1,9,1,1,1,1,17,14.8,+11
13,13,2014-11-21,22-009,UTA,@,GSW,L (-13),1,25:38,1,8,.125,0,1,.000,0,0,,0,3,3,5,1,0,3,1,2,-1.2,-28
14,14,2014-11-22,22-010,UTA,,NOP,L (-12),1,34:16,8,12,.667,2,5,.400,2,3,.667,0,0,0,4,0,1,4,1,20,13.5,-13
15,15,2014-11-24,22-012,UTA,,CHI,L (-2),1,37:20,8,14,.571,1,2,.500,1,1,1.000,1,2,3,10,2,0,2,1,18,19.3,+4
16,16,2014-11-26,22-014,UTA,@,OKC,L (-15),1,31:09,5,10,.500,2,5,.400,0,0,,1,1,2,4,0,0,0,2,12,10.0,-7
17,17,2014-11-29,22-017,UTA,,LAC,L (-16),1,28:33,1,6,.167,1,4,.250,0,1,.000,0,1,1,3,0,0,2,3,3,-2.0,-20
18,18,2014-12-01,22-019,UTA,,DEN,L (-2),1,36:02,7,13,.538,4,7,.571,0,0,,1,0,1,8,0,0,0,1,18,17.6,+2
