<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,22,MIA,NBA,SF,78,78,2858,429,1032,.416,34,107,.318,395,925,.427,.432,309,375,.824,135,262,397,213,137,31,192,230,1201
2003-04,23,MIA,NBA,SF,68,56,2030,240,631,.380,10,42,.238,230,589,.390,.388,133,176,.756,92,234,326,126,75,13,91,162,623
2004-05,24,LAL,NBA,SF,77,77,2746,441,991,.445,38,125,.304,403,866,.465,.464,275,319,.862,146,304,450,146,110,23,125,213,1195
2005-06,25,WAS,NBA,SF,75,54,2708,494,1086,.455,41,120,.342,453,966,.469,.474,289,332,.870,114,352,466,186,127,18,175,238,1318
2006-07&nbsp;★,26,WAS,NBA,SF,63,63,2474,451,975,.463,18,72,.250,433,903,.480,.472,283,328,.863,147,320,467,233,134,17,181,188,1203
2007-08&nbsp;★,27,WAS,NBA,SF,58,58,2314,439,943,.466,66,185,.357,373,758,.492,.501,236,262,.901,93,295,388,284,128,20,150,160,1180
2008-09,28,WAS,NBA,SG,67,67,2585,491,1085,.453,65,210,.310,426,875,.487,.482,345,402,.858,118,296,414,290,106,20,210,165,1392
2009-10,29,TOT,NBA,SF-SG,74,74,2783,450,1051,.428,42,145,.290,408,906,.450,.448,264,315,.838,104,357,461,156,116,24,160,193,1206
2009-10,29,WAS,NBA,SF,47,47,1853,293,694,.422,25,95,.263,268,599,.447,.440,185,211,.877,68,248,316,107,68,15,113,126,796
2009-10,29,DAL,NBA,SG,27,27,930,157,357,.440,17,50,.340,140,307,.456,.464,79,104,.760,36,109,145,49,48,9,47,67,410
2010-11,30,DAL,NBA,SF,29,29,867,170,378,.450,28,65,.431,142,313,.454,.487,68,88,.773,22,96,118,46,28,8,49,59,436
2011-12,31,LAC,NBA,SF,63,63,1871,287,705,.407,92,257,.358,195,448,.435,.472,87,107,.813,44,186,230,78,52,9,77,123,753
2012-13,32,LAC,NBA,SF,78,78,1879,305,720,.424,128,330,.388,177,390,.454,.513,75,90,.833,41,182,223,78,51,11,72,139,813
2013-14,33,TOT,NBA,SF,56,13,1419,213,540,.394,98,249,.394,115,291,.395,.485,63,75,.840,21,208,229,82,47,17,60,120,587
2013-14,33,MIL,NBA,SF,34,13,821,137,354,.387,53,147,.361,84,207,.406,.462,47,56,.839,16,142,158,56,23,11,52,64,374
2013-14,33,OKC,NBA,SF,22,0,598,76,186,.409,45,102,.441,31,84,.369,.530,16,19,.842,5,66,71,26,24,6,8,56,213
2014-15,34,DET,NBA,SF,78,21,1623,161,396,.407,83,219,.379,78,177,.441,.511,55,61,.902,21,175,196,79,43,4,49,120,460
2015-16,35,SAC,NBA,SF,4,0,42,7,14,.500,0,4,.000,7,10,.700,.500,0,0,,2,3,5,0,2,0,1,3,14
Career,,,NBA,,868,731,28199,4578,10547,.434,743,2130,.349,3835,8417,.456,.469,2482,2930,.847,1100,3270,4370,1997,1156,215,1592,2113,12381
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,WAS,NBA,,310,289,11934,2168,4783,.453,215,682,.315,1953,4101,.476,.476,1338,1535,.872,540,1511,2051,1100,563,90,829,877,5889
2 seasons,,MIA,NBA,,146,134,4888,669,1663,.402,44,149,.295,625,1514,.413,.416,442,551,.802,227,496,723,339,212,44,283,392,1824
2 seasons,,LAC,NBA,,141,141,3750,592,1425,.415,220,587,.375,372,838,.444,.493,162,197,.822,85,368,453,156,103,20,149,262,1566
1 season,,DET,NBA,,78,21,1623,161,396,.407,83,219,.379,78,177,.441,.511,55,61,.902,21,175,196,79,43,4,49,120,460
1 season,,LAL,NBA,,77,77,2746,441,991,.445,38,125,.304,403,866,.465,.464,275,319,.862,146,304,450,146,110,23,125,213,1195
2 seasons,,DAL,NBA,,56,56,1797,327,735,.445,45,115,.391,282,620,.455,.476,147,192,.766,58,205,263,95,76,17,96,126,846
1 season,,MIL,NBA,,34,13,821,137,354,.387,53,147,.361,84,207,.406,.462,47,56,.839,16,142,158,56,23,11,52,64,374
1 season,,OKC,NBA,,22,0,598,76,186,.409,45,102,.441,31,84,.369,.530,16,19,.842,5,66,71,26,24,6,8,56,213
1 season,,SAC,NBA,,4,0,42,7,14,.500,0,4,.000,7,10,.700,.500,0,0,,2,3,5,0,2,0,1,3,14
