<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-29,25-045,CHI,,NYK,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2014-10-31,25-047,CHI,,CLE,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1,2014-11-01,25-048,CHI,@,MIN,W (+1),1,39:28,6,12,.500,1,3,.333,11,15,.733,1,3,4,2,1,1,2,3,24,17.9,-7
4,2,2014-11-04,25-051,CHI,,ORL,W (+8),1,35:02,7,15,.467,0,2,.000,7,11,.636,3,6,9,3,1,2,2,2,21,17.3,-1
5,3,2014-11-05,25-052,CHI,@,MIL,W (+9),1,41:06,5,8,.625,0,0,,4,4,1.000,1,5,6,7,4,0,4,3,14,16.3,+15
6,4,2014-11-07,25-054,CHI,@,PHI,W (+3),1,40:18,8,15,.533,1,3,.333,6,6,1.000,4,3,7,5,1,1,1,4,23,22.0,+15
7,5,2014-11-08,25-055,CHI,,BOS,L (-5),1,38:13,7,16,.438,1,3,.333,1,1,1.000,1,4,5,2,2,0,0,1,16,12.5,+4
8,6,2014-11-10,25-057,CHI,,DET,W (+11),1,42:47,6,12,.500,4,7,.571,3,3,1.000,1,3,4,1,0,0,1,1,19,13.9,+12
9,7,2014-11-13,25-060,CHI,@,TOR,W (+7),1,39:47,7,10,.700,1,3,.333,6,8,.750,0,9,9,6,0,1,1,3,21,21.4,+17
10,8,2014-11-15,25-062,CHI,,IND,L (-9),1,40:59,10,17,.588,1,2,.500,11,14,.786,2,4,6,1,2,1,1,0,32,27.9,+3
11,9,2014-11-17,25-064,CHI,@,LAC,W (+16),1,45:17,6,17,.353,1,4,.250,9,10,.900,2,4,6,8,2,0,3,2,22,18.5,+26
12,10,2014-11-20,25-067,CHI,@,SAC,L (-15),1,36:38,11,18,.611,0,1,.000,1,2,.500,4,4,8,1,2,0,3,3,23,16.9,-8
13,11,2014-11-21,25-068,CHI,@,POR,L (-18),1,26:32,3,13,.231,0,2,.000,3,4,.750,2,2,4,2,1,0,0,1,9,4.7,-26
14,12,2014-11-24,25-071,CHI,@,UTA,W (+2),1,43:52,8,16,.500,1,2,.500,8,9,.889,2,0,2,2,4,0,3,2,25,19.6,+4
15,13,2014-11-25,25-072,CHI,@,DEN,L (-5),1,40:03,7,13,.538,0,1,.000,18,20,.900,3,6,9,1,1,0,2,3,32,27.3,-7
16,14,2014-11-28,25-075,CHI,@,BOS,W (+7),1,40:35,6,15,.400,0,3,.000,10,12,.833,2,1,3,1,1,0,3,2,22,12.7,+1
17,15,2014-11-30,25-077,CHI,@,BRK,W (+18),1,39:07,7,12,.583,1,3,.333,11,13,.846,0,4,4,5,1,0,0,1,26,24.9,+18
18,16,2014-12-02,25-079,CHI,,DAL,L (-3),1,46:19,9,21,.429,0,3,.000,5,9,.556,4,4,8,7,0,0,1,3,23,17.0,-3
19,17,2014-12-03,25-080,CHI,@,CHO,W (+7),1,38:48,5,11,.455,1,4,.250,4,4,1.000,1,1,2,5,2,0,1,2,15,14.0,+4
20,18,2014-12-06,25-083,CHI,,GSW,L (-10),1,43:45,8,17,.471,3,6,.500,5,7,.714,3,1,4,3,2,0,3,3,24,16.8,-2
