<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,21-253,DET,@,DEN,L (-10),1,35:39,3,19,.158,1,8,.125,0,0,,2,5,7,3,0,1,1,1,7,-0.8,-4
2,2,2014-10-30,21-254,DET,@,MIN,L (-6),1,41:29,5,13,.385,1,2,.500,0,2,.000,4,2,6,2,2,0,1,2,11,8.1,-9
3,3,2014-11-01,21-256,DET,,BRK,L (-12),1,40:54,3,10,.300,0,6,.000,4,4,1.000,0,6,6,0,1,0,3,2,10,3.2,-10
4,4,2014-11-05,21-260,DET,,NYK,W (+3),1,34:37,8,14,.571,4,7,.571,0,2,.000,0,2,2,0,0,0,0,3,20,12.0,-7
5,5,2014-11-07,21-262,DET,,MIL,W (+3),1,30:22,7,11,.636,3,5,.600,2,2,1.000,0,5,5,0,0,0,1,3,19,13.4,+5
6,6,2014-11-09,21-264,DET,,UTA,L (-1),1,33:47,3,13,.231,3,9,.333,2,4,.500,0,1,1,1,0,0,0,3,11,2.1,+8
7,7,2014-11-10,21-265,DET,@,CHI,L (-11),1,28:37,3,9,.333,1,3,.333,2,4,.500,0,1,1,1,0,0,0,1,9,3.7,-10
8,8,2014-11-12,21-267,DET,@,WAS,L (-4),1,35:01,8,14,.571,4,6,.667,0,0,,0,2,2,0,0,1,1,3,20,12.5,-1
9,9,2014-11-14,21-269,DET,@,OKC,W (+7),1,41:15,3,10,.300,1,6,.167,1,2,.500,2,1,3,1,0,0,2,1,8,1.8,-6
10,10,2014-11-15,21-270,DET,@,MEM,L (-7),1,25:45,1,11,.091,0,4,.000,0,0,,1,2,3,1,0,0,0,1,2,-3.7,-7
11,11,2014-11-17,21-272,DET,,ORL,L (-14),1,34:28,4,10,.400,2,4,.500,0,0,,0,5,5,2,0,0,1,3,10,5.3,-14
12,12,2014-11-19,21-274,DET,,PHO,L (-2),1,27:53,6,13,.462,3,7,.429,0,0,,1,1,2,2,3,0,1,3,15,11.5,+3
13,13,2014-11-21,21-276,DET,@,ATL,L (-10),1,31:37,1,7,.143,0,2,.000,2,2,1.000,0,0,0,0,3,0,0,2,4,1.7,-16
14,14,2014-11-25,21-280,DET,@,MIL,L (-12),1,21:11,2,9,.222,2,7,.286,0,0,,0,0,0,2,2,0,1,3,6,1.7,-11
15,15,2014-11-26,21-281,DET,,LAC,L (-6),1,40:55,5,11,.455,3,7,.429,4,4,1.000,1,0,1,1,1,0,2,4,17,10.1,-4
16,16,2014-11-28,21-283,DET,,MIL,L (-16),1,34:39,7,19,.368,4,9,.444,3,6,.500,4,2,6,0,1,0,0,3,21,12.5,+3
17,17,2014-11-30,21-285,DET,,GSW,L (-11),1,36:24,8,15,.533,4,7,.571,3,5,.600,1,3,4,1,2,0,2,2,23,16.4,-3
18,18,2014-12-02,21-287,DET,,LAL,L (-10),1,33:05,3,9,.333,0,3,.000,1,2,.500,1,3,4,0,0,0,1,2,7,1.3,-12
19,19,2014-12-03,21-288,DET,@,BOS,L (-7),1,41:00,6,15,.400,3,8,.375,0,0,,1,5,6,1,2,0,1,3,15,9.6,+1
20,20,2014-12-06,21-291,DET,,PHI,L (-7),1,29:40,2,10,.200,0,3,.000,5,7,.714,1,5,6,0,2,0,2,1,9,3.8,-6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-07,21-292,DET,,OKC,L (-2),1,32:30,6,12,.500,1,5,.200,6,7,.857,1,2,3,5,1,0,3,4,19,13.8,+6
22,22,2014-12-09,21-294,DET,,POR,L (-12),1,24:59,4,7,.571,1,2,.500,2,2,1.000,0,0,0,0,2,0,3,2,11,5.9,-13
23,23,2014-12-12,21-297,DET,@,PHO,W (+2),1,29:48,5,9,.556,2,4,.500,2,2,1.000,1,4,5,1,3,0,3,4,14,10.7,+1
24,24,2014-12-13,21-298,DET,@,SAC,W (+5),1,27:48,2,6,.333,2,5,.400,2,2,1.000,0,2,2,0,0,0,0,1,8,4.8,+1
25,25,2014-12-15,21-300,DET,@,LAC,L (-22),1,26:21,1,5,.200,0,3,.000,0,2,.000,0,4,4,0,2,0,2,3,2,-1.9,-13
26,26,2014-12-17,21-302,DET,,DAL,L (-11),1,28:02,5,15,.333,3,9,.333,1,1,1.000,0,2,2,0,0,0,0,1,14,5.7,+3
27,27,2014-12-19,21-304,DET,,TOR,L (-10),1,26:54,7,12,.583,4,6,.667,0,0,,0,1,1,3,0,0,1,3,18,12.6,+3
28,28,2014-12-21,21-306,DET,@,BRK,L (-5),1,32:35,6,15,.400,5,10,.500,3,3,1.000,0,6,6,0,0,0,0,2,20,12.9,+2
29,29,2014-12-26,21-311,DET,,IND,W (+10),1,34:01,6,13,.462,2,5,.400,1,1,1.000,0,3,3,1,2,0,1,2,15,10.1,+11
30,30,2014-12-28,21-313,DET,@,CLE,W (+23),1,21:36,5,9,.556,3,7,.429,0,0,,0,2,2,0,2,0,1,1,13,9.9,+16
31,31,2014-12-30,21-315,DET,@,ORL,W (+23),1,24:54,2,8,.250,0,2,.000,0,0,,0,2,2,0,1,0,0,2,4,0.0,+17
32,32,2015-01-02,21-318,DET,@,NYK,W (+16),1,31:53,5,9,.556,2,5,.400,0,0,,1,2,3,2,1,0,1,2,12,9.6,+22
33,33,2015-01-04,21-320,DET,,SAC,W (+19),1,26:34,4,9,.444,1,5,.200,0,0,,0,4,4,1,2,1,2,3,9,5.7,+12
34,34,2015-01-06,21-322,DET,@,SAS,W (+1),1,36:34,4,9,.444,0,2,.000,2,2,1.000,0,0,0,1,1,1,1,5,10,4.7,+1
35,35,2015-01-07,21-323,DET,@,DAL,W (+13),1,17:33,3,6,.500,1,2,.500,1,2,.500,0,2,2,1,1,0,2,2,8,4.1,+1
36,36,2015-01-09,21-325,DET,,ATL,L (-3),1,34:40,8,23,.348,4,16,.250,0,1,.000,0,6,6,0,1,1,0,0,20,10.2,+4
37,37,2015-01-10,21-326,DET,,BRK,W (+5),1,23:56,2,5,.400,1,4,.250,1,2,.500,1,3,4,4,4,0,3,2,6,7.5,+13
38,38,2015-01-12,21-328,DET,@,TOR,W (+3),1,33:19,3,7,.429,0,2,.000,3,3,1.000,0,3,3,2,1,0,1,1,9,7.2,+15
39,39,2015-01-14,21-330,DET,,NOP,L (-11),1,28:38,3,7,.429,1,2,.500,1,2,.500,0,2,2,4,1,1,1,2,8,7.2,-7
40,40,2015-01-16,21-332,DET,@,IND,W (+2),1,27:54,4,7,.571,2,3,.667,0,0,,1,3,4,0,0,1,1,1,10,7.6,+6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2015-01-17,21-333,DET,,PHI,W (+18),1,34:32,6,11,.545,3,6,.500,2,2,1.000,0,3,3,2,0,1,1,0,17,13.7,+11
42,42,2015-01-19,21-335,DET,@,ATL,L (-11),1,38:52,4,15,.267,2,9,.222,0,0,,1,3,4,1,1,1,2,1,10,2.7,-5
43,43,2015-01-21,21-337,DET,,ORL,W (+10),1,36:07,4,8,.500,1,2,.500,1,1,1.000,0,2,2,0,2,0,0,2,10,7.8,+23
44,44,2015-01-24,21-340,DET,@,MIL,L (-15),1,24:28,2,12,.167,0,2,.000,0,0,,1,3,4,0,1,0,0,0,4,-1.0,-20
45,45,2015-01-25,21-341,DET,@,TOR,L (-4),1,42:14,6,17,.353,3,9,.333,1,2,.500,0,3,3,2,2,0,3,5,16,5.4,-5
46,46,2015-01-27,21-343,DET,,CLE,L (-8),1,28:41,3,7,.429,1,5,.200,4,5,.800,0,2,2,2,0,1,3,3,11,5.4,+1
47,47,2015-01-28,21-344,DET,@,PHI,L (-20),1,22:39,2,9,.222,0,2,.000,0,0,,0,2,2,1,0,0,3,2,4,-4.0,-30
48,48,2015-01-31,21-347,DET,,HOU,W (+13),1,40:22,10,21,.476,6,11,.545,2,4,.500,1,4,5,4,1,3,0,3,28,23.1,+10
49,49,2015-02-03,21-350,DET,,MIA,W (+17),1,28:32,8,19,.421,1,3,.333,1,3,.333,4,0,4,1,3,0,0,0,18,13.6,+16
50,50,2015-02-04,21-351,DET,@,IND,L (-5),1,3:29,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-4
51,51,2015-02-06,21-353,DET,,DEN,W (+10),1,22:34,3,8,.375,1,2,.500,2,3,.667,1,1,2,1,0,0,2,0,9,3.9,+4
52,52,2015-02-08,21-355,DET,,MIN,L (-11),1,29:49,6,15,.400,2,8,.250,1,2,.500,0,1,1,0,4,0,0,2,15,10.0,-7
53,53,2015-02-10,21-357,DET,@,CHO,W (+28),1,27:02,2,6,.333,1,4,.250,0,0,,0,6,6,3,0,1,1,3,5,4.0,+10
54,54,2015-02-11,21-358,DET,,SAS,L (-17),1,36:01,7,15,.467,2,5,.400,4,4,1.000,0,3,3,0,0,1,1,3,20,11.7,-22
55,55,2015-02-20,22-002,DET,,CHI,W (+9),1,29:17,5,11,.455,2,3,.667,0,2,.000,0,2,2,2,1,0,0,1,12,8.1,+13
56,56,2015-02-22,22-004,DET,,WAS,W (+17),1,30:49,10,20,.500,6,13,.462,0,0,,1,1,2,1,2,0,1,2,26,17.9,+14
57,57,2015-02-24,22-006,DET,,CLE,L (-9),1,32:52,7,13,.538,5,7,.714,2,3,.667,0,2,2,1,2,0,1,1,21,16.2,+6
58,58,2015-02-27,22-009,DET,,NYK,L (-6),1,42:21,7,18,.389,3,11,.273,2,2,1.000,2,4,6,3,1,2,1,0,19,15.3,-16
59,59,2015-02-28,22-010,DET,@,WAS,L (-4),1,23:26,2,8,.250,1,5,.200,0,0,,0,1,1,0,1,0,2,2,5,-1.3,-10
60,60,2015-03-04,22-014,DET,@,NOP,L (-3),1,24:28,4,14,.286,0,3,.000,0,0,,0,3,3,1,1,0,0,2,8,1.6,+5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,61,2015-03-06,22-016,DET,@,HOU,L (-10),1,32:57,3,10,.300,0,6,.000,0,0,,0,1,1,3,1,0,2,1,6,1.2,+2
62,62,2015-03-08,22-018,DET,,CHO,L (-7),1,31:50,4,15,.267,0,4,.000,3,4,.750,1,4,5,2,0,0,2,0,11,3.0,-6
63,63,2015-03-10,22-020,DET,@,LAL,L (-8),1,36:27,5,14,.357,4,10,.400,1,1,1.000,0,2,2,2,0,1,1,3,15,7.7,-12
64,64,2015-03-11,22-021,DET,@,GSW,L (-7),1,35:37,6,15,.400,1,5,.200,0,0,,1,1,2,3,2,0,0,1,13,9.6,-5
65,65,2015-03-13,22-023,DET,@,POR,L (-19),1,26:17,6,14,.429,0,4,.000,0,0,,0,2,2,1,0,0,0,1,12,5.5,-5
66,66,2015-03-14,22-024,DET,@,UTA,L (-3),1,27:52,0,5,.000,0,1,.000,1,2,.500,1,1,2,1,2,0,1,2,1,-1.0,-8
67,67,2015-03-17,22-027,DET,,MEM,W (+10),1,37:23,10,16,.625,2,7,.286,2,3,.667,0,0,0,1,0,0,1,1,24,15.7,+15
68,68,2015-03-18,22-028,DET,@,PHI,L (-11),1,35:41,7,16,.438,1,4,.250,5,6,.833,1,7,8,2,1,0,3,3,20,12.2,-2
69,69,2015-03-21,22-031,DET,,CHI,W (+16),1,38:50,6,11,.545,3,6,.500,0,0,,0,1,1,1,1,0,0,0,15,11.7,+27
70,70,2015-03-22,22-032,DET,@,BOS,W (+8),1,44:19,10,20,.500,3,8,.375,4,4,1.000,2,6,8,1,2,0,4,2,27,18.1,+11
71,71,2015-03-24,22-034,DET,,TOR,W (+4),1,35:32,10,17,.588,5,9,.556,1,2,.500,2,4,6,4,0,0,0,3,26,21.9,+7
72,72,2015-03-27,22-037,DET,@,ORL,W (+14),1,38:48,4,20,.200,0,5,.000,2,2,1.000,1,4,5,1,4,0,0,1,10,3.8,+9
73,73,2015-03-29,22-039,DET,@,MIA,L (-7),1,40:36,4,15,.267,0,6,.000,1,2,.500,0,4,4,1,2,0,4,4,9,-2.0,+4
74,74,2015-03-31,22-041,DET,,ATL,W (+10),1,32:15,7,16,.438,3,9,.333,1,1,1.000,0,1,1,3,1,0,0,2,18,12.2,+12
75,75,2015-04-01,22-042,DET,@,CHO,L (-24),1,14:04,1,6,.167,0,3,.000,0,0,,0,0,0,1,0,0,1,4,2,-3.7,-9
76,76,2015-04-03,22-044,DET,@,CHI,L (-6),1,35:05,6,16,.375,2,7,.286,0,0,,0,1,1,0,3,0,1,2,14,6.7,+5
