<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,SAC,NBA,SF,77,31,1931,300,672,.446,75,203,.369,225,469,.480,.502,117,174,.672,75,274,349,95,54,17,98,125,792
2010-11,22,SAC,NBA,SF,71,27,1702,225,546,.412,92,247,.372,133,299,.445,.496,68,101,.673,74,233,307,74,54,13,68,115,610
2011-12,23,CLE,NBA,SF,65,35,1341,166,412,.403,53,168,.315,113,244,.463,.467,74,108,.685,63,165,228,66,37,21,64,115,459
2012-13,24,CLE,NBA,SF,43,1,503,63,160,.394,25,76,.329,38,84,.452,.472,22,41,.537,20,94,114,28,25,12,22,45,173
2013-14,25,HOU,NBA,PF,71,2,1283,173,410,.422,61,176,.347,112,234,.479,.496,83,122,.680,55,205,260,88,44,14,72,100,490
2014-15,26,SAC,NBA,SF,67,19,1416,209,427,.489,35,87,.402,174,340,.512,.530,140,191,.733,54,206,260,102,31,9,88,107,593
2015-16,27,SAC,NBA,SF,6,0,139,22,42,.524,7,11,.636,15,31,.484,.607,10,18,.556,7,26,33,8,6,0,11,13,61
Career,,,NBA,,400,115,8315,1158,2669,.434,348,968,.360,810,1701,.476,.499,514,755,.681,348,1203,1551,461,251,86,423,620,3178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,221,77,5188,756,1687,.448,209,548,.381,547,1139,.480,.510,335,484,.692,210,739,949,279,145,39,265,360,2056
2 seasons,,CLE,NBA,,108,36,1844,229,572,.400,78,244,.320,151,328,.460,.469,96,149,.644,83,259,342,94,62,33,86,160,632
1 season,,HOU,NBA,,71,2,1283,173,410,.422,61,176,.347,112,234,.479,.496,83,122,.680,55,205,260,88,44,14,72,100,490
