<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,22,UTA,NBA,SG,23,0,172,26,67,.388,11,31,.355,15,36,.417,.470,5,7,.714,3,16,19,15,8,2,14,24,68
2014-15,23,TOT,NBA,SG,30,0,192,19,55,.345,10,30,.333,9,25,.360,.436,9,9,1.000,4,12,16,12,9,3,9,20,57
2014-15,23,UTA,NBA,SG,23,0,161,15,44,.341,9,25,.360,6,19,.316,.443,5,5,1.000,4,9,13,10,6,2,7,12,44
2014-15,23,DEN,NBA,SG,7,0,31,4,11,.364,1,5,.200,3,6,.500,.409,4,4,1.000,0,3,3,2,3,1,2,8,13
2015-16,24,GSW,NBA,SG,4,0,25,5,9,.556,1,3,.333,4,6,.667,.611,6,6,1.000,1,3,4,6,0,0,1,1,17
Career,,,NBA,,57,0,389,50,131,.382,22,64,.344,28,67,.418,.466,20,22,.909,8,31,39,33,17,5,24,45,142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,UTA,NBA,,46,0,333,41,111,.369,20,56,.357,21,55,.382,.459,10,12,.833,7,25,32,25,14,4,21,36,112
1 season,,DEN,NBA,,7,0,31,4,11,.364,1,5,.200,3,6,.500,.409,4,4,1.000,0,3,3,2,3,1,2,8,13
1 season,,GSW,NBA,,4,0,25,5,9,.556,1,3,.333,4,6,.667,.611,6,6,1.000,1,3,4,6,0,0,1,1,17
