<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,27-067,SAC,,GSW,L (-18),1,36:12,4,12,.333,1,4,.250,4,6,.667,0,4,4,8,5,1,1,2,13,16.1,-5
2,2,2014-10-31,27-069,SAC,,POR,W (+9),1,37:41,6,14,.429,0,3,.000,5,6,.833,2,6,8,8,3,0,3,4,17,16.4,+14
3,3,2014-11-02,27-071,SAC,@,LAC,W (+6),1,39:19,4,12,.333,0,1,.000,6,6,1.000,1,4,5,4,0,1,3,1,14,9.2,+11
4,4,2014-11-03,27-072,SAC,@,DEN,W (+5),1,29:43,5,9,.556,0,0,,11,13,.846,1,3,4,6,1,0,1,1,21,21.3,+4
5,5,2014-11-05,27-074,SAC,,DEN,W (+22),1,31:34,4,9,.444,1,4,.250,1,3,.333,0,0,0,8,1,1,0,1,10,11.4,+39
6,6,2014-11-07,27-076,SAC,@,PHO,W (+2),1,33:10,6,13,.462,0,2,.000,4,6,.667,0,2,2,3,2,0,2,2,16,10.4,+3
7,7,2014-11-09,27-078,SAC,@,OKC,L (-8),1,34:54,5,15,.333,1,6,.167,1,1,1.000,1,4,5,7,2,0,2,2,12,9.5,+2
8,,2014-11-11,27-080,SAC,,DAL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,8,2014-11-13,27-082,SAC,@,MEM,L (-1),1,37:20,6,11,.545,2,3,.667,6,7,.857,0,2,2,5,1,1,3,2,20,16.3,+8
10,9,2014-11-15,27-084,SAC,,SAS,W (+3),1,39:23,7,13,.538,0,2,.000,5,6,.833,0,2,2,5,2,0,3,2,19,14.6,+8
11,10,2014-11-18,27-087,SAC,,NOP,L (-6),1,30:56,3,10,.300,2,3,.667,5,6,.833,0,2,2,11,0,0,0,0,13,15.1,+7
12,11,2014-11-20,27-089,SAC,,CHI,W (+15),1,40:29,5,10,.500,0,1,.000,7,7,1.000,2,4,6,12,1,1,1,2,17,22.9,+17
13,12,2014-11-22,27-091,SAC,@,MIN,W (+12),1,33:15,6,10,.600,2,4,.500,5,6,.833,0,2,2,7,1,0,4,3,19,15.3,+16
14,,2014-11-25,27-094,SAC,,NOP,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,2014-11-26,27-095,SAC,,HOU,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,13,2014-11-28,27-097,SAC,@,SAS,L (-8),1,34:44,5,12,.417,2,3,.667,3,4,.750,0,3,3,2,0,1,3,3,15,7.0,-2
17,14,2014-11-30,27-099,SAC,,MEM,L (-12),1,37:35,6,14,.429,0,3,.000,4,7,.571,0,7,7,7,4,1,5,0,16,14.1,-12
18,15,2014-12-02,27-101,SAC,,TOR,L (-8),1,18:37,0,5,.000,0,0,,4,4,1.000,0,3,3,4,2,0,1,0,4,5.2,-22
19,16,2014-12-05,27-104,SAC,,IND,W (+1),1,39:28,8,19,.421,0,3,.000,4,6,.667,0,6,6,6,4,0,4,4,20,13.5,+8
20,17,2014-12-06,27-105,SAC,,ORL,L (-9),1,34:04,6,14,.429,3,6,.500,7,9,.778,0,3,3,4,0,0,2,2,22,14.7,+6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,18,2014-12-08,27-107,SAC,,UTA,W (+9),1,31:37,6,12,.500,0,2,.000,4,4,1.000,0,2,2,6,1,0,2,3,16,12.6,-3
22,19,2014-12-09,27-108,SAC,@,LAL,L (-3),1,38:23,11,18,.611,2,3,.667,2,8,.250,1,3,4,6,0,0,0,2,26,20.4,+9
23,20,2014-12-11,27-110,SAC,,HOU,L (-4),1,41:53,10,20,.500,2,4,.500,2,2,1.000,1,2,3,7,3,0,6,1,24,16.8,+5
24,21,2014-12-13,27-112,SAC,,DET,L (-5),1,32:29,1,10,.100,1,6,.167,0,0,,0,3,3,7,1,2,2,3,3,1.4,-9
25,22,2014-12-16,27-115,SAC,,OKC,L (-12),1,25:34,2,8,.250,0,2,.000,2,2,1.000,1,4,5,3,2,1,3,2,6,4.1,-12
26,23,2014-12-18,27-117,SAC,,MIL,L (-1),1,40:11,6,11,.545,2,4,.500,1,1,1.000,0,1,1,5,3,0,2,3,15,13.3,+6
27,24,2014-12-21,27-120,SAC,,LAL,W (+7),1,40:05,7,13,.538,2,4,.500,3,5,.600,0,0,0,3,2,0,3,3,19,11.8,+9
28,25,2014-12-22,27-121,SAC,@,GSW,L (-20),1,32:24,7,14,.500,2,4,.500,1,2,.500,0,2,2,5,2,0,4,2,17,10.9,-15
29,26,2014-12-26,27-125,SAC,,PHO,L (-9),1,36:15,5,12,.417,4,7,.571,5,6,.833,0,1,1,2,3,0,3,2,19,13.1,-11
30,27,2014-12-27,27-126,SAC,,NYK,W (+6),1,42:57,9,10,.900,3,3,1.000,6,6,1.000,0,1,1,10,2,0,2,2,27,30.1,+5
31,28,2014-12-29,27-128,SAC,@,BRK,L (-8),1,30:42,5,7,.714,2,2,1.000,4,5,.800,0,3,3,8,0,0,4,5,16,13.2,+5
32,29,2014-12-31,27-130,SAC,@,BOS,L (-22),1,32:15,4,10,.400,0,4,.000,6,6,1.000,0,0,0,5,1,1,3,1,14,10.4,-14
33,30,2015-01-01,27-131,SAC,@,MIN,W (+3),1,39:16,8,15,.533,1,2,.500,4,4,1.000,0,4,4,6,0,0,2,0,21,17.1,+15
34,31,2015-01-04,27-134,SAC,@,DET,L (-19),1,28:15,5,7,.714,2,2,1.000,5,7,.714,0,6,6,3,3,0,3,3,17,16.0,-10
35,32,2015-01-07,27-137,SAC,,OKC,W (+21),1,38:21,9,19,.474,5,10,.500,1,1,1.000,0,1,1,7,2,0,3,1,24,18.1,+25
36,33,2015-01-09,27-139,SAC,,DEN,L (-10),1,36:20,7,13,.538,1,4,.250,0,0,,0,2,2,7,1,0,1,4,15,12.6,-19
37,34,2015-01-11,27-141,SAC,,CLE,W (+19),1,32:42,6,10,.600,2,3,.667,2,2,1.000,0,2,2,7,0,0,0,2,16,16.1,+25
38,35,2015-01-13,27-143,SAC,,DAL,L (-4),1,45:26,6,20,.300,0,6,.000,6,8,.750,2,5,7,3,3,0,3,2,18,9.8,-7
39,36,2015-01-16,27-146,SAC,,MIA,L (-12),1,37:54,5,12,.417,1,4,.250,2,2,1.000,0,1,1,6,0,1,2,3,13,8.6,-16
40,37,2015-01-17,27-147,SAC,,LAC,L (-9),1,39:12,7,15,.467,3,6,.500,0,0,,2,1,3,4,0,1,5,3,17,8.3,-10
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,38,2015-01-19,27-149,SAC,@,POR,L (-4),1,36:02,6,11,.545,1,3,.333,0,1,.000,2,5,7,8,1,0,5,3,13,10.6,+6
42,39,2015-01-21,27-151,SAC,,BRK,L (-3),1,36:51,6,13,.462,2,7,.286,2,2,1.000,1,1,2,5,2,0,3,4,16,11.2,+12
43,40,2015-01-23,27-153,SAC,@,GSW,L (-25),1,34:25,6,13,.462,1,4,.250,2,2,1.000,2,4,6,4,3,0,3,0,15,13.7,-26
44,41,2015-01-28,27-158,SAC,@,TOR,L (-17),1,30:19,5,10,.500,2,4,.500,0,0,,0,3,3,2,1,0,2,1,12,7.9,-14
45,42,2015-01-30,27-160,SAC,@,CLE,L (-11),1,25:33,5,12,.417,1,3,.333,0,0,,0,2,2,4,0,1,3,1,11,5.3,-14
46,43,2015-01-31,27-161,SAC,@,IND,W (+5),1,39:43,9,15,.600,3,6,.500,2,4,.500,0,5,5,5,1,0,1,2,23,19.5,+5
47,44,2015-02-03,27-164,SAC,,GSW,L (-25),1,36:47,8,15,.533,1,4,.250,1,1,1.000,0,2,2,7,1,0,1,4,18,14.6,-5
48,45,2015-02-05,27-166,SAC,,DAL,L (-23),1,14:28,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,3,2,6,1.6,-10
49,,2015-02-07,27-168,SAC,,UTA,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2015-02-08,27-169,SAC,,PHO,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2015-02-10,27-171,SAC,,CHI,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2015-02-11,27-172,SAC,,MIL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2015-02-20,27-181,SAC,,BOS,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2015-02-21,27-182,SAC,,LAC,L (-27),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,,2015-02-25,27-186,SAC,,MEM,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2015-02-27,27-188,SAC,,SAS,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2015-03-01,27-190,SAC,,POR,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2015-03-04,27-193,SAC,,SAS,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,2015-03-06,27-195,SAC,,ORL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,2015-03-07,27-196,SAC,,MIA,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,,2015-03-09,27-198,SAC,,ATL,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,,2015-03-11,27-200,SAC,,CHO,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,,2015-03-13,27-202,SAC,,PHI,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,2015-03-14,27-203,SAC,,WAS,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,,2015-03-16,27-205,SAC,,ATL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
