<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,NOH,NBA,PG,76,37,2109,376,789,.477,46,115,.400,330,674,.490,.506,148,174,.851,41,151,192,432,78,4,202,92,946
2010-11,23,IND,NBA,PG,79,79,2360,398,870,.457,41,124,.331,357,746,.479,.481,202,232,.871,40,185,225,403,87,14,194,109,1039
2011-12,24,IND,NBA,PG,60,56,1878,230,523,.440,34,94,.362,196,429,.457,.472,127,153,.830,30,157,187,287,49,14,114,101,621
2012-13,25,DAL,NBA,PG,81,47,2372,341,724,.471,48,136,.353,293,588,.498,.504,242,275,.880,31,188,219,415,100,8,173,139,972
2013-14,26,LAC,NBA,PG,80,35,2069,324,694,.467,71,189,.376,253,505,.501,.518,192,224,.857,47,141,188,297,93,15,132,150,911
2014-15,27,SAC,NBA,PG,45,45,1565,260,550,.473,60,161,.373,200,389,.514,.527,145,184,.788,19,124,143,252,67,14,112,95,725
2015-16,28,SAC,NBA,PG,6,1,184,35,77,.455,8,19,.421,27,58,.466,.506,17,23,.739,2,5,7,31,5,0,12,11,95
Career,,,NBA,,427,300,12537,1964,4227,.465,308,838,.368,1656,3389,.489,.501,1073,1265,.848,210,951,1161,2117,479,69,939,697,5309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,IND,NBA,,139,135,4238,628,1393,.451,75,218,.344,553,1175,.471,.478,329,385,.855,70,342,412,690,136,28,308,210,1660
1 season,,DAL,NBA,,81,47,2372,341,724,.471,48,136,.353,293,588,.498,.504,242,275,.880,31,188,219,415,100,8,173,139,972
1 season,,LAC,NBA,,80,35,2069,324,694,.467,71,189,.376,253,505,.501,.518,192,224,.857,47,141,188,297,93,15,132,150,911
1 season,,NOH,NBA,,76,37,2109,376,789,.477,46,115,.400,330,674,.490,.506,148,174,.851,41,151,192,432,78,4,202,92,946
2 seasons,,SAC,NBA,,51,46,1749,295,627,.470,68,180,.378,227,447,.508,.525,162,207,.783,21,129,150,283,72,14,124,106,820
