<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,27-018,MEM,,MIN,W (+4),1,33:59,7,14,.500,1,4,.250,1,3,.333,1,0,1,6,1,0,1,3,16,11.9,+15
2,2,2014-10-31,27-020,MEM,@,IND,W (+8),1,33:12,6,19,.316,3,8,.375,2,3,.667,0,2,2,4,1,0,4,2,17,5.3,+11
3,3,2014-11-01,27-021,MEM,@,CHO,W (+2),1,33:43,3,14,.214,0,3,.000,3,3,1.000,0,4,4,7,1,0,3,2,9,3.7,-4
4,4,2014-11-03,27-023,MEM,,NOP,W (+12),1,30:14,2,10,.200,0,1,.000,7,7,1.000,0,3,3,5,2,2,2,2,11,9.8,+19
5,5,2014-11-05,27-025,MEM,@,PHO,W (+11),1,29:13,9,14,.643,3,4,.750,3,5,.600,0,1,1,11,2,0,1,2,24,25.2,+12
6,6,2014-11-07,27-027,MEM,@,OKC,W (+2),1,35:00,7,14,.500,3,4,.750,3,4,.750,1,2,3,5,1,0,0,1,20,18.0,0
7,7,2014-11-08,27-028,MEM,@,MIL,L (-1),1,28:34,2,8,.250,0,1,.000,3,4,.750,0,0,0,4,2,0,3,2,7,2.8,+5
8,8,2014-11-11,27-031,MEM,,LAL,W (+5),1,35:21,7,16,.438,2,4,.500,7,7,1.000,0,1,1,3,3,0,4,2,23,15.2,+3
9,9,2014-11-13,27-033,MEM,,SAC,W (+1),1,38:44,8,17,.471,1,3,.333,5,6,.833,0,1,1,11,1,0,1,4,22,19.3,+13
10,10,2014-11-15,27-035,MEM,,DET,W (+7),1,32:40,5,10,.500,2,2,1.000,6,6,1.000,0,2,2,4,0,0,3,3,18,12.2,+2
11,11,2014-11-17,27-037,MEM,,HOU,W (+26),1,23:23,6,10,.600,1,3,.333,6,6,1.000,1,1,2,6,2,0,1,1,19,20.2,+19
