<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,20,MEM,NBA,PG,53,46,1381,189,442,.428,30,91,.330,159,351,.453,.462,90,123,.732,21,118,139,222,44,2,89,85,498
2008-09,21,MEM,NBA,PG,82,61,2508,323,730,.442,88,217,.406,235,513,.458,.503,161,197,.817,25,251,276,354,90,8,143,146,895
2009-10,22,MEM,NBA,PG,80,80,2569,369,830,.445,82,212,.387,287,618,.464,.494,139,187,.743,30,161,191,425,109,12,170,178,959
2010-11,23,MEM,NBA,PG,81,81,2872,423,953,.444,80,217,.369,343,736,.466,.486,181,247,.733,32,215,247,528,144,18,176,182,1107
2011-12,24,MEM,NBA,PG,62,61,2174,296,684,.433,60,159,.377,236,525,.450,.477,136,158,.861,22,134,156,404,136,11,125,133,788
2012-13,25,MEM,NBA,PG,80,80,2757,414,940,.440,106,293,.362,308,647,.476,.497,234,282,.830,43,182,225,487,174,24,189,171,1168
2013-14,26,MEM,NBA,PG,73,73,2446,463,1030,.450,105,291,.361,358,739,.484,.500,225,276,.815,41,172,213,441,110,13,150,141,1256
2014-15,27,MEM,NBA,PG,70,70,2225,393,882,.446,107,277,.386,286,605,.473,.506,214,249,.859,29,180,209,375,89,14,156,139,1107
2015-16,28,MEM,NBA,PG,6,6,175,23,56,.411,6,18,.333,17,38,.447,.464,22,24,.917,3,14,17,38,5,0,9,8,74
Career,,,NBA,,587,558,19107,2893,6547,.442,664,1775,.374,2229,4772,.467,.493,1402,1743,.804,246,1427,1673,3274,901,102,1207,1183,7852
