<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,LAL,NBA,C,35,2,442,67,141,.475,0,5,.000,67,136,.493,.475,21,28,.750,31,70,101,20,16,16,17,64,155
2004-05,24,LAL,NBA,C,72,0,1087,176,422,.417,78,199,.392,98,223,.439,.509,28,37,.757,63,153,216,35,23,26,29,139,458
2005-06,25,LAL,NBA,PF,81,46,1535,261,511,.511,36,84,.429,225,427,.527,.546,84,101,.832,88,186,274,74,37,32,61,205,642
2006-07,26,LAL,NBA,PF,65,24,1018,185,408,.453,46,115,.400,139,293,.474,.510,34,47,.723,61,154,215,65,25,27,51,134,450
2007-08,27,TOT,NBA,PF,51,2,629,88,234,.376,43,115,.374,45,119,.378,.468,19,21,.905,28,81,109,27,13,12,39,93,238
2007-08,27,LAL,NBA,PF,6,2,70,4,21,.190,2,10,.200,2,11,.182,.238,4,4,1.000,4,6,10,3,2,0,4,6,14
2007-08,27,ORL,NBA,PF,45,0,559,84,213,.394,41,105,.390,43,108,.398,.491,15,17,.882,24,75,99,24,11,12,35,87,224
2008-09,28,TOT,NBA,PF,30,0,171,28,76,.368,13,30,.433,15,46,.326,.454,5,6,.833,7,25,32,5,3,3,13,26,74
2008-09,28,ORL,NBA,PF,21,0,146,23,60,.383,11,25,.440,12,35,.343,.475,5,6,.833,6,21,27,4,3,0,11,23,62
2008-09,28,HOU,NBA,PF,9,0,25,5,16,.313,2,5,.400,3,11,.273,.375,0,0,,1,4,5,1,0,3,2,3,12
2009-10,29,HOU,NBA,PF,15,0,44,7,23,.304,2,9,.222,5,14,.357,.348,5,7,.714,1,8,9,1,0,2,6,5,21
2010-11,30,LAC,NBA,PF,40,0,447,72,170,.424,34,79,.430,38,91,.418,.524,15,24,.625,19,77,96,15,12,11,25,75,193
2011-12,31,TOT,NBA,PF,32,0,276,31,98,.316,10,50,.200,21,48,.438,.367,9,10,.900,10,53,63,10,6,5,11,48,81
2011-12,31,LAC,NBA,PF,16,0,121,11,49,.224,5,27,.185,6,22,.273,.276,4,4,1.000,4,19,23,2,2,4,4,26,31
2011-12,31,WAS,NBA,PF,16,0,155,20,49,.408,5,23,.217,15,26,.577,.459,5,6,.833,6,34,40,8,4,1,7,22,50
Career,,,NBA,,421,74,5649,915,2083,.439,262,686,.382,653,1397,.467,.502,220,281,.783,308,807,1115,252,135,134,252,789,2312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,LAL,NBA,,259,74,4152,693,1503,.461,162,413,.392,531,1090,.487,.515,171,217,.788,247,569,816,197,103,101,162,548,1719
2 seasons,,ORL,NBA,,66,0,705,107,273,.392,52,130,.400,55,143,.385,.487,20,23,.870,30,96,126,28,14,12,46,110,286
2 seasons,,LAC,NBA,,56,0,568,83,219,.379,39,106,.368,44,113,.389,.468,19,28,.679,23,96,119,17,14,15,29,101,224
2 seasons,,HOU,NBA,,24,0,69,12,39,.308,4,14,.286,8,25,.320,.359,5,7,.714,2,12,14,2,0,5,8,8,33
1 season,,WAS,NBA,,16,0,155,20,49,.408,5,23,.217,15,26,.577,.459,5,6,.833,6,34,40,8,4,1,7,22,50
