<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,24-077,SAC,,GSW,L (-18),1,30:47,4,14,.286,0,0,,12,18,.667,3,8,11,1,1,0,6,5,20,7.6,-7
2,2,2014-10-31,24-079,SAC,,POR,W (+9),1,31:28,6,16,.375,0,0,,5,6,.833,3,6,9,1,1,2,2,5,17,10.8,+28
3,3,2014-11-02,24-081,SAC,@,LAC,W (+6),1,34:24,15,23,.652,0,0,,4,5,.800,6,11,17,5,0,3,4,4,34,31.0,+18
4,4,2014-11-03,24-082,SAC,@,DEN,W (+5),1,25:29,6,13,.462,0,0,,7,9,.778,1,4,5,1,2,1,1,3,19,14.6,+6
5,5,2014-11-05,24-084,SAC,,DEN,W (+22),1,22:29,10,14,.714,0,0,,10,11,.909,3,8,11,1,2,0,3,6,30,25.6,+24
6,6,2014-11-07,24-086,SAC,@,PHO,W (+2),1,34:43,6,14,.429,0,0,,13,14,.929,2,16,18,0,0,2,2,6,25,20.4,+2
7,7,2014-11-09,24-088,SAC,@,OKC,L (-8),1,34:09,7,15,.467,0,0,,2,5,.400,1,6,7,1,4,2,2,5,16,11.7,-4
8,8,2014-11-11,24-090,SAC,@,DAL,L (-8),1,29:34,7,13,.538,0,0,,2,2,1.000,4,7,11,5,0,0,5,5,16,11.1,+8
9,9,2014-11-13,24-092,SAC,@,MEM,L (-1),1,30:51,8,17,.471,0,0,,6,7,.857,2,10,12,1,2,3,6,5,22,14.1,+19
10,10,2014-11-15,24-094,SAC,,SAS,W (+3),1,26:52,10,19,.526,0,0,,5,6,.833,4,6,10,0,0,1,1,5,25,17.6,-6
11,11,2014-11-18,24-097,SAC,,NOP,L (-6),1,34:12,10,18,.556,0,0,,4,7,.571,3,14,17,3,0,2,3,3,24,19.8,-3
12,12,2014-11-20,24-099,SAC,,CHI,W (+15),1,34:22,9,19,.474,0,0,,4,5,.800,2,12,14,4,1,1,5,5,22,14.4,+9
13,13,2014-11-22,24-101,SAC,@,MIN,W (+12),1,39:22,11,15,.733,0,0,,9,10,.900,6,12,18,2,1,2,3,4,31,31.5,+17
14,14,2014-11-25,24-104,SAC,@,NOP,W (+10),1,34:55,8,18,.444,0,0,,6,6,1.000,3,9,12,5,3,1,5,4,22,18.0,+21
15,15,2014-11-26,24-105,SAC,@,HOU,L (-13),1,36:50,9,18,.500,0,0,,11,13,.846,3,14,17,6,0,3,7,5,29,22.8,-7
16,,2014-11-28,24-107,SAC,,SAS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2014-11-30,24-109,SAC,,MEM,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2014-12-02,24-111,SAC,,TOR,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2014-12-05,24-114,SAC,,IND,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2014-12-06,24-115,SAC,,ORL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,,2014-12-08,24-117,SAC,,UTA,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2014-12-09,24-118,SAC,,LAL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2014-12-11,24-120,SAC,,HOU,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2014-12-13,24-122,SAC,,DET,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2014-12-16,24-125,SAC,,OKC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,16,2014-12-18,24-127,SAC,,MIL,L (-1),1,32:49,8,12,.667,0,0,,11,13,.846,1,10,11,5,1,0,6,4,27,21.6,+8
27,17,2014-12-21,24-130,SAC,,LAL,W (+7),1,37:03,9,19,.474,0,0,,11,15,.733,6,8,14,2,2,3,2,3,29,26.6,+16
28,18,2014-12-22,24-131,SAC,@,GSW,L (-20),1,29:37,9,19,.474,0,0,,4,6,.667,2,6,8,6,1,1,2,5,22,16.6,-2
29,,2014-12-26,24-135,SAC,,PHO,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,19,2014-12-27,24-136,SAC,,NYK,W (+6),1,32:14,14,27,.519,1,1,1.000,10,11,.909,3,8,11,4,0,2,5,5,39,27.0,+5
31,20,2014-12-29,24-138,SAC,@,BRK,L (-8),1,36:39,9,12,.750,0,0,,6,9,.667,3,10,13,4,1,2,5,4,24,21.7,+4
32,21,2014-12-31,24-140,SAC,@,BOS,L (-22),1,29:05,5,17,.294,0,0,,1,2,.500,3,8,11,0,1,1,4,2,11,2.1,-16
33,22,2015-01-01,24-141,SAC,@,MIN,W (+3),1,26:44,8,14,.571,0,0,,3,3,1.000,2,5,7,4,1,2,3,6,19,15.1,+9
34,23,2015-01-04,24-144,SAC,@,DET,L (-19),1,40:21,5,17,.294,0,1,.000,8,11,.727,3,12,15,4,2,1,6,3,18,10.9,-22
35,24,2015-01-07,24-147,SAC,,OKC,W (+21),1,37:32,6,23,.261,0,0,,11,13,.846,4,11,15,4,1,3,6,2,23,13.7,+18
36,25,2015-01-09,24-149,SAC,,DEN,L (-10),1,39:21,12,25,.480,0,0,,8,9,.889,6,7,13,4,3,4,7,4,32,25.2,-22
37,26,2015-01-11,24-151,SAC,,CLE,W (+19),1,35:05,11,23,.478,0,0,,4,6,.667,2,11,13,5,4,3,1,3,26,25.6,+31
38,27,2015-01-13,24-153,SAC,,DAL,L (-4),1,40:29,11,21,.524,0,0,,10,10,1.000,3,13,16,9,2,1,9,6,32,25.3,+4
39,28,2015-01-16,24-156,SAC,,MIA,L (-12),1,38:30,4,12,.333,0,0,,9,9,1.000,0,11,11,5,1,0,8,3,17,8.8,-8
