<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-11-17,23-338,PHI,@,SAS,L (-25),0,16:38,1,5,.200,0,1,.000,4,4,1.000,1,2,3,2,2,0,0,3,6,6.4,+4
2,2,2014-11-19,23-340,PHI,,BOS,L (-11),0,14:04,1,4,.250,1,3,.333,3,4,.750,0,1,1,1,1,0,2,3,6,2.0,-11
3,3,2014-11-21,23-342,PHI,,PHO,L (-26),0,14:02,1,5,.200,0,1,.000,0,0,,0,2,2,0,2,0,1,3,2,-0.7,+2
4,4,2014-11-22,23-343,PHI,@,NYK,L (-8),0,13:52,4,6,.667,4,4,1.000,2,2,1.000,0,4,4,0,0,0,0,2,14,11.8,+12
5,5,2014-11-24,23-345,PHI,,POR,L (-10),0,1:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
6,6,2014-11-26,23-347,PHI,,BRK,L (-8),0,7:46,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-7
7,7,2014-11-29,23-350,PHI,,DAL,L (-7),0,12:54,1,5,.200,0,2,.000,2,2,1.000,1,0,1,1,0,0,0,1,4,1.9,+4
8,8,2014-12-01,23-352,PHI,,SAS,L (-6),0,17:21,3,6,.500,3,3,1.000,0,0,,0,1,1,0,0,0,0,2,9,5.5,-3
9,9,2014-12-03,23-354,PHI,@,MIN,W (+8),0,31:07,5,13,.385,3,6,.500,4,4,1.000,1,3,4,1,1,0,0,2,17,12.4,+11
10,10,2014-12-05,23-356,PHI,,OKC,L (-12),0,28:29,8,13,.615,3,6,.500,2,2,1.000,3,3,6,2,1,0,3,2,21,16.7,-2
11,11,2014-12-06,23-357,PHI,@,DET,W (+7),0,29:10,9,14,.643,3,5,.600,4,4,1.000,1,5,6,1,0,0,1,2,25,19.9,-5
12,12,2014-12-10,23-361,PHI,@,ATL,L (-16),0,25:30,3,11,.273,2,6,.333,1,2,.500,1,4,5,0,1,1,3,3,9,1.5,-10
13,13,2014-12-12,23-363,PHI,@,BRK,L (-18),1,29:41,6,10,.600,6,10,.600,2,2,1.000,0,6,6,2,3,1,3,2,20,18.5,-2
14,14,2014-12-13,23-364,PHI,,MEM,L (-5),1,45:22,5,16,.313,3,11,.273,11,12,.917,2,7,9,1,1,0,1,3,24,17.4,-7
15,15,2014-12-15,24-001,PHI,,BOS,L (-18),1,29:00,4,15,.267,2,8,.250,3,3,1.000,2,4,6,2,2,1,1,4,13,8.2,-3
16,16,2014-12-19,24-005,PHI,,CHO,L (-18),1,26:46,6,10,.600,6,8,.750,1,2,.500,0,2,2,1,0,2,4,3,19,11.5,-7
17,17,2014-12-21,24-007,PHI,@,ORL,W (+8),1,40:04,4,11,.364,1,5,.200,2,3,.667,2,8,10,2,1,2,1,1,11,10.7,+6
18,18,2014-12-23,24-009,PHI,@,MIA,W (+4),1,35:10,3,11,.273,1,5,.200,4,4,1.000,1,4,5,3,2,1,1,5,11,8.2,-8
19,19,2014-12-26,24-012,PHI,@,POR,L (-21),1,29:17,3,10,.300,2,6,.333,0,2,.000,0,3,3,2,1,0,5,2,8,-1.1,-20
20,20,2014-12-27,24-013,PHI,@,UTA,L (-17),1,36:01,5,10,.500,2,6,.333,5,8,.625,2,7,9,0,1,2,1,3,17,14.5,-25
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
