<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,TOT,NBA,SG,42,18,1027,192,500,.384,33,128,.258,159,372,.427,.417,73,84,.869,31,74,105,117,39,3,83,63,490
2010-11,22,ATL,NBA,SG,16,0,160,27,77,.351,9,27,.333,18,50,.360,.409,4,6,.667,9,19,28,15,3,0,15,13,67
2010-11,22,WAS,NBA,SG,26,18,867,165,423,.390,24,101,.238,141,322,.438,.418,69,78,.885,22,55,77,102,36,3,68,50,423
2011-12,23,WAS,NBA,SG,64,32,1753,349,872,.400,79,273,.289,270,599,.451,.446,161,203,.793,44,124,168,190,59,5,141,111,938
2012-13,24,TOT,NBA,SG,70,14,1709,301,725,.415,83,246,.337,218,479,.455,.472,129,159,.811,44,165,209,225,39,7,141,106,814
2012-13,24,WAS,NBA,SG,43,12,1127,211,508,.415,59,171,.345,152,337,.451,.473,87,106,.821,31,104,135,157,27,5,97,61,568
2012-13,24,BOS,NBA,SG,27,2,582,90,217,.415,24,75,.320,66,142,.465,.470,42,53,.792,13,61,74,68,12,2,44,45,246
2013-14,25,TOT,NBA,SG,81,35,1859,327,788,.415,90,285,.316,237,503,.471,.472,146,169,.864,28,155,183,281,47,5,134,120,890
2013-14,25,BOS,NBA,SG,39,35,1198,188,455,.413,50,157,.318,138,298,.463,.468,110,126,.873,18,102,120,224,34,3,84,76,536
2013-14,25,GSW,NBA,SG,42,0,661,139,333,.417,40,128,.313,99,205,.483,.477,36,43,.837,10,53,63,57,13,2,50,44,354
Career,,,NBA,,257,99,6348,1169,2885,.405,285,932,.306,884,1953,.453,.455,509,615,.828,147,518,665,813,184,20,499,400,3132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,WAS,NBA,,133,62,3747,725,1803,.402,162,545,.297,563,1258,.448,.447,317,387,.819,97,283,380,449,122,13,306,222,1929
2 seasons,,BOS,NBA,,66,37,1780,278,672,.414,74,232,.319,204,440,.464,.469,152,179,.849,31,163,194,292,46,5,128,121,782
1 season,,GSW,NBA,,42,0,661,139,333,.417,40,128,.313,99,205,.483,.477,36,43,.837,10,53,63,57,13,2,50,44,354
1 season,,ATL,NBA,,16,0,160,27,77,.351,9,27,.333,18,50,.360,.409,4,6,.667,9,19,28,15,3,0,15,13,67
