<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,22,DAL,NBA,SF,78,16,1353,141,367,.384,63,192,.328,78,175,.446,.470,47,73,.644,35,152,187,94,63,17,49,128,392
2013-14,23,DAL,NBA,SF,78,8,1254,130,296,.439,50,151,.331,80,145,.552,.524,46,61,.754,46,148,194,60,59,21,41,100,356
2014-15,24,TOT,NBA,SF,82,17,1647,229,545,.420,61,208,.293,168,337,.499,.476,109,141,.773,72,221,293,94,72,25,49,137,628
2014-15,24,DAL,NBA,SF,25,0,265,33,76,.434,13,38,.342,20,38,.526,.520,10,11,.909,12,17,29,12,15,5,10,26,89
2014-15,24,BOS,NBA,SF,57,17,1382,196,469,.418,48,170,.282,148,299,.495,.469,99,130,.762,60,204,264,82,57,20,39,111,539
2015-16,25,BOS,NBA,SF,5,5,149,15,39,.385,4,16,.250,11,23,.478,.436,18,23,.783,7,23,30,11,15,3,12,11,52
Career,,,NBA,,243,46,4403,515,1247,.413,178,567,.314,337,680,.496,.484,220,298,.738,160,544,704,259,209,66,151,376,1428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DAL,NBA,,181,24,2872,304,739,.411,126,381,.331,178,358,.497,.497,103,145,.710,93,317,410,166,137,43,100,254,837
2 seasons,,BOS,NBA,,62,22,1531,211,508,.415,52,186,.280,159,322,.494,.467,117,153,.765,67,227,294,93,72,23,51,122,591
