<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-12-04,27-226,NOP,@,GSW,L (-27),0,11:49,1,6,.167,0,0,,0,0,,1,2,3,0,1,0,1,2,2,-1.3,-12
2,2,2014-12-06,27-228,NOP,@,LAC,L (-20),0,20:45,1,3,.333,0,0,,0,0,,0,2,2,1,0,1,0,1,2,1.9,+7
3,3,2014-12-07,27-229,NOP,@,LAL,W (+17),0,24:48,3,6,.500,0,0,,1,2,.500,2,4,6,0,0,0,1,3,7,4.0,+8
4,4,2014-12-09,27-231,NOP,,NYK,W (+11),0,30:59,2,4,.500,0,0,,3,4,.750,1,4,5,1,0,0,2,2,7,4.4,+7
5,5,2014-12-10,27-232,NOP,@,DAL,L (-5),0,27:11,2,3,.667,0,0,,0,0,,2,3,5,0,0,0,0,0,4,5.0,-9
6,6,2014-12-12,27-234,NOP,,CLE,W (+5),0,11:08,1,1,1.000,0,0,,0,0,,1,1,2,1,0,1,0,4,2,2.5,-1
7,7,2014-12-14,27-236,NOP,,GSW,L (-6),0,29:36,6,7,.857,0,0,,1,2,.500,0,5,5,0,2,1,2,3,13,11.1,+1
8,8,2014-12-16,27-238,NOP,,UTA,W (+8),0,29:44,3,6,.500,0,0,,0,0,,1,2,3,0,2,0,2,1,6,3.9,0
9,9,2014-12-18,27-240,NOP,@,HOU,W (+9),0,33:45,6,10,.600,1,1,1.000,2,2,1.000,2,3,5,0,0,1,0,1,15,13.0,+1
10,10,2014-12-20,27-242,NOP,,POR,L (-26),0,15:25,2,3,.667,0,0,,0,0,,0,0,0,0,1,0,0,1,4,3.3,-6
11,11,2014-12-21,27-243,NOP,@,OKC,W (+2),0,29:50,3,5,.600,0,1,.000,0,0,,2,2,4,2,0,0,0,1,6,6.7,+6
12,12,2014-12-23,27-245,NOP,@,IND,L (-12),0,23:14,2,5,.400,0,0,,0,0,,1,2,3,0,0,0,0,0,4,2.6,-12
13,13,2014-12-26,27-248,NOP,,SAS,W (+7),0,13:08,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+6
14,14,2014-12-27,27-249,NOP,@,CHI,L (-7),0,18:12,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,-3
15,15,2014-12-30,27-252,NOP,,PHO,W (+4),0,23:42,2,4,.500,0,0,,0,1,.000,1,1,2,0,1,0,1,2,4,1.8,-2
16,16,2014-12-31,27-253,NOP,@,SAS,L (-2),0,17:14,1,4,.250,0,0,,0,0,,0,3,3,0,0,0,1,1,2,-0.9,-2
17,17,2015-01-02,27-255,NOP,,HOU,W (+28),0,28:20,5,7,.714,0,0,,3,3,1.000,0,0,0,0,3,1,0,1,13,13.4,+16
18,18,2015-01-05,27-258,NOP,,WAS,L (-7),0,25:56,3,6,.500,0,0,,0,0,,2,2,4,0,2,0,0,2,6,6.2,0
19,19,2015-01-07,27-260,NOP,@,CHO,L (-4),0,21:22,1,3,.333,0,0,,0,0,,0,3,3,0,0,0,0,2,2,0.4,-6
20,20,2015-01-09,27-262,NOP,,MEM,W (+11),1,32:02,0,5,.000,0,0,,0,0,,4,3,7,1,0,3,1,0,0,2.0,+7
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2015-01-12,27-265,NOP,@,BOS,L (-8),1,36:26,2,3,.667,0,0,,0,0,,2,3,5,1,0,0,0,2,4,4.9,-12
22,22,2015-01-14,27-267,NOP,@,DET,W (+11),1,20:04,3,5,.600,0,0,,0,0,,0,2,2,1,1,0,1,1,6,4.6,+10
23,23,2015-01-16,27-269,NOP,@,PHI,L (-15),1,28:18,3,7,.429,0,0,,0,0,,1,3,4,1,1,1,1,3,6,4.1,-14
24,24,2015-01-18,27-271,NOP,@,TOR,W (+2),1,28:14,1,5,.200,0,0,,0,2,.000,1,3,4,1,3,0,0,1,2,3.0,0
