<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-30,23-161,LAC,,OKC,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2014-10-31,23-162,LAC,,LAL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,1,2014-11-02,23-164,LAC,,SAC,L (-6),0,10:34,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-1.2,+7
4,,2014-11-03,23-165,LAC,,UTA,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2,2014-11-05,23-167,LAC,@,GSW,L (-17),0,9:35,2,3,.667,0,1,.000,1,2,.500,0,0,0,1,0,0,0,2,5,3.2,+7
6,,2014-11-08,23-170,LAC,,POR,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,3,2014-11-10,23-172,LAC,,SAS,L (-4),0,0:26,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-0.1,-2
8,4,2014-11-15,23-177,LAC,,PHO,W (+13),0,1:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
9,5,2014-11-17,23-179,LAC,,CHI,L (-16),0,1:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
10,6,2014-11-19,23-181,LAC,@,ORL,W (+24),0,5:17,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-1
11,7,2014-11-20,23-182,LAC,@,MIA,W (+17),0,4:14,1,5,.200,0,2,.000,0,0,,0,0,0,0,0,0,1,1,2,-2.5,-6
12,8,2014-11-23,23-185,LAC,@,MEM,L (-16),0,2:45,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1
13,,2014-11-24,23-186,LAC,,CHO,W (+21),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,,2014-11-26,23-188,LAC,,DET,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,9,2014-11-28,23-190,LAC,@,HOU,W (+17),0,4:44,0,1,.000,0,0,,1,4,.250,0,1,1,2,0,0,2,0,1,-1.2,-4
16,,2014-11-29,23-191,LAC,,UTA,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,10,2014-12-01,23-193,LAC,,MIN,W (+26),0,11:47,2,4,.500,1,3,.333,3,4,.750,1,1,2,2,1,0,0,2,8,8.2,-9
18,11,2014-12-03,23-195,LAC,,ORL,W (+28),0,5:44,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,2,1,0,-1.7,-1
19,12,2014-12-06,23-198,LAC,,NOP,W (+20),0,9:24,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1.4,-10
20,13,2014-12-08,23-200,LAC,,PHO,W (+1),0,4:30,1,2,.500,1,2,.500,1,1,1.000,0,1,1,0,0,0,0,1,4,2.9,-6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
