<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,23,TOT,NBA,PG,2,0,13,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,0,1,1,0,2,0,0,0,3
2013-14,23,MEM,NBA,PG,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
2013-14,23,CLE,NBA,PG,1,0,9,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,0,1,1,0,2,0,0,0,3
2014-15,24,PHO,NBA,PG,2,0,8,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,2,2,1,0,0,0,2,0
2015-16,25,SAC,NBA,PG,4,0,27,7,10,.700,3,4,.750,4,6,.667,.850,0,0,,0,1,1,6,0,0,0,0,17
Career,,,NBA,,8,0,48,8,16,.500,4,6,.667,4,10,.400,.625,0,0,,0,4,4,7,2,0,0,2,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,SAC,NBA,,4,0,27,7,10,.700,3,4,.750,4,6,.667,.850,0,0,,0,1,1,6,0,0,0,0,17
1 season,,PHO,NBA,,2,0,8,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,2,2,1,0,0,0,2,0
1 season,,CLE,NBA,,1,0,9,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,0,1,1,0,2,0,0,0,3
1 season,,MEM,NBA,,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
