<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,33-172,NYK,,CHI,L (-24),1,19:51,2,5,.400,0,0,,2,2,1.000,2,2,4,2,0,3,1,2,6,7.0,-3
2,2,2014-10-30,33-173,NYK,@,CLE,W (+5),1,5:34,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-2
3,3,2014-11-02,33-176,NYK,,CHO,W (+3),1,22:21,0,2,.000,0,0,,0,0,,3,5,8,1,0,0,3,4,0,-1.7,+11
4,4,2014-11-04,33-178,NYK,,WAS,L (-15),1,20:12,1,5,.200,0,0,,0,0,,3,5,8,3,0,2,2,2,2,3.2,-12
5,5,2014-11-05,33-179,NYK,@,DET,L (-3),1,14:30,1,3,.333,0,0,,0,0,,0,2,2,3,1,2,0,2,2,4.6,-8
6,6,2014-11-07,33-181,NYK,@,BRK,L (-11),1,4:52,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-1.2,0
7,7,2014-11-08,33-182,NYK,@,ATL,L (-7),1,24:46,3,4,.750,0,0,,1,1,1.000,2,4,6,2,0,3,1,2,7,9.7,-1
8,8,2014-11-10,33-184,NYK,,ATL,L (-6),1,16:05,0,0,,0,0,,0,0,,2,5,7,0,0,0,3,1,0,-0.5,+3
9,9,2014-11-12,33-186,NYK,,ORL,L (-2),1,27:24,1,3,.333,0,0,,0,0,,2,5,7,4,0,5,0,0,2,9.5,+1
10,10,2014-11-14,33-188,NYK,,UTA,L (-2),1,18:19,2,5,.400,0,0,,0,0,,0,4,4,2,0,0,0,1,4,3.5,-10
11,11,2014-11-16,33-190,NYK,,DEN,W (+16),1,22:08,4,8,.500,0,0,,0,0,,4,4,8,2,1,1,0,2,8,10.3,+16
12,12,2014-11-18,33-192,NYK,@,MIL,L (-4),1,17:25,1,2,.500,0,0,,0,0,,1,1,2,1,0,2,2,2,2,1.3,-20
13,13,2014-11-19,33-193,NYK,@,MIN,L (-16),1,8:22,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,1,1,1,3,1.9,-13
14,14,2014-11-22,33-196,NYK,,PHI,W (+8),1,23:33,3,6,.500,0,0,,0,0,,3,4,7,0,0,1,2,4,6,3.4,+11
15,15,2014-11-24,33-198,NYK,@,HOU,L (-5),1,15:19,3,3,1.000,0,0,,0,0,,0,1,1,1,1,1,2,2,6,5.0,+1
16,16,2014-11-26,33-200,NYK,@,DAL,L (-7),1,25:28,5,10,.500,0,0,,3,4,.750,3,10,13,0,2,2,2,5,13,12.1,-4
17,17,2014-11-28,33-202,NYK,@,OKC,L (-27),1,19:07,4,10,.400,0,0,,1,1,1.000,1,6,7,1,0,2,0,1,9,7.8,-8
18,18,2014-11-30,33-204,NYK,,MIA,L (-7),1,19:33,1,6,.167,0,0,,0,0,,4,6,10,0,1,1,0,3,2,3.3,-10
19,19,2014-12-02,33-206,NYK,,BRK,L (-5),1,14:53,1,2,.500,0,0,,0,0,,1,2,3,1,0,1,2,3,2,0.5,-11
20,20,2014-12-04,33-208,NYK,,CLE,L (-3),0,18:01,3,6,.500,0,0,,0,0,,2,7,9,0,2,0,2,5,6,4.5,-11
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-05,33-209,NYK,@,CHO,L (-1),1,21:09,3,6,.500,0,0,,0,0,,2,6,8,1,0,2,3,0,6,5.3,-13
