<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,20,PHI,NBA,C,34,0,177,22,50,.440,0,0,,22,50,.440,.440,7,18,.389,25,43,68,5,6,13,14,30,51
2002-03,21,Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee)
2003-04,22,PHI,NBA,C,82,53,2197,270,499,.541,0,1,.000,270,498,.542,.541,112,174,.644,194,432,626,21,44,189,86,273,652
2004-05,23,PHI,NBA,C,72,60,1785,250,477,.524,0,0,,250,477,.524,.524,89,148,.601,187,355,542,35,46,121,114,241,589
2005-06,24,PHI,NBA,C,66,52,1761,196,369,.531,0,1,.000,196,368,.533,.531,93,132,.705,159,382,541,25,34,160,107,244,485
2006-07,25,PHI,NBA,C,82,82,2535,356,658,.541,0,2,.000,356,656,.543,.541,167,224,.746,239,494,733,64,47,159,161,287,879
2007-08,26,PHI,NBA,C,82,82,2724,339,661,.513,0,1,.000,339,660,.514,.513,186,263,.707,304,545,849,45,40,192,155,269,864
2008-09,27,PHI,NBA,C,82,82,2036,216,434,.498,0,2,.000,216,432,.500,.498,91,124,.734,214,487,701,18,33,146,117,248,523
2009-10,28,PHI,NBA,C,82,80,2124,285,523,.545,0,0,,285,523,.545,.545,97,133,.729,239,545,784,64,42,151,123,252,667
2010-11,29,SAC,NBA,C,80,46,1938,268,567,.473,0,2,.000,268,565,.474,.473,108,148,.730,212,445,657,67,36,116,132,225,644
2011-12,30,HOU,NBA,C,65,45,1446,200,395,.506,0,1,.000,200,394,.508,.506,90,113,.796,158,298,456,33,37,111,82,162,490
2012-13,31,MIL,NBA,C,47,23,765,137,253,.542,1,1,1.000,136,252,.540,.543,38,55,.691,105,171,276,21,17,53,51,90,313
2013-14,32,DAL,NBA,C,80,68,1614,214,377,.568,0,1,.000,214,376,.569,.568,101,137,.737,200,341,541,38,41,94,90,210,529
2014-15,33,NYK,NBA,C,32,21,544,57,130,.438,0,0,,57,130,.438,.438,14,20,.700,53,115,168,29,14,41,39,70,128
Career,,,NBA,,886,694,21646,2810,5393,.521,1,12,.083,2809,5381,.522,.521,1193,1689,.706,2289,4653,6942,465,437,1546,1271,2601,6814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,PHI,NBA,,582,491,15339,1934,3671,.527,0,7,.000,1934,3664,.528,.527,842,1216,.692,1561,3283,4844,277,292,1131,877,1844,4710
1 season,,DAL,NBA,,80,68,1614,214,377,.568,0,1,.000,214,376,.569,.568,101,137,.737,200,341,541,38,41,94,90,210,529
1 season,,SAC,NBA,,80,46,1938,268,567,.473,0,2,.000,268,565,.474,.473,108,148,.730,212,445,657,67,36,116,132,225,644
1 season,,HOU,NBA,,65,45,1446,200,395,.506,0,1,.000,200,394,.508,.506,90,113,.796,158,298,456,33,37,111,82,162,490
1 season,,MIL,NBA,,47,23,765,137,253,.542,1,1,1.000,136,252,.540,.543,38,55,.691,105,171,276,21,17,53,51,90,313
1 season,,NYK,NBA,,32,21,544,57,130,.438,0,0,,57,130,.438,.438,14,20,.700,53,115,168,29,14,41,39,70,128
