<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,22,HOU,NBA,SG,5,1,75,15,31,.484,12,25,.480,3,6,.500,.677,0,0,,0,4,4,5,0,0,3,6,42
2014-15,23,TOT,NBA,SG,47,0,397,61,165,.370,43,118,.364,18,47,.383,.500,11,13,.846,8,25,33,22,6,1,20,40,176
2014-15,23,HOU,NBA,SG,17,0,108,15,47,.319,13,43,.302,2,4,.500,.457,3,4,.750,0,6,6,4,0,0,5,14,46
2014-15,23,MIN,NBA,SG,19,0,154,19,59,.322,13,39,.333,6,20,.300,.432,2,2,1.000,6,13,19,13,3,0,8,14,53
2014-15,23,CHO,NBA,SG,11,0,135,27,59,.458,17,36,.472,10,23,.435,.602,6,7,.857,2,6,8,5,3,1,7,12,77
2015-16,24,CHO,NBA,SG,2,0,8,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,3,3,0,0,0,1,1,3
Career,,,NBA,,54,1,480,77,201,.383,56,146,.384,21,55,.382,.522,11,13,.846,8,32,40,27,6,1,24,47,221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,22,1,183,30,78,.385,25,68,.368,5,10,.500,.545,3,4,.750,0,10,10,9,0,0,8,20,88
1 season,,MIN,NBA,,19,0,154,19,59,.322,13,39,.333,6,20,.300,.432,2,2,1.000,6,13,19,13,3,0,8,14,53
2 seasons,,CHO,NBA,,13,0,143,28,64,.438,18,39,.462,10,25,.400,.578,6,7,.857,2,9,11,5,3,1,8,13,80
