<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,25-145,LAL,,HOU,L (-18),0,21:35,5,7,.714,0,0,,1,2,.500,2,4,6,0,1,2,0,6,11,10.3,-16
2,2,2014-10-29,25-146,LAL,@,PHO,L (-20),0,32:38,6,10,.600,0,0,,2,5,.400,6,3,9,3,2,2,0,5,14,16.8,+3
3,3,2014-10-31,25-148,LAL,,LAC,L (-7),0,20:08,5,6,.833,0,0,,0,0,,3,3,6,0,0,0,1,5,10,7.8,-10
4,4,2014-11-01,25-149,LAL,@,GSW,L (-23),0,20:50,5,7,.714,0,0,,3,5,.600,2,4,6,2,1,0,1,3,13,12.1,+6
5,5,2014-11-04,25-152,LAL,,PHO,L (-6),0,18:29,1,3,.333,0,0,,2,4,.500,4,5,9,0,2,3,2,4,4,6.3,+4
6,6,2014-11-09,25-157,LAL,,CHO,W (+15),0,22:10,5,5,1.000,0,0,,0,2,.000,1,4,5,0,0,1,1,3,10,8.1,+12
7,7,2014-11-11,25-159,LAL,@,MEM,L (-5),0,27:00,3,4,.750,0,0,,0,0,,2,3,5,1,0,3,1,2,6,7.7,-11
8,8,2014-11-12,25-160,LAL,@,NOP,L (-7),0,26:59,3,6,.500,0,0,,2,2,1.000,3,8,11,0,0,2,2,2,8,8.1,+7
9,9,2014-11-14,25-162,LAL,,SAS,L (-13),0,20:00,3,5,.600,0,0,,0,3,.000,0,4,4,0,0,1,1,4,6,1.8,-3
10,10,2014-11-16,25-164,LAL,,GSW,L (-21),0,25:43,5,10,.500,0,0,,0,0,,3,3,6,2,2,3,0,3,10,12.3,+3
11,11,2014-11-18,25-166,LAL,@,ATL,W (+5),0,22:28,3,7,.429,0,0,,0,1,.000,2,5,7,0,1,0,0,1,6,5.4,+13
