<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,DET,NBA,SF,69,4,915,137,295,.464,29,95,.305,108,200,.540,.514,46,56,.821,34,140,174,34,25,26,48,114,349
2010-11,22,DET,NBA,SF,72,16,1446,193,471,.410,69,172,.401,124,299,.415,.483,82,108,.759,64,210,274,78,39,39,59,165,537
2011-12,23,DET,NBA,SF,41,4,603,73,227,.322,13,62,.210,60,165,.364,.350,35,43,.814,14,77,91,33,22,21,40,62,194
2012-13,24,TOT,NBA,SF,55,0,676,90,208,.433,41,98,.418,49,110,.445,.531,26,34,.765,16,107,123,42,14,22,29,82,247
2012-13,24,DET,NBA,SF,24,0,348,43,97,.443,21,40,.525,22,57,.386,.552,15,18,.833,10,53,63,21,5,8,13,43,122
2012-13,24,MEM,NBA,SF,31,0,328,47,111,.423,20,58,.345,27,53,.509,.514,11,16,.688,6,54,60,21,9,14,16,39,125
2013-14,25,TOT,NBA,SF,22,1,148,24,68,.353,12,37,.324,12,31,.387,.441,6,10,.600,5,22,27,8,4,4,5,18,66
2013-14,25,TOR,NBA,SF,8,0,33,3,13,.231,0,8,.000,3,5,.600,.231,2,3,.667,2,5,7,2,0,0,0,4,8
2013-14,25,SAS,NBA,SF,14,1,115,21,55,.382,12,29,.414,9,26,.346,.491,4,7,.571,3,17,20,6,4,4,5,14,58
2014-15,26,TOT,NBA,SF,34,4,344,50,141,.355,24,71,.338,26,70,.371,.440,5,6,.833,10,65,75,17,12,5,23,39,129
2014-15,26,SAS,NBA,SF,26,4,268,40,115,.348,19,57,.333,21,58,.362,.430,4,4,1.000,6,55,61,9,8,3,18,30,103
2014-15,26,ATL,NBA,SF,8,0,76,10,26,.385,5,14,.357,5,12,.417,.481,1,2,.500,4,10,14,8,4,2,5,9,26
Career,,,NBA,,293,29,4132,567,1410,.402,188,535,.351,379,875,.433,.469,200,257,.778,143,621,764,212,116,117,204,480,1522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,206,24,3312,446,1090,.409,132,369,.358,314,721,.436,.470,178,225,.791,122,480,602,166,91,94,160,384,1202
2 seasons,,SAS,NBA,,40,5,383,61,170,.359,31,86,.360,30,84,.357,.450,8,11,.727,9,72,81,15,12,7,23,44,161
1 season,,MEM,NBA,,31,0,328,47,111,.423,20,58,.345,27,53,.509,.514,11,16,.688,6,54,60,21,9,14,16,39,125
1 season,,ATL,NBA,,8,0,76,10,26,.385,5,14,.357,5,12,.417,.481,1,2,.500,4,10,14,8,4,2,5,9,26
1 season,,TOR,NBA,,8,0,33,3,13,.231,0,8,.000,3,5,.600,.231,2,3,.667,2,5,7,2,0,0,0,4,8
