<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,25-077,ORL,@,NOP,L (-17),0,8:14,1,2,.500,0,0,,1,2,.500,2,1,3,0,0,1,1,1,3,2.6,-1
2,2,2014-10-30,25-079,ORL,,WAS,L (-7),0,8:30,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.9,+1
3,3,2014-11-01,25-081,ORL,,TOR,L (-13),0,14:02,3,3,1.000,0,0,,0,0,,1,3,4,1,0,4,0,2,6,9.4,+11
4,4,2014-11-04,25-084,ORL,@,CHI,L (-8),0,7:06,1,2,.500,0,0,,1,2,.500,4,0,4,0,0,0,0,5,3,2.4,-1
5,5,2014-11-05,25-085,ORL,@,PHI,W (+2),0,10:24,0,1,.000,0,0,,0,0,,1,5,6,0,0,0,3,1,0,-1.9,+7
6,,2014-11-07,25-087,ORL,,MIN,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2014-11-09,25-089,ORL,,BRK,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,6,2014-11-11,25-091,ORL,@,TOR,L (-4),0,3:04,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,0,0,0.6,0
9,,2014-11-12,25-092,ORL,,NYK,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,7,2014-11-14,25-094,ORL,,MIL,W (+16),0,2:02,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,+1
11,,2014-11-15,25-095,ORL,,WAS,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,2014-11-17,25-097,ORL,,DET,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,8,2014-11-19,25-099,ORL,,LAC,L (-24),0,10:04,0,0,,0,0,,1,2,.500,1,4,5,0,0,0,0,0,1,2.5,-1
14,9,2014-11-21,25-101,ORL,@,CHO,W (+5),0,3:51,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-5
15,10,2014-11-22,25-102,ORL,,MIA,L (-7),0,9:49,3,6,.500,0,0,,1,1,1.000,4,1,5,0,0,1,1,1,7,6.4,0
16,11,2014-11-24,25-104,ORL,@,CLE,L (-32),0,16:28,3,7,.429,0,0,,0,1,.000,5,3,8,1,0,0,3,2,6,3.2,-13
