<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,24,TOT,NBA,C,31,6,390,38,83,.458,0,0,,38,83,.458,.458,21,32,.656,38,89,127,5,7,22,18,66,97
2013-14,24,GSW,NBA,C,4,0,6,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,0,0,0,0,0,0,1,1
2013-14,24,PHI,NBA,C,11,0,150,15,29,.517,0,0,,15,29,.517,.517,7,13,.538,11,38,49,3,0,9,9,28,37
2013-14,24,ORL,NBA,C,16,6,234,23,53,.434,0,0,,23,53,.434,.434,13,17,.765,27,51,78,2,7,13,9,37,59
2014-15,25,ORL,NBA,C,59,15,845,91,162,.562,0,1,.000,91,161,.565,.562,34,64,.531,118,177,295,9,16,50,51,141,216
2015-16,26,ORL,NBA,C,5,1,96,11,23,.478,0,0,,11,23,.478,.478,4,6,.667,7,20,27,2,3,10,3,19,26
Career,,,NBA,,95,22,1331,140,268,.522,0,1,.000,140,267,.524,.522,59,102,.578,163,286,449,16,26,82,72,226,339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ORL,NBA,,80,22,1175,125,238,.525,0,1,.000,125,237,.527,.525,51,87,.586,152,248,400,13,26,73,63,197,301
1 season,,PHI,NBA,,11,0,150,15,29,.517,0,0,,15,29,.517,.517,7,13,.538,11,38,49,3,0,9,9,28,37
1 season,,GSW,NBA,,4,0,6,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,0,0,0,0,0,0,1,1
