<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,32-195,SAS,,DAL,W (+1),0,33:28,2,6,.333,1,3,.333,0,0,,1,8,9,6,0,0,4,2,5,4.1,-5
2,2,2014-10-31,32-198,SAS,@,PHO,L (-5),0,28:51,6,14,.429,1,6,.167,0,0,,1,5,6,2,0,0,0,4,13,7.6,-11
3,3,2014-11-05,32-203,SAS,,ATL,W (+2),0,33:31,4,10,.400,0,3,.000,3,5,.600,1,4,5,4,0,1,1,1,11,8.8,+7
4,4,2014-11-06,32-204,SAS,@,HOU,L (-17),0,22:09,2,5,.400,1,3,.333,2,2,1.000,0,3,3,4,0,1,5,5,7,1.7,-9
5,5,2014-11-08,32-206,SAS,,NOP,L (-1),1,31:41,3,6,.500,0,2,.000,0,0,,2,4,6,2,0,2,3,1,6,5.0,+5
6,6,2014-11-10,32-208,SAS,@,LAC,W (+4),0,24:53,4,7,.571,0,1,.000,0,0,,0,2,2,3,3,1,0,0,8,11.1,+6
7,7,2014-11-11,32-209,SAS,@,GSW,W (+13),0,22:22,3,4,.750,1,2,.500,1,2,.500,1,5,6,4,0,0,3,2,8,7.2,+8
8,8,2014-11-14,32-212,SAS,@,LAL,W (+13),0,23:33,3,12,.250,1,3,.333,0,0,,2,3,5,2,1,0,0,0,7,4.5,+13
9,9,2014-11-15,32-213,SAS,@,SAC,L (-3),0,23:15,3,6,.500,1,1,1.000,0,0,,4,4,8,1,1,0,2,4,7,6.1,+11
10,10,2014-11-17,32-215,SAS,,PHI,W (+25),0,22:35,3,5,.600,0,0,,2,2,1.000,0,3,3,4,0,0,1,2,8,7.6,+7
11,11,2014-11-19,32-217,SAS,@,CLE,W (+2),1,39:04,8,14,.571,1,2,.500,2,2,1.000,1,5,6,7,3,1,2,1,19,20.8,+8
12,12,2014-11-21,32-219,SAS,@,MIN,W (+29),1,26:10,5,7,.714,1,1,1.000,2,2,1.000,1,8,9,2,0,0,3,2,13,10.8,+22
