<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,24-284,MIN,@,MEM,L (-4),0,19:14,3,4,.750,0,0,,0,0,,4,4,8,1,0,3,1,1,6,9.8,+13
2,2,2014-10-30,24-285,MIN,,DET,W (+6),0,17:20,1,2,.500,0,0,,2,2,1.000,1,4,5,0,0,2,0,0,4,6.3,-5
3,3,2014-11-01,24-287,MIN,,CHI,L (-1),0,16:05,3,4,.750,0,0,,4,5,.800,4,4,8,0,0,0,0,3,10,10.8,-2
4,4,2014-11-05,24-291,MIN,@,BRK,W (+7),0,15:57,1,4,.250,0,0,,0,0,,1,4,5,0,0,2,0,1,2,2.5,-27
5,5,2014-11-07,24-293,MIN,@,ORL,L (-9),0,24:54,5,9,.556,0,0,,1,2,.500,2,8,10,1,2,2,1,3,11,12.0,+9
6,6,2014-11-08,24-294,MIN,@,MIA,L (-10),0,18:16,4,7,.571,0,0,,4,4,1.000,3,3,6,0,0,1,2,4,12,8.8,-7
7,7,2014-11-12,24-298,MIN,,HOU,L (-12),0,13:47,3,7,.429,0,1,.000,2,2,1.000,1,2,3,2,0,2,1,1,8,7.0,-12
8,8,2014-11-14,24-300,MIN,@,NOP,L (-48),1,29:08,1,2,.500,0,0,,5,8,.625,5,4,9,2,0,1,4,1,7,7.2,-24
9,9,2014-11-15,24-301,MIN,@,DAL,L (-14),0,26:17,5,9,.556,0,0,,2,2,1.000,3,5,8,1,1,0,2,5,12,9.0,-2
10,10,2014-11-19,24-305,MIN,,NYK,W (+16),1,32:29,4,7,.571,0,0,,0,0,,5,2,7,4,5,1,2,3,8,14.1,+22
11,11,2014-11-21,24-307,MIN,,SAS,L (-29),1,30:25,3,8,.375,0,0,,3,4,.750,6,4,10,1,1,3,2,2,9,10.6,-28
12,12,2014-11-22,24-308,MIN,,SAC,L (-12),1,38:38,5,10,.500,0,0,,2,2,1.000,4,6,10,1,2,2,1,4,12,13.1,-14
